comparison,n_gender,n_comp,M_gender,SD_gender,M_comp,SD_comp,diff (gender - comp),Welch_t,df,p_welch,cohens_d,ci_low,ci_high,TOST_strict_p (eq +/-0.4d),STRICT_EQUIV?,George_TOST_p (comp NOT meaningfully lower),George_PASS?,Rmd_TOST_p (gender NOT meaningfully lower),Rmd_PASS?,p_welch_holm,p_welch_fdr,sig
age,76,74,2.289473684210526,1.9378048713165745,3.77027027027027,1.651460933120909,-1.480796586059744,-5.041719446066654,145.4646754350131,1.35205483497991e-06,-0.8216320618742066,-2.061284241978761,-0.9003089301407268,0.9946724157592747,False,2.960055346764646e-12,True,0.9946724157592747,False,0.0,1.35205483497991e-06,***
geographic location,76,74,2.289473684210526,1.9378048713165745,4.297297297297297,1.8337007249711492,-2.0078236130867713,-6.519468812146242,147.88114360744015,1.0461700394870377e-09,-1.0639313325437167,-2.61642100127088,-1.3992262249026621,0.99996162586593,False,6.088823670413824e-16,True,0.99996162586593,False,0.0,1.5692550592305565e-09,***
employment type,76,76,2.289473684210526,1.9378048713165745,5.5394736842105265,1.4827073388337901,-3.2500000000000004,-11.611909922173268,140.40121793946003,0.0,-1.88370052961735,-3.8033339960639045,-2.6966660039360963,0.9999999999999997,False,6.359191281166057e-29,True,0.9999999999999997,False,0.0,0.0,***
