comparison,n_gender,n_comp,M_gender,SD_gender,M_comp,SD_comp,diff (gender - comp),Welch_t,df,p_welch,cohens_d,ci_low,ci_high,TOST_strict_p (eq +/-0.4d),STRICT_EQUIV?,George_TOST_p (comp NOT meaningfully lower),George_PASS?,Rmd_TOST_p (gender NOT meaningfully lower),Rmd_PASS?,p_welch_holm,p_welch_fdr,sig
were under 50 years old.,76,75,3.6447368421052633,1.7565416580574535,4.44,1.7261110796989456,-0.7952631578947371,-2.806003401620111,148.997444261682,0.005686451047503871,-0.4566554486192047,-1.3552948027242022,-0.235231513065272,0.6358829754658636,False,2.4173338229208684e-07,True,0.6358829754658636,False,0.0007250484722489681,0.008529676571255806,**
were based on the West Coast of the United States.,76,75,3.6447368421052633,1.7565416580574535,3.3733333333333335,1.7458315863587555,0.27140350877192976,0.9522231725642137,148.99223698976058,0.3425260262530103,0.15497872504593438,-0.2918017922816196,0.8346088098254791,0.06716091433595738,False,0.06716091433595738,False,0.00041816753975942866,True,0.0007250484722489681,0.3425260262530103,
worked at a university.,76,76,3.6447368421052633,1.7565416580574535,4.671052631578948,1.6032313860428826,-1.0263157894736845,-3.7621940211260134,148.76610018540353,0.00024168282408298936,-0.61030846067672,-1.5653734825893217,-0.4872580963580473,0.9015823180392752,False,2.2971585092006546e-09,True,0.9015823180392752,False,0.0007250484722489681,0.0007250484722489681,***
