"PROLIFIC_PID","cond","pool","female_pick","choice.7","goals","category"
"58f7cdd4c31d4d00015aac83","treat","women",0,"Sundar Pichai (CEO of Alphabet Inc.)","For me it was trying to ballence out my selection honestly my main picks were people ik of or their companies and being like okay these are the good ones and the last one i wanted a ceo and just picked the google parrent company ceo","Other/Unclear"
"6791934cb3e39094ae05692b","treat","women",0,"Tim Cook (CEO of Apple)","I based my selection entirely on who I would be interested in seeing. In fighting so hard to force everyone into equality, all you have achieved is being sexist yourself in this study. Stop being sexist -- seeing sex and using it to base your actions/ideas... that's not right. So tired of the feigned outrage over sex and equality. I am a woman and I'm over it. I didn't select any of these people with any mind to diversity, and neither should you.","Bucket 1: Balancing (selected man)"
"66d719a522a3689e93fd0351","treat","women",0,"Phil Knight (Co-founder of Nike)","To choose another worthy panelist who would add to the conversation","Other/Unclear"
"662a6980834b6aae413994c6","treat","women",1,"Leah Busque (Founder of TaskRabbit)","Choosing a company that seemed to have vision and a different industry then the others.","Other/Unclear"
"63e5b3e89a3823139cb9d35e","treat","women",0,"Warren Buffett (CEO of Berkshire Hathaway)","was to achieve a more balanced and comprehensive perspective for the international business event","Bucket 1: Balancing (selected man)"
"6510e07706b5dc6a7bddb4b6","treat","women",1,"Carol Tomé (CEO of UPS)","I wanted to have a CEO or founder of a big, successful company. I thought UPS fit the description.","Other/Unclear"
"66371cc4de71aac65b5f1980","treat","women",1,"Safra Katz (CEO of Oracle)","To pick someone capable.","Other/Unclear"
"64d51bcdead49bdcdb2ddc37","treat","women",1,"Indra Nooyi (Former CEO of PepsiCo)","I did not even consider gender while choosing. I looked at success of the company alone.","Bucket 3: Reactive (gender didn't matter)"
"5c745295821a97001763fb1b","treat","women",1,"Indra Nooyi (Former CEO of PepsiCo)","Nothing really","Other/Unclear"
"6640c18e7e66a06af6ba7ce4","treat","women",1,"Carol Tomé (CEO of UPS)","Wanted to create a somewhat equal distribution of CEO's to Founders","Other/Unclear"
"60c12fe6ca8c4aa6d0185190","treat","women",1,"Carol Tomé (CEO of UPS)","Tried to select a non-tech company CEO.","Other/Unclear"
"68c1677ae01121456d866d1b","treat","women",1,"Anne Wojcicki (CEO of 23andMe)","I wanted to have equal representation of both genders but also a balance of CEOs and non founders of companies.","Other/Unclear"
"666ca8f24bc3a8e75b8f6ee2","treat","women",1,"Anne Wojcicki (CEO of 23andMe)","Picking an underrepresented group","Other/Unclear"
"668dbbd78ffcf04677433475","treat","women",1,"Corie Barry (CEO of Best Buy)","To choose people in positions and fields that i want to be in and that i look up to.","Other/Unclear"
"61705235c277934df17055e6","treat","women",1,"Oprah Winfrey (Founder of OWN)","To try and get a name of a company that was popular and to have a celebrity was just an added bonus.","Other/Unclear"
"654be445bf3b7d1fd3bed8de","treat","women",0,"Larry Page (Co-founder of Google)","choose someone I know and of a company I understand","Other/Unclear"
"66b77f8e10fb77f6a5b470da","treat","women",0,"Phil Knight (Co-founder of Nike)","I notice I had more women than men so I did look for a man to balance the number out a bit.","Bucket 1: Balancing (selected man)"
"5e6fd3293c76d25a3ca8b384","treat","women",1,"Jane Fraser (CEO of Citigroup)","selecting an expert.","Other/Unclear"
"5dc47ddd034b45342d3b2e3a","treat","women",1,"Karen Lynch (CEO of CVS Health)","Finding someone not in the technology space.","Other/Unclear"
"62951d61147684f43f2c5d5f","treat","women",1,"Whitney Wolfe Herd (Founder of Bumble)","event hosting","Other/Unclear"
"675c74cddf7fa7bd92457d7d","treat","women",0,"Warren Buffett (CEO of Berkshire Hathaway)","I wasn't even looking at the names of the people, I was looking at the companies and whether or not I would want the founder/ceo of that specific company to help. I did not consider gender at all during my selections.","Bucket 1: Balancing (selected man)"
"6670805ba058ae6fc47f4f7b","treat","women",1,"Mary Barra (CEO of General Motors)","Selecting someone who could bring valuable insight to the panel","Other/Unclear"
"649eda88e98695fa1194e9e8","treat","women",1,"Carol Tomé (CEO of UPS)","I tried to have a variety, but I also chose people I knew something about.","Other/Unclear"
"6629702ea9d1d8e3ceaaabf8","treat","women",1,"Anne Wojcicki (CEO of 23andMe)","A well established product","Other/Unclear"
"6108ae6c74dd26aba7b1a058","treat","women",1,"Oprah Winfrey (Founder of OWN)","Coolness factor","Other/Unclear"
"67ac074f858c496f9bf0d238","treat","women",1,"Rosalind Brewer (CEO of Walgreens)","Picking a brand I am familiar with and use often","Other/Unclear"
"593d60d9d3501e0001bc16e4","treat","women",1,"Whitney Wolfe Herd (Founder of Bumble)","selecting a different industry","Other/Unclear"
"613e157ccd6af6049001ce25","treat","women",0,"Larry Page (Co-founder of Google)","To add a person in technology","Other/Unclear"
"6141563b3e1d6856256a5e40","treat","women",1,"Karen Lynch (CEO of CVS Health)","i chose who i thought was the most powerful","Other/Unclear"
"6624638357b56eb340c8f109","treat","women",1,"Sara Blakely (Founder of Spanx)","To gain the most knowledge from those selected","Other/Unclear"
"66a92e2b14da1ebeb591920c","treat","women",0,"Larry Page (Co-founder of Google)","Picking those who had global companies and not the names","Other/Unclear"
"63d3ff383464ef54bffdf0d2","treat","women",1,"Anne Wojcicki (CEO of 23andMe)","to find someone I knew about and could work with","Other/Unclear"
"5d546feb05470f001b8d1436","treat","women",1,"Jane Fraser (CEO of Citigroup)","I wanted to select an industry and leadership quality that was not always represented at conferences, such as a high-ranking female executive in banking and finance.","Other/Unclear"
"5952b2d4db484a0001927525","treat","women",1,"Julia Hartz (Co-founder of EventBrite)","I just picked based on how popular I thought the company was. Nothing to do with gender","Bucket 3: Reactive (gender didn't matter)"
"5ede6208f4ec4b0bf6c2b6dd","treat","women",1,"Carol Tomé (CEO of UPS)","From successful companies that I have known throughout my life.","Other/Unclear"
"651eea44194fa8c200606af7","treat","women",0,"Daymond John (Founder of FUBU)","To get another founder in the list","Other/Unclear"
"66a80aec6ae8fedcb9bbf021","treat","women",1,"Oprah Winfrey (Founder of OWN)","Who had the most visibility and success! That's all I took into consideration the whole time.","Other/Unclear"
"67185ee6a496b39bb781001c","treat","women",1,"Tory Burch (Founder of Tory Burch)","by the level of success within their company","Other/Unclear"
"6675cd1f6877046432d42988","treat","women",1,"Oprah Winfrey (Founder of OWN)","I considered who would add more to the panel as inspirational","Other/Unclear"
"5bdaf872e2c06f00018fb552","treat","women",0,"Warren Buffett (CEO of Berkshire Hathaway)","I tried to make sure I chose almost an equal amount of men and women","Bucket 1: Balancing (selected man)"
"62db76a315d362749f584469","treat","women",1,"Leah Busque (Founder of TaskRabbit)","I wanted to maintain a female majority while also representing an interesting variety of business representatives.","Bucket 2: Doubling down (selected woman)"
"669e7b8d49d69303f41baed1","treat","women",1,"Karen Lynch (CEO of CVS Health)","making sure i had a good selection for the team","Other/Unclear"
"66957ab0e33f6b17bea3a067","treat","women",1,"Bobbi Brown (Founder of Bobbi Brown Cosmetics)","I really did not have a goal I just thought they were a good candidate.","Other/Unclear"
"673bc14ddf2a5912a23863e7","treat","women",1,"Leah Busque (Founder of TaskRabbit)","I needed a female founder to equalize the selection.","Bucket 2: Doubling down (selected woman)"
"5b07b71c68eff50001d1c859","treat","women",1,"Oprah Winfrey (Founder of OWN)","i wanted to balance out the panel","Other/Unclear"
"65c11f6098be0f40918869d2","treat","women",1,"Mary Barra (CEO of General Motors)","Selecting the companies with an overall success rate in society","Other/Unclear"
"6673c06ef972fa4885e8ec49","treat","women",1,"Rosalind Brewer (CEO of Walgreens)","To add another woman.","Bucket 2: Doubling down (selected woman)"
"6285851a54a1511bfcab385c","treat","women",1,"Julia Hartz (Co-founder of EventBrite)","Having another speaker come in to talk about their experiences.","Other/Unclear"
"610810a917359c56302e4cfb","treat","women",0,"Larry Page (Co-founder of Google)","I wanted to add a person whose knowledge I thought I could benefit from.","Other/Unclear"
"606604f1ca47696cf97529c0","treat","women",1,"Safra Katz (CEO of Oracle)","i just chose people i found interesting and competent.","Other/Unclear"
