"treatment","women_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","num_excluded_total"
0,1,"control","women",0,4,0,"Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Sara Blakely (Founder of Spanx)","Arianna Huffington (Founder of Thrive Global)","Michele Buck (CEO of Hershey)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",49,52
0,0,"control","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Mark Zuckerberg (Co-founder of Facebook)","Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",39,52
1,0,"treat","men",1,0,0,"Jeff Bezos (Founder of Amazon)","Mark Zuckerberg (Co-founder of Facebook)","Michael Bloomberg (Co-founder of Bloomberg LP)","Richard Branson (Founder of Virgin Group)","Bill Gates (Co-founder of Microsoft)","Howard Schultz (Founder of Starbucks)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",31,52
1,1,"treat","women",1,4,0,"Tim Cook (CEO of Apple)","Daymond John (Founder of FUBU)","Jessica Alba (Founder of The Honest Company)","Julia Hartz (Co-founder of EventBrite)","Linda Yaccarino (CEO of X)","Kendra Scott (Founder of Kendra Scott)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",28,52
1,1,"treat","women",0,3,0,"Carol Tomé (CEO of UPS)","Jane Fraser (CEO of Citigroup)","Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Hispanic / Latinx","Man",28,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Jeff Bezos (Founder of Amazon)","Howard Schultz (Founder of Starbucks)","Asian / Pacific Islander","Woman",27,52
1,0,"treat","men",1,1,0,"Bill Gates (Co-founder of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","Jensen Huang (CEO of NVIDIA)","Kendra Scott (Founder of Kendra Scott)","Jeff Bezos (Founder of Amazon)","Jane Fraser (CEO of Citigroup)","Black or African American","Woman",30,52
1,0,"treat","men",1,4,0,"Whitney Wolfe Herd (Founder of Bumble)","Kendra Scott (Founder of Kendra Scott)","Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","Mary Barra (CEO of General Motors)","Phil Knight (Co-founder of Nike)","Lisa Su (CEO of AMD)","White / Caucasian","Woman",71,52
0,1,"control","women",1,6,0,"Melanie Perkins (Founder of Canva)","Carol Tomé (CEO of UPS)","Kendra Scott (Founder of Kendra Scott)","Michele Buck (CEO of Hershey)","Leah Busque (Founder of TaskRabbit)","Jessica Alba (Founder of The Honest Company)","Lisa Su (CEO of AMD)","White / Caucasian","Woman",25,52
1,0,"treat","men",1,0,0,"Bill Gates (Co-founder of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","Larry Page (Co-founder of Google)","Mark Zuckerberg (Co-founder of Facebook)","Tim Cook (CEO of Apple)","Jensen Huang (CEO of NVIDIA)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",54,52
