"treatment","women_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","num_excluded_total"
0,1,"control","women",1,4,0,"Phil Knight (Co-founder of Nike)","Christine Leahy (CEO of CDW)","Larry Page (Co-founder of Google)","Michele Buck (CEO of Hershey)","Jane Fraser (CEO of Citigroup)","Carol Tomé (CEO of UPS)","Melanie Perkins (Founder of Canva)","White / Caucasian","Man",63,52
0,0,"control","men",1,2,0,"Satya Nadella (CEO of Microsoft)","Phil Knight (Co-founder of Nike)","Sundar Pichai (CEO of Alphabet Inc.)","Kendra Scott (Founder of Kendra Scott)","Bill Gates (Co-founder of Microsoft)","Jane Fraser (CEO of Citigroup)","Lisa Su (CEO of AMD)","White / Caucasian","Man",38,52
1,0,"treat","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Daymond John (Founder of FUBU)","Jeff Bezos (Founder of Amazon)","Jensen Huang (CEO of NVIDIA)","Mark Zuckerberg (Co-founder of Facebook)","Warren Buffett (CEO of Berkshire Hathaway)","Howard Schultz (Founder of Starbucks)","Asian / Pacific Islander","Man",34,52
1,1,"treat","women",1,3,0,"Arianna Huffington (Founder of Thrive Global)","Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Julia Hartz (Co-founder of EventBrite)","Melanie Perkins (Founder of Canva)","Mary Barra (CEO of General Motors)","Asian / Pacific Islander","Woman",26,52
1,0,"treat","men",0,3,0,"Daymond John (Founder of FUBU)","Kendra Scott (Founder of Kendra Scott)","Satya Nadella (CEO of Microsoft)","Whitney Wolfe Herd (Founder of Bumble)","Jane Fraser (CEO of Citigroup)","Jensen Huang (CEO of NVIDIA)","Phil Knight (Co-founder of Nike)","Black or African American","Woman",38,52
0,0,"control","men",0,1,0,"Richard Branson (Founder of Virgin Group)","Mary Barra (CEO of General Motors)","Jeff Bezos (Founder of Amazon)","Brian Moynihan (CEO of Bank of America)","Andy Jassy (CEO of Amazon)","Michael Bloomberg (Co-founder of Bloomberg LP)","Larry Page (Co-founder of Google)","White / Caucasian","Woman",66,52
1,1,"treat","women",0,3,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Sara Blakely (Founder of Spanx)","Michele Buck (CEO of Hershey)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Sundar Pichai (CEO of Alphabet Inc.)","White / Caucasian","Woman",47,52
1,1,"treat","women",1,3,0,"Oprah Winfrey (Founder of OWN)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Melanie Perkins (Founder of Canva)","Kate Johnson (CEO of Lumen Technologies)","Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","White / Caucasian","Man",61,52
1,1,"treat","women",1,2,0,"Arianna Huffington (Founder of Thrive Global)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Leah Busque (Founder of TaskRabbit)","Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","Hispanic / Latinx","Woman",31,52
0,1,"control","women",1,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Oprah Winfrey (Founder of OWN)","Jane Fraser (CEO of Citigroup)","Larry Page (Co-founder of Google)","Michele Buck (CEO of Hershey)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",66,52
0,1,"control","women",1,4,0,"Warren Buffett (CEO of Berkshire Hathaway)","Arianna Huffington (Founder of Thrive Global)","Jane Fraser (CEO of Citigroup)","Whitney Wolfe Herd (Founder of Bumble)","Larry Page (Co-founder of Google)","Christine Leahy (CEO of CDW)","Mary Barra (CEO of General Motors)","White / Caucasian","Woman",56,52
1,1,"treat","women",1,4,0,"Warren Buffett (CEO of Berkshire Hathaway)","Arianna Huffington (Founder of Thrive Global)","Kate Johnson (CEO of Lumen Technologies)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Sara Blakely (Founder of Spanx)","Jessica Alba (Founder of The Honest Company)","White / Caucasian","Woman",63,52
0,0,"control","men",0,0,0,"Andy Jassy (CEO of Amazon)","Satya Nadella (CEO of Microsoft)","Warren Buffett (CEO of Berkshire Hathaway)","Brian Moynihan (CEO of Bank of America)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Tim Cook (CEO of Apple)","Howard Schultz (Founder of Starbucks)","White / Caucasian","Woman",50,52
1,0,"treat","men",1,1,0,"Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Leah Busque (Founder of TaskRabbit)","Jeff Bezos (Founder of Amazon)","Jensen Huang (CEO of NVIDIA)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",34,52
0,1,"control","women",0,5,0,"Kendra Scott (Founder of Kendra Scott)","Daymond John (Founder of FUBU)","Julia Hartz (Co-founder of EventBrite)","Melanie Perkins (Founder of Canva)","Mary Barra (CEO of General Motors)","Kate Johnson (CEO of Lumen Technologies)","Larry Page (Co-founder of Google)","Black or African American","Woman",31,52
0,1,"control","women",0,4,0,"Larry Page (Co-founder of Google)","Sundar Pichai (CEO of Alphabet Inc.)","Kate Johnson (CEO of Lumen Technologies)","Arianna Huffington (Founder of Thrive Global)","Jane Fraser (CEO of Citigroup)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","White / Caucasian","Man",36,52
0,0,"control","men",0,1,0,"Warren Buffett (CEO of Berkshire Hathaway)","Lisa Su (CEO of AMD)","Bill Gates (Co-founder of Microsoft)","Andy Jassy (CEO of Amazon)","Jeff Bezos (Founder of Amazon)","Satya Nadella (CEO of Microsoft)","Larry Page (Co-founder of Google)","Black or African American","Man",28,52
0,0,"control","men",1,1,0,"Jamie Dimon (CEO of JPMorgan Chase)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Brian Moynihan (CEO of Bank of America)","Jane Fraser (CEO of Citigroup)","Larry Page (Co-founder of Google)","Mary Barra (CEO of General Motors)","White / Caucasian","Woman",54,52
1,1,"treat","women",1,2,0,"Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Larry Page (Co-founder of Google)","Carol Tomé (CEO of UPS)","Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","Julia Hartz (Co-founder of EventBrite)","Asian / Pacific Islander","Woman",24,52
1,1,"treat","women",1,5,0,"Warren Buffett (CEO of Berkshire Hathaway)","Jessica Alba (Founder of The Honest Company)","Michele Buck (CEO of Hershey)","Kate Johnson (CEO of Lumen Technologies)","Melanie Perkins (Founder of Canva)","Sara Blakely (Founder of Spanx)","Julia Hartz (Co-founder of EventBrite)","White / Caucasian","Woman",59,52
1,0,"treat","men",1,1,0,"Bill Gates (Co-founder of Microsoft)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Brian Moynihan (CEO of Bank of America)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",46,52
0,0,"control","men",0,1,0,"Mark Zuckerberg (Co-founder of Facebook)","Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Michael Bloomberg (Co-founder of Bloomberg LP)","Kendra Scott (Founder of Kendra Scott)","Brian Moynihan (CEO of Bank of America)","Black or African American","Woman",40,52
1,1,"treat","women",1,4,0,"Leah Busque (Founder of TaskRabbit)","Kate Johnson (CEO of Lumen Technologies)","Carol Tomé (CEO of UPS)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Oprah Winfrey (Founder of OWN)","White / Caucasian","Woman",31,52
1,0,"treat","men",0,2,0,"Lisa Su (CEO of AMD)","Jensen Huang (CEO of NVIDIA)","Andy Jassy (CEO of Amazon)","Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","Jane Fraser (CEO of Citigroup)","Satya Nadella (CEO of Microsoft)","White / Caucasian","Man",49,52
0,1,"control","women",1,6,0,"Kate Johnson (CEO of Lumen Technologies)","Arianna Huffington (Founder of Thrive Global)","Melanie Perkins (Founder of Canva)","Oprah Winfrey (Founder of OWN)","Gail Boudreaux (CEO of Elevance Health)","Julia Hartz (Co-founder of EventBrite)","Lisa Su (CEO of AMD)","White / Caucasian","Woman",30,52
1,0,"treat","men",1,3,0,"Lisa Su (CEO of AMD)","Whitney Wolfe Herd (Founder of Bumble)","Leah Busque (Founder of TaskRabbit)","Larry Page (Co-founder of Google)","Warren Buffett (CEO of Berkshire Hathaway)","Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","American Indian or Alaskan Native","Man",43,52
1,1,"treat","women",1,3,0,"Kate Johnson (CEO of Lumen Technologies)","Larry Page (Co-founder of Google)","Mary Barra (CEO of General Motors)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Leah Busque (Founder of TaskRabbit)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Man",35,52
0,1,"control","women",0,3,0,"Michele Buck (CEO of Hershey)","Oprah Winfrey (Founder of OWN)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Carol Tomé (CEO of UPS)","Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Black or African American","Man",37,52
0,0,"control","men",0,1,0,"Tim Cook (CEO of Apple)","Kendra Scott (Founder of Kendra Scott)","Jeff Bezos (Founder of Amazon)","Andy Jassy (CEO of Amazon)","Bill Gates (Co-founder of Microsoft)","Brian Moynihan (CEO of Bank of America)","Phil Knight (Co-founder of Nike)","Black or African American","Woman",24,52
0,0,"control","men",0,1,0,"Andy Jassy (CEO of Amazon)","Brian Moynihan (CEO of Bank of America)","Satya Nadella (CEO of Microsoft)","Tim Cook (CEO of Apple)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","White / Caucasian","Woman",24,52
1,0,"treat","men",1,0,0,"Bill Gates (Co-founder of Microsoft)","Mark Zuckerberg (Co-founder of Facebook)","Andy Jassy (CEO of Amazon)","Richard Branson (Founder of Virgin Group)","Tim Cook (CEO of Apple)","Michael Bloomberg (Co-founder of Bloomberg LP)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",50,52
1,0,"treat","men",0,2,0,"Richard Branson (Founder of Virgin Group)","Michael Bloomberg (Co-founder of Bloomberg LP)","Leah Busque (Founder of TaskRabbit)","Jensen Huang (CEO of NVIDIA)","Larry Page (Co-founder of Google)","Kendra Scott (Founder of Kendra Scott)","Tim Cook (CEO of Apple)","White / Caucasian","Man",51,52
1,0,"treat","men",1,0,0,"Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Howard Schultz (Founder of Starbucks)","Daymond John (Founder of FUBU)","Larry Page (Co-founder of Google)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Lisa Su (CEO of AMD)","White / Caucasian","Woman",57,52
1,1,"treat","women",1,3,0,"Oprah Winfrey (Founder of OWN)","Arianna Huffington (Founder of Thrive Global)","Kate Johnson (CEO of Lumen Technologies)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Daymond John (Founder of FUBU)","Melanie Perkins (Founder of Canva)","White / Caucasian","Woman",52,52
0,1,"control","women",0,4,0,"Larry Page (Co-founder of Google)","Julia Hartz (Co-founder of EventBrite)","Tim Cook (CEO of Apple)","Whitney Wolfe Herd (Founder of Bumble)","Kendra Scott (Founder of Kendra Scott)","Lisa Su (CEO of AMD)","Sundar Pichai (CEO of Alphabet Inc.)","Asian / Pacific Islander","Woman",40,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Michael Bloomberg (Co-founder of Bloomberg LP)","Satya Nadella (CEO of Microsoft)","Leah Busque (Founder of TaskRabbit)","Brian Moynihan (CEO of Bank of America)","Jensen Huang (CEO of NVIDIA)","White / Caucasian","Woman",34,52
0,0,"control","men",0,1,0,"Satya Nadella (CEO of Microsoft)","Kendra Scott (Founder of Kendra Scott)","Jensen Huang (CEO of NVIDIA)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Daymond John (Founder of FUBU)","Michael Bloomberg (Co-founder of Bloomberg LP)","Hispanic / Latinx","Man",36,52
0,1,"control","women",1,6,0,"Arianna Huffington (Founder of Thrive Global)","Carol Tomé (CEO of UPS)","Jessica Alba (Founder of The Honest Company)","Leah Busque (Founder of TaskRabbit)","Julia Hartz (Co-founder of EventBrite)","Oprah Winfrey (Founder of OWN)","Kate Johnson (CEO of Lumen Technologies)","White / Caucasian","Woman",47,52
0,1,"control","women",1,3,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Melanie Perkins (Founder of Canva)","Michele Buck (CEO of Hershey)","Kate Johnson (CEO of Lumen Technologies)","Carol Tomé (CEO of UPS)","Black or African American","Man",52,52
0,0,"control","men",0,1,0,"Tim Cook (CEO of Apple)","Bill Gates (Co-founder of Microsoft)","Sundar Pichai (CEO of Alphabet Inc.)","Michael Bloomberg (Co-founder of Bloomberg LP)","Jeff Bezos (Founder of Amazon)","Jane Fraser (CEO of Citigroup)","Howard Schultz (Founder of Starbucks)","White / Caucasian","Man",48,52
1,1,"treat","women",0,3,0,"Carol Tomé (CEO of UPS)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Melanie Perkins (Founder of Canva)","Linda Yaccarino (CEO of X)","Larry Page (Co-founder of Google)","Daymond John (Founder of FUBU)","White / Caucasian","Man",44,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Brian Moynihan (CEO of Bank of America)","Warren Buffett (CEO of Berkshire Hathaway)","Jeff Bezos (Founder of Amazon)","Jane Fraser (CEO of Citigroup)","Satya Nadella (CEO of Microsoft)","White / Caucasian","Man",40,52
1,0,"treat","men",1,0,0,"Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Satya Nadella (CEO of Microsoft)","Jensen Huang (CEO of NVIDIA)","Howard Schultz (Founder of Starbucks)","Brian Moynihan (CEO of Bank of America)","Lisa Su (CEO of AMD)","Asian / Pacific Islander","Non-binary",27,52
1,1,"treat","women",0,3,0,"Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Warren Buffett (CEO of Berkshire Hathaway)","Oprah Winfrey (Founder of OWN)","Mary Barra (CEO of General Motors)","Carol Tomé (CEO of UPS)","Tim Cook (CEO of Apple)","White / Caucasian","Man",35,52
0,1,"control","women",1,6,0,"Arianna Huffington (Founder of Thrive Global)","Jessica Alba (Founder of The Honest Company)","Whitney Wolfe Herd (Founder of Bumble)","Jane Fraser (CEO of Citigroup)","Gail Boudreaux (CEO of Elevance Health)","Leah Busque (Founder of TaskRabbit)","Melanie Perkins (Founder of Canva)","Black or African American","Woman",42,52
0,1,"control","women",1,4,0,"Larry Page (Co-founder of Google)","Oprah Winfrey (Founder of OWN)","Tim Cook (CEO of Apple)","Jessica Alba (Founder of The Honest Company)","Arianna Huffington (Founder of Thrive Global)","Kate Johnson (CEO of Lumen Technologies)","Michele Buck (CEO of Hershey)","White / Caucasian","Woman",42,52
1,1,"treat","women",1,6,0,"Sara Blakely (Founder of Spanx)","Melanie Perkins (Founder of Canva)","Leah Busque (Founder of TaskRabbit)","Oprah Winfrey (Founder of OWN)","Kendra Scott (Founder of Kendra Scott)","Carol Tomé (CEO of UPS)","Arianna Huffington (Founder of Thrive Global)","White / Caucasian","Woman",39,52
1,0,"treat","men",0,1,0,"Richard Branson (Founder of Virgin Group)","Jeff Bezos (Founder of Amazon)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Jamie Dimon (CEO of JPMorgan Chase)","Sundar Pichai (CEO of Alphabet Inc.)","Jensen Huang (CEO of NVIDIA)","White / Caucasian","Man",42,52
1,1,"treat","women",1,4,0,"Arianna Huffington (Founder of Thrive Global)","Oprah Winfrey (Founder of OWN)","Jessica Alba (Founder of The Honest Company)","Warren Buffett (CEO of Berkshire Hathaway)","Daymond John (Founder of FUBU)","Melanie Perkins (Founder of Canva)","Michele Buck (CEO of Hershey)","White / Caucasian","Woman",69,52
1,0,"treat","men",1,0,0,"Michael Bloomberg (Co-founder of Bloomberg LP)","Warren Buffett (CEO of Berkshire Hathaway)","Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","White / Caucasian","Woman",39,52
0,1,"control","women",1,3,0,"Tim Cook (CEO of Apple)","Arianna Huffington (Founder of Thrive Global)","Warren Buffett (CEO of Berkshire Hathaway)","Daymond John (Founder of FUBU)","Gail Boudreaux (CEO of Elevance Health)","Oprah Winfrey (Founder of OWN)","Melanie Perkins (Founder of Canva)","White / Caucasian","Woman",51,52
0,0,"control","men",0,1,0,"Bill Gates (Co-founder of Microsoft)","Richard Branson (Founder of Virgin Group)","Jeff Bezos (Founder of Amazon)","Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Jensen Huang (CEO of NVIDIA)","Daymond John (Founder of FUBU)","Hispanic / Latinx","Man",49,52
0,1,"control","women",0,3,0,"Michele Buck (CEO of Hershey)","Melanie Perkins (Founder of Canva)","Warren Buffett (CEO of Berkshire Hathaway)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Hispanic / Latinx","Woman",28,52
1,1,"treat","women",1,3,0,"Melanie Perkins (Founder of Canva)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Carol Tomé (CEO of UPS)","Tim Cook (CEO of Apple)","Michele Buck (CEO of Hershey)","Black or African American","Woman",38,52
1,1,"treat","women",1,3,0,"Phil Knight (Co-founder of Nike)","Michele Buck (CEO of Hershey)","Oprah Winfrey (Founder of OWN)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Melanie Perkins (Founder of Canva)","Carol Tomé (CEO of UPS)","White / Caucasian","Non-binary",26,52
0,1,"control","women",0,3,0,"Daymond John (Founder of FUBU)","Jessica Alba (Founder of The Honest Company)","Warren Buffett (CEO of Berkshire Hathaway)","Sara Blakely (Founder of Spanx)","Kendra Scott (Founder of Kendra Scott)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",43,52
0,0,"control","men",1,0,0,"Lloyd Blankfein (Former CEO of Goldman Sachs)","Jamie Dimon (CEO of JPMorgan Chase)","Brian Moynihan (CEO of Bank of America)","Larry Page (Co-founder of Google)","Richard Branson (Founder of Virgin Group)","Warren Buffett (CEO of Berkshire Hathaway)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",62,52
1,0,"treat","men",1,1,0,"Bill Gates (Co-founder of Microsoft)","Kendra Scott (Founder of Kendra Scott)","Andy Jassy (CEO of Amazon)","Jamie Dimon (CEO of JPMorgan Chase)","Mark Zuckerberg (Co-founder of Facebook)","Tim Cook (CEO of Apple)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Woman",51,52
1,0,"treat","men",0,1,0,"Tim Cook (CEO of Apple)","Lisa Su (CEO of AMD)","Jensen Huang (CEO of NVIDIA)","Phil Knight (Co-founder of Nike)","Bill Gates (Co-founder of Microsoft)","Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Hispanic / Latinx","Man",35,52
0,0,"control","men",0,0,0,"Jensen Huang (CEO of NVIDIA)","Jamie Dimon (CEO of JPMorgan Chase)","Jeff Bezos (Founder of Amazon)","Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Michael Bloomberg (Co-founder of Bloomberg LP)","White / Caucasian","Woman",64,52
1,1,"treat","women",0,6,0,"Sara Blakely (Founder of Spanx)","Melanie Perkins (Founder of Canva)","Arianna Huffington (Founder of Thrive Global)","Carol Tomé (CEO of UPS)","Whitney Wolfe Herd (Founder of Bumble)","Leah Busque (Founder of TaskRabbit)","Phil Knight (Co-founder of Nike)","Hispanic / Latinx","Woman",29,52
0,0,"control","men",1,3,0,"Kendra Scott (Founder of Kendra Scott)","Richard Branson (Founder of Virgin Group)","Warren Buffett (CEO of Berkshire Hathaway)","Lisa Su (CEO of AMD)","Leah Busque (Founder of TaskRabbit)","Daymond John (Founder of FUBU)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",74,52
1,0,"treat","men",0,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Satya Nadella (CEO of Microsoft)","Lisa Su (CEO of AMD)","Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","Mary Barra (CEO of General Motors)","Sundar Pichai (CEO of Alphabet Inc.)","Hispanic / Latinx","Man",25,52
1,0,"treat","men",1,0,0,"Tim Cook (CEO of Apple)","Mark Zuckerberg (Co-founder of Facebook)","Bill Gates (Co-founder of Microsoft)","Jamie Dimon (CEO of JPMorgan Chase)","Larry Page (Co-founder of Google)","Satya Nadella (CEO of Microsoft)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",67,52
1,1,"treat","women",1,2,0,"Larry Page (Co-founder of Google)","Michele Buck (CEO of Hershey)","Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","Carol Tomé (CEO of UPS)","Kate Johnson (CEO of Lumen Technologies)","White / Caucasian","Non-binary",19,52
0,1,"control","women",1,4,0,"Carol Tomé (CEO of UPS)","Melanie Perkins (Founder of Canva)","Oprah Winfrey (Founder of OWN)","Jessica Alba (Founder of The Honest Company)","Larry Page (Co-founder of Google)","Sundar Pichai (CEO of Alphabet Inc.)","Gail Boudreaux (CEO of Elevance Health)","White / Caucasian","Woman",31,52
0,1,"control","women",1,3,0,"Arianna Huffington (Founder of Thrive Global)","Larry Page (Co-founder of Google)","Sara Blakely (Founder of Spanx)","Tim Cook (CEO of Apple)","Michele Buck (CEO of Hershey)","Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Woman",29,52
1,1,"treat","women",1,4,0,"Sara Blakely (Founder of Spanx)","Kate Johnson (CEO of Lumen Technologies)","Jessica Alba (Founder of The Honest Company)","Daymond John (Founder of FUBU)","Michele Buck (CEO of Hershey)","Warren Buffett (CEO of Berkshire Hathaway)","Kendra Scott (Founder of Kendra Scott)","Black or African American","Woman",74,52
0,1,"control","women",0,5,0,"Sara Blakely (Founder of Spanx)","Tim Cook (CEO of Apple)","Jessica Alba (Founder of The Honest Company)","Michele Buck (CEO of Hershey)","Oprah Winfrey (Founder of OWN)","Melanie Perkins (Founder of Canva)","Larry Page (Co-founder of Google)","White / Caucasian","Woman",47,52
0,0,"control","men",0,0,0,"Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Larry Page (Co-founder of Google)","Satya Nadella (CEO of Microsoft)","Jeff Bezos (Founder of Amazon)","Jensen Huang (CEO of NVIDIA)","Bill Gates (Co-founder of Microsoft)","White / Caucasian","Man",42,52
1,1,"treat","women",0,5,0,"Carol Tomé (CEO of UPS)","Arianna Huffington (Founder of Thrive Global)","Kate Johnson (CEO of Lumen Technologies)","Linda Yaccarino (CEO of X)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Daymond John (Founder of FUBU)","Black or African American","Man",27,52
0,0,"control","men",0,3,0,"Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Whitney Wolfe Herd (Founder of Bumble)","Satya Nadella (CEO of Microsoft)","Leah Busque (Founder of TaskRabbit)","Mary Barra (CEO of General Motors)","Richard Branson (Founder of Virgin Group)","Black or African American","Woman",48,52
0,1,"control","women",0,5,0,"Gail Boudreaux (CEO of Elevance Health)","Carol Tomé (CEO of UPS)","Daymond John (Founder of FUBU)","Oprah Winfrey (Founder of OWN)","Kendra Scott (Founder of Kendra Scott)","Jane Fraser (CEO of Citigroup)","Tim Cook (CEO of Apple)","Black or African American","Woman",34,52
1,0,"treat","men",0,2,0,"Andy Jassy (CEO of Amazon)","Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Jeff Bezos (Founder of Amazon)","Leah Busque (Founder of TaskRabbit)","Whitney Wolfe Herd (Founder of Bumble)","Satya Nadella (CEO of Microsoft)","White / Caucasian","Woman",24,52
1,1,"treat","women",1,2,0,"Sara Blakely (Founder of Spanx)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Carol Tomé (CEO of UPS)","White / Caucasian","Man",54,52
1,0,"treat","men",1,0,0,"Satya Nadella (CEO of Microsoft)","Andy Jassy (CEO of Amazon)","Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Mark Zuckerberg (Co-founder of Facebook)","Brian Moynihan (CEO of Bank of America)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",60,52
0,0,"control","men",0,1,0,"Mark Zuckerberg (Co-founder of Facebook)","Bill Gates (Co-founder of Microsoft)","Howard Schultz (Founder of Starbucks)","Leah Busque (Founder of TaskRabbit)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Brian Moynihan (CEO of Bank of America)","White / Caucasian","Woman",29,52
1,0,"treat","men",1,1,0,"Tim Cook (CEO of Apple)","Jeff Bezos (Founder of Amazon)","Andy Jassy (CEO of Amazon)","Satya Nadella (CEO of Microsoft)","Michael Bloomberg (Co-founder of Bloomberg LP)","Lisa Su (CEO of AMD)","Kendra Scott (Founder of Kendra Scott)","Black or African American","Woman",60,52
1,0,"treat","men",0,3,0,"Kendra Scott (Founder of Kendra Scott)","Bill Gates (Co-founder of Microsoft)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Jamie Dimon (CEO of JPMorgan Chase)","Sundar Pichai (CEO of Alphabet Inc.)","Hispanic / Latinx","Woman",25,52
0,1,"control","women",0,3,0,"Sundar Pichai (CEO of Alphabet Inc.)","Phil Knight (Co-founder of Nike)","Daymond John (Founder of FUBU)","Leah Busque (Founder of TaskRabbit)","Kendra Scott (Founder of Kendra Scott)","Arianna Huffington (Founder of Thrive Global)","Warren Buffett (CEO of Berkshire Hathaway)","White / Caucasian","Woman",59,52
0,0,"control","men",0,0,0,"Brian Moynihan (CEO of Bank of America)","Jeff Bezos (Founder of Amazon)","Mark Zuckerberg (Co-founder of Facebook)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Howard Schultz (Founder of Starbucks)","Bill Gates (Co-founder of Microsoft)","White / Caucasian","Man",37,52
1,1,"treat","women",1,4,0,"Jessica Alba (Founder of The Honest Company)","Linda Yaccarino (CEO of X)","Phil Knight (Co-founder of Nike)","Whitney Wolfe Herd (Founder of Bumble)","Warren Buffett (CEO of Berkshire Hathaway)","Michele Buck (CEO of Hershey)","Arianna Huffington (Founder of Thrive Global)","White / Caucasian","Woman",40,52
1,1,"treat","women",1,2,0,"Linda Yaccarino (CEO of X)","Lisa Su (CEO of AMD)","Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",39,52
