"gender_feedback","budget_shown","year_shown","poli_shown","female_pick","budget_pick","year_pick","poli_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
1,1,1,0,1,0,1,0,"Man",2,"Jobs","A Beautiful Mind","Lincoln","Marie Antoinette","Oppenheimer","The Iron Lady","Judy","White / Caucasian",28,1,1
0,1,1,1,0,0,1,0,"Man",1,"Braveheart","Lincoln","Jobs","A Beautiful Mind","On The Basis of Sex","A Beautiful Day in the Neighborhood","The Imitation Game","White / Caucasian",38,1,1
0,1,1,1,0,0,1,0,"Woman",2,"Nixon","The Iron Lady","W. A Life Misunderstood","Coco Before Chanel","JFK","The Darkest Hour","The Imitation Game","White / Caucasian",51,0,1
0,1,1,1,0,1,1,1,"Woman",3,"The Darkest Hour","Tolkien","Coco Before Chanel","On The Basis of Sex","Jobs","Marie Antoinette","Lincoln","White / Caucasian",30,0,1
0,1,1,1,0,0,1,0,"Man",1,"The Darkest Hour","A Beautiful Mind","Jobs","W. A Life Misunderstood","The Iron Lady","The Doors","A Beautiful Day in the Neighborhood","White / Caucasian",34,1,1
1,1,1,0,0,1,0,0,"Man",0,"Lincoln","The Doors","Oppenheimer","Amadeus","A Beautiful Day in the Neighborhood","Braveheart","The Aviator","Asian / Pacific Islander",37,1,0
1,0,1,1,0,1,0,1,"Man",2,"Oppenheimer","Braveheart","A Beautiful Day in the Neighborhood","Marie Antoinette","Judy","The Doors","JFK","White / Caucasian",40,1,1
0,1,1,1,0,0,1,0,"Man",1,"Jobs","Coco Before Chanel","Oppenheimer","Braveheart","Tolkien","The Aviator","A Beautiful Day in the Neighborhood","White / Caucasian",44,1,1
1,0,1,1,1,0,1,0,"Man",0,"Chaplin","Hitchcock","Tolkien","Jobs","Braveheart","Lincoln","Judy","White / Caucasian",40,1,1
1,1,0,1,1,1,0,1,"Woman",0,"Hitchcock","The Imitation Game","A Beautiful Day in the Neighborhood","Amadeus","Nixon","Jobs","Marie Antoinette","White / Caucasian",40,0,1
0,1,1,1,0,0,0,0,"Man",0,"The Aviator","A Beautiful Mind","Oppenheimer","A Beautiful Day in the Neighborhood","The Doors","Lincoln","Chaplin","White / Caucasian",47,1,1
1,1,1,0,1,1,0,1,"Woman",3,"On The Basis of Sex","Coco Before Chanel","A Beautiful Day in the Neighborhood","Judy","Jobs","Lincoln","Marie Antoinette","White / Caucasian",26,0,1
1,0,1,1,0,1,0,1,"Man",1,"J. Edgar","Oppenheimer","Lincoln","A Beautiful Day in the Neighborhood","Nixon","On The Basis of Sex","Braveheart","Hispanic / Latinx",31,1,0
1,0,1,1,1,1,0,1,"Woman",2,"Coco Before Chanel","Nixon","Hitchcock","The Iron Lady","The Doors","A Beautiful Mind","Marie Antoinette","White / Caucasian",51,0,1
0,1,1,1,0,0,1,0,"Man",2,"Oppenheimer","On The Basis of Sex","A Beautiful Day in the Neighborhood","Jobs","The Doors","Coco Before Chanel","Tolkien","Hispanic / Latinx",31,1,0
0,1,1,1,1,0,0,0,"Woman",1,"A Beautiful Day in the Neighborhood","On The Basis of Sex","Amadeus","Hitchcock","Chaplin","The Doors","Coco Before Chanel","Black or African American",30,0,0
0,1,1,1,0,1,1,0,"Man",1,"Jobs","A Beautiful Mind","Lincoln","Marie Antoinette","A Beautiful Day in the Neighborhood","Oppenheimer","Moneyball","Hispanic / Latinx",27,1,0
1,1,0,1,1,0,1,1,"Man",0,"Jobs","Lincoln","Capote","Hitchcock","The Aviator","Moneyball","The Iron Lady","Asian / Pacific Islander",49,1,0
0,1,1,1,0,1,1,1,"Woman",2,"Amadeus","On The Basis of Sex","Chaplin","Oppenheimer","Braveheart","Judy","Lincoln","White / Caucasian",30,0,1
0,1,1,1,0,1,0,0,"Woman",3,"A Beautiful Day in the Neighborhood","Judy","Oppenheimer","Braveheart","On The Basis of Sex","Marie Antoinette","A Beautiful Mind","Black or African American",31,0,0
0,1,1,1,0,0,1,0,"Man",1,"Lincoln","Amadeus","Oppenheimer","On The Basis of Sex","Nixon","The Imitation Game","Jobs","Asian / Pacific Islander",52,1,0
1,1,1,0,1,0,1,1,"Woman",1,"Braveheart","Hitchcock","A Beautiful Mind","The Imitation Game","Coco Before Chanel","Oppenheimer","On The Basis of Sex","White / Caucasian",27,0,1
0,1,1,1,0,1,0,0,"Woman",2,"On The Basis of Sex","The Iron Lady","Oppenheimer","Lincoln","J. Edgar","Nixon","A Beautiful Mind","White / Caucasian",46,0,1
0,1,1,1,0,0,0,0,"Man",1,"Amadeus","Braveheart","Oppenheimer","The Iron Lady","Lincoln","A Beautiful Day in the Neighborhood","The Doors","White / Caucasian",46,1,1
1,1,1,0,1,0,0,0,"Woman",1,"The Doors","Nixon","Braveheart","Chaplin","Jobs","Judy","Coco Before Chanel","White / Caucasian",49,0,1
1,1,1,0,0,0,1,0,"Man",0,"Hitchcock","Lincoln","The Aviator","A Beautiful Day in the Neighborhood","Chaplin","Jobs","The Imitation Game","White / Caucasian",46,1,1
1,1,1,0,0,0,1,0,"Man",0,"The Doors","Moneyball","A Beautiful Day in the Neighborhood","W. A Life Misunderstood","Braveheart","The Aviator","Tolkien","White / Caucasian",45,1,1
1,1,1,0,1,0,1,0,"Man",0,"A Beautiful Day in the Neighborhood","JFK","The Imitation Game","The Doors","Braveheart","Lincoln","Judy","White / Caucasian",43,1,1
0,1,1,1,0,0,1,0,"Man",1,"Oppenheimer","On The Basis of Sex","Lincoln","The Imitation Game","The Darkest Hour","J. Edgar","A Beautiful Day in the Neighborhood","Asian / Pacific Islander",37,1,0
0,1,1,1,0,1,1,0,"Woman",0,"A Beautiful Mind","JFK","Amadeus","Lincoln","The Aviator","Nixon","Moneyball","White / Caucasian",56,0,1
0,1,1,1,0,0,1,1,"Woman",0,"The Doors","The Imitation Game","Hitchcock","Moneyball","JFK","Oppenheimer","The Darkest Hour","White / Caucasian",31,0,1
1,1,1,0,1,0,1,0,"Man",0,"Amadeus","Oppenheimer","Lincoln","Capote","Moneyball","Jobs","Judy","White / Caucasian",58,1,1
1,1,1,0,1,0,1,0,"Woman",1,"Tolkien","The Aviator","The Iron Lady","The Doors","Braveheart","A Beautiful Day in the Neighborhood","Judy","White / Caucasian",56,0,1
1,0,1,1,0,1,0,1,"Man",0,"Jobs","Tolkien","Oppenheimer","A Beautiful Day in the Neighborhood","A Beautiful Mind","Moneyball","Braveheart","White / Caucasian",38,1,1
0,1,1,1,0,1,0,0,"Woman",1,"Amadeus","A Beautiful Day in the Neighborhood","Hitchcock","JFK","On The Basis of Sex","Chaplin","The Aviator","Black or African American",52,0,0
0,1,1,1,0,0,0,0,"Man",3,"Amadeus","Marie Antoinette","The Aviator","Capote","Judy","Coco Before Chanel","Chaplin","White / Caucasian",33,1,1
1,0,1,1,0,0,0,1,"Man",0,"The Aviator","J. Edgar","Chaplin","The Imitation Game","Capote","Tolkien","W. A Life Misunderstood","Black or African American",27,1,0
0,1,1,1,0,0,0,0,"Man",0,"Oppenheimer","The Doors","JFK","Braveheart","Lincoln","Hitchcock","Amadeus","White / Caucasian",45,1,1
1,1,1,0,1,1,0,1,"Man",0,"Jobs","Lincoln","Oppenheimer","The Imitation Game","A Beautiful Mind","The Aviator","Marie Antoinette","White / Caucasian",43,1,1
1,1,1,0,0,0,1,0,"Man",1,"Tolkien","Lincoln","J. Edgar","Braveheart","On The Basis of Sex","The Darkest Hour","A Beautiful Day in the Neighborhood","White / Caucasian",57,1,1
0,1,1,1,0,0,1,0,"Woman",1,"Oppenheimer","Braveheart","A Beautiful Day in the Neighborhood","Marie Antoinette","A Beautiful Mind","The Aviator","Jobs","White / Caucasian",35,0,1
0,1,1,1,0,1,1,1,"Woman",0,"A Beautiful Day in the Neighborhood","Hitchcock","The Aviator","Tolkien","Jobs","J. Edgar","Lincoln","White / Caucasian",67,0,1
0,1,1,1,0,1,0,0,"Woman",2,"Oppenheimer","Judy","A Beautiful Day in the Neighborhood","The Doors","Tolkien","Marie Antoinette","The Aviator","White / Caucasian",49,0,1
0,1,1,1,0,0,1,0,"Man",0,"Oppenheimer","Jobs","Chaplin","Moneyball","Lincoln","JFK","Tolkien","White / Caucasian",28,1,1
0,1,1,1,0,1,1,1,"Woman",0,"The Darkest Hour","Braveheart","The Aviator","Oppenheimer","A Beautiful Day in the Neighborhood","The Imitation Game","Lincoln","White / Caucasian",40,0,1
0,1,1,1,0,0,1,0,"Man",2,"The Darkest Hour","The Imitation Game","Amadeus","Judy","Marie Antoinette","A Beautiful Mind","A Beautiful Day in the Neighborhood","Hispanic / Latinx",42,1,0
1,0,1,1,0,1,0,1,"Woman",0,"Capote","Chaplin","Hitchcock","J. Edgar","Jobs","Amadeus","JFK","Black or African American",36,0,0
0,1,1,1,0,0,1,0,"Woman",1,"Jobs","Chaplin","The Aviator","Marie Antoinette","Amadeus","Braveheart","The Imitation Game","Hispanic / Latinx",29,0,0
0,1,1,1,1,0,1,1,"Man",1,"The Doors","The Aviator","Tolkien","The Iron Lady","Lincoln","Moneyball","On The Basis of Sex","White / Caucasian",28,1,1
1,1,1,0,1,0,1,1,"Man",0,"Braveheart","The Aviator","Jobs","The Doors","Moneyball","W. A Life Misunderstood","On The Basis of Sex","White / Caucasian",28,1,1
1,1,1,0,1,0,1,1,"Man",0,"Braveheart","Tolkien","Amadeus","Oppenheimer","The Aviator","The Darkest Hour","On The Basis of Sex","White / Caucasian",37,1,1
0,1,1,1,0,1,0,0,"Woman",0,"Oppenheimer","Jobs","Hitchcock","The Imitation Game","The Aviator","Tolkien","A Beautiful Mind","White / Caucasian",40,0,1
0,1,1,1,0,0,1,0,"Man",0,"The Aviator","Jobs","JFK","Oppenheimer","Capote","A Beautiful Mind","Tolkien","Asian / Pacific Islander",50,1,0
1,1,1,0,0,0,0,0,"Woman",0,"Hitchcock","The Aviator","Jobs","The Doors","JFK","A Beautiful Day in the Neighborhood","Chaplin","White / Caucasian",33,0,1
1,0,1,1,1,0,1,1,"Man",0,"Lincoln","Oppenheimer","Braveheart","The Imitation Game","Jobs","Tolkien","The Iron Lady","White / Caucasian",44,1,1
1,0,1,1,1,1,0,1,"Man",0,"The Aviator","Braveheart","Oppenheimer","Chaplin","A Beautiful Day in the Neighborhood","A Beautiful Mind","Marie Antoinette","Black or African American",26,1,0
0,1,1,1,1,0,0,0,"Woman",1,"Hitchcock","On The Basis of Sex","Oppenheimer","A Beautiful Day in the Neighborhood","The Darkest Hour","A Beautiful Mind","Coco Before Chanel","Asian / Pacific Islander",39,0,0
1,1,1,0,0,1,0,0,"Woman",1,"Judy","Amadeus","Moneyball","A Beautiful Day in the Neighborhood","Hitchcock","Jobs","A Beautiful Mind","White / Caucasian",24,0,1
0,1,1,1,0,1,0,0,"Woman",1,"Lincoln","Jobs","The Doors","Marie Antoinette","Oppenheimer","A Beautiful Day in the Neighborhood","A Beautiful Mind","White / Caucasian",26,0,1
0,1,1,1,0,0,0,0,"Woman",1,"A Beautiful Day in the Neighborhood","On The Basis of Sex","The Imitation Game","Moneyball","The Darkest Hour","Lincoln","Amadeus","Asian / Pacific Islander",45,0,0
0,1,1,1,0,1,1,1,"Woman",0,"A Beautiful Mind","The Aviator","The Imitation Game","The Doors","Oppenheimer","Tolkien","Lincoln","White / Caucasian",50,0,1
0,1,1,1,0,1,0,1,"Man",2,"Braveheart","The Doors","Lincoln","Oppenheimer","On The Basis of Sex","Judy","JFK","White / Caucasian",55,1,1
1,1,0,1,0,0,0,0,"Woman",3,"Judy","Oppenheimer","On The Basis of Sex","Nixon","Braveheart","The Iron Lady","Chaplin","Black or African American",23,0,0
0,1,1,1,0,0,0,1,"Man",1,"The Doors","Braveheart","Judy","W. A Life Misunderstood","Lincoln","A Beautiful Mind","Nixon","White / Caucasian",33,1,1
0,1,1,1,0,0,0,0,"Man",1,"The Darkest Hour","Chaplin","Hitchcock","On The Basis of Sex","Lincoln","J. Edgar","The Doors","Black or African American",45,1,0
1,1,1,0,1,0,1,1,"Man",0,"Lincoln","Amadeus","A Beautiful Mind","Chaplin","Oppenheimer","Jobs","The Iron Lady","White / Caucasian",66,1,1
0,1,1,1,1,0,1,1,"Woman",0,"Oppenheimer","The Aviator","Tolkien","Jobs","A Beautiful Day in the Neighborhood","The Doors","The Iron Lady","White / Caucasian",58,0,1
0,1,1,1,1,0,0,0,"Woman",2,"Tolkien","On The Basis of Sex","The Imitation Game","Amadeus","A Beautiful Day in the Neighborhood","Judy","Coco Before Chanel","White / Caucasian",32,0,1
0,1,1,1,0,1,1,0,"Man",0,"Hitchcock","Chaplin","Lincoln","Amadeus","A Beautiful Day in the Neighborhood","J. Edgar","Oppenheimer","White / Caucasian",60,1,1
1,0,1,1,1,0,0,0,"Man",1,"Lincoln","A Beautiful Day in the Neighborhood","Tolkien","Moneyball","On The Basis of Sex","A Beautiful Mind","Coco Before Chanel","White / Caucasian",53,1,1
1,0,1,1,0,0,0,0,"Woman",1,"Moneyball","Lincoln","The Doors","Marie Antoinette","Hitchcock","A Beautiful Day in the Neighborhood","Amadeus","White / Caucasian",45,0,1
0,1,1,1,0,0,0,0,"Man",1,"Lincoln","Braveheart","Judy","Hitchcock","A Beautiful Day in the Neighborhood","Chaplin","Amadeus","White / Caucasian",41,1,1
0,1,1,1,0,0,0,1,"Man",0,"A Beautiful Mind","The Aviator","The Imitation Game","Jobs","Lincoln","The Darkest Hour","Nixon","White / Caucasian",73,1,1
1,0,1,1,1,1,0,1,"Woman",2,"On The Basis of Sex","A Beautiful Day in the Neighborhood","Oppenheimer","Judy","Lincoln","Jobs","Marie Antoinette","White / Caucasian",54,0,1
1,0,1,1,1,0,1,1,"Man",0,"Lincoln","Braveheart","The Aviator","The Doors","Jobs","Amadeus","On The Basis of Sex","Black or African American",47,1,0
1,0,1,1,0,0,1,0,"Man",1,"The Imitation Game","J. Edgar","JFK","The Darkest Hour","On The Basis of Sex","Moneyball","Tolkien","Asian / Pacific Islander",27,1,0
0,1,1,1,0,0,1,0,"Man",1,"Lincoln","A Beautiful Day in the Neighborhood","On The Basis of Sex","The Imitation Game","JFK","Amadeus","Tolkien","White / Caucasian",46,1,1
1,0,1,1,0,0,0,1,"Woman",3,"A Beautiful Day in the Neighborhood","Coco Before Chanel","The Doors","Jobs","Marie Antoinette","On The Basis of Sex","W. A Life Misunderstood","White / Caucasian",34,0,1
1,0,1,1,1,0,0,0,"Man",1,"On The Basis of Sex","Tolkien","A Beautiful Day in the Neighborhood","Lincoln","The Imitation Game","Jobs","Coco Before Chanel","White / Caucasian",37,1,1
0,1,1,1,0,0,1,0,"Man",0,"A Beautiful Mind","Braveheart","The Doors","Oppenheimer","Moneyball","The Imitation Game","Jobs","White / Caucasian",37,1,1
