"gender_feedback","budget_shown","year_shown","poli_shown","female_pick","budget_pick","year_pick","poli_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
0,1,1,1,1,0,1,1,"Woman",2,"Lincoln","Chaplin","Marie Antoinette","Coco Before Chanel","Oppenheimer","The Darkest Hour","On The Basis of Sex","White / Caucasian",29,0,1
0,1,1,1,1,0,1,1,"Man",0,"Jobs","The Aviator","A Beautiful Mind","A Beautiful Day in the Neighborhood","Oppenheimer","Lincoln","On The Basis of Sex","White / Caucasian",55,1,1
0,1,1,1,0,0,1,0,"Man",2,"The Doors","Coco Before Chanel","Hitchcock","The Darkest Hour","Lincoln","On The Basis of Sex","Jobs","Black or African American",30,1,0
0,1,1,1,0,0,0,0,"Man",1,"The Imitation Game","A Beautiful Mind","Braveheart","Lincoln","Jobs","Marie Antoinette","Chaplin","Asian / Pacific Islander",59,1,0
1,1,1,0,0,0,1,0,"Man",2,"On The Basis of Sex","W. A Life Misunderstood","Amadeus","Tolkien","Marie Antoinette","J. Edgar","The Imitation Game","White / Caucasian",43,1,1
0,1,1,1,1,0,1,1,"Man",1,"Tolkien","Oppenheimer","Lincoln","A Beautiful Day in the Neighborhood","Judy","Braveheart","On The Basis of Sex","White / Caucasian",36,1,1
0,1,1,1,0,1,1,0,"Man",2,"A Beautiful Day in the Neighborhood","On The Basis of Sex","Amadeus","Coco Before Chanel","Lincoln","The Darkest Hour","Moneyball","White / Caucasian",43,1,1
0,1,1,1,0,1,1,0,"Woman",2,"The Aviator","Jobs","Coco Before Chanel","The Imitation Game","On The Basis of Sex","Lincoln","Oppenheimer","White / Caucasian",29,0,1
0,1,1,1,0,0,1,0,"Man",1,"Lincoln","J. Edgar","Oppenheimer","On The Basis of Sex","JFK","Tolkien","Hitchcock","Hispanic / Latinx",59,1,0
1,1,1,0,0,0,1,0,"Man",2,"Oppenheimer","The Imitation Game","The Darkest Hour","Marie Antoinette","Tolkien","Coco Before Chanel","Hitchcock","White / Caucasian",43,1,1
0,1,1,1,1,1,0,1,"Woman",3,"On The Basis of Sex","Lincoln","Jobs","Judy","The Iron Lady","Hitchcock","Marie Antoinette","Black or African American",54,0,0
1,1,1,0,0,0,1,0,"Woman",3,"Coco Before Chanel","Hitchcock","Judy","Marie Antoinette","Jobs","W. A Life Misunderstood","Tolkien","White / Caucasian",31,0,1
0,1,1,1,0,0,0,0,"Woman",3,"A Beautiful Day in the Neighborhood","Coco Before Chanel","Oppenheimer","The Iron Lady","Moneyball","On The Basis of Sex","Amadeus","White / Caucasian",61,0,1
0,1,1,1,0,0,1,0,"Man",2,"On The Basis of Sex","Braveheart","Amadeus","The Iron Lady","The Darkest Hour","Lincoln","Jobs","White / Caucasian",54,1,1
1,0,1,1,1,0,1,1,"Man",1,"Nixon","Amadeus","Braveheart","Marie Antoinette","Oppenheimer","Capote","On The Basis of Sex","White / Caucasian",42,1,1
1,1,0,1,1,0,0,0,"Man",2,"Jobs","A Beautiful Day in the Neighborhood","Judy","W. A Life Misunderstood","Tolkien","On The Basis of Sex","Coco Before Chanel","White / Caucasian",28,1,1
1,1,1,0,1,1,0,1,"Woman",0,"The Imitation Game","Moneyball","Capote","Hitchcock","The Doors","Amadeus","Marie Antoinette","White / Caucasian",56,0,1
0,1,1,1,0,0,1,0,"Man",0,"Lincoln","The Aviator","Moneyball","Oppenheimer","Jobs","Hitchcock","The Imitation Game","Black or African American",51,1,0
1,1,1,0,0,0,1,1,"Woman",1,"J. Edgar","Tolkien","On The Basis of Sex","Jobs","Hitchcock","Lincoln","The Darkest Hour","White / Caucasian",39,0,1
0,1,1,1,0,0,0,0,"Woman",0,"Braveheart","Lincoln","Tolkien","A Beautiful Day in the Neighborhood","The Darkest Hour","W. A Life Misunderstood","Amadeus","White / Caucasian",67,0,1
0,1,1,1,0,0,1,0,"Woman",2,"Tolkien","A Beautiful Day in the Neighborhood","A Beautiful Mind","The Iron Lady","Marie Antoinette","The Darkest Hour","The Imitation Game","White / Caucasian",53,0,1
0,1,1,1,0,0,1,0,"Man",0,"Lincoln","The Darkest Hour","A Beautiful Day in the Neighborhood","A Beautiful Mind","The Imitation Game","Braveheart","Jobs","White / Caucasian",45,1,1
1,1,1,0,1,0,1,1,"Woman",0,"JFK","Braveheart","Nixon","Lincoln","J. Edgar","W. A Life Misunderstood","The Iron Lady","White / Caucasian",47,0,1
1,1,1,0,0,0,1,0,"Man",0,"Lincoln","A Beautiful Day in the Neighborhood","The Darkest Hour","Moneyball","Amadeus","Chaplin","Jobs","White / Caucasian",52,1,1
1,1,1,0,0,0,0,0,"Woman",1,"Moneyball","The Aviator","Braveheart","Tolkien","The Iron Lady","Jobs","Amadeus","White / Caucasian",58,0,1
0,1,1,1,0,1,1,0,"Man",0,"The Imitation Game","Braveheart","Moneyball","JFK","The Doors","Tolkien","Oppenheimer","White / Caucasian",50,1,1
1,1,1,0,0,0,1,0,"Man",0,"Jobs","The Doors","Lincoln","Oppenheimer","A Beautiful Day in the Neighborhood","J. Edgar","The Imitation Game","White / Caucasian",43,1,1
0,1,1,1,0,0,1,0,"Woman",2,"A Beautiful Mind","Jobs","A Beautiful Day in the Neighborhood","On The Basis of Sex","Judy","Oppenheimer","The Imitation Game","White / Caucasian",41,0,1
1,1,1,0,0,0,1,1,"Man",0,"Jobs","A Beautiful Mind","Tolkien","Amadeus","The Imitation Game","The Aviator","J. Edgar","White / Caucasian",65,1,1
1,1,1,0,0,1,0,0,"Woman",3,"Jobs","A Beautiful Day in the Neighborhood","Marie Antoinette","Coco Before Chanel","Judy","J. Edgar","The Aviator","White / Caucasian",45,0,1
0,1,1,1,0,0,1,0,"Man",0,"Oppenheimer","The Doors","A Beautiful Mind","Jobs","Lincoln","Capote","A Beautiful Day in the Neighborhood","White / Caucasian",40,1,1
0,1,1,1,1,0,1,1,"Woman",1,"A Beautiful Day in the Neighborhood","Lincoln","The Imitation Game","Marie Antoinette","Chaplin","Tolkien","The Iron Lady","White / Caucasian",37,0,1
0,1,1,1,0,0,0,1,"Man",0,"Lincoln","Oppenheimer","Amadeus","Chaplin","The Darkest Hour","Braveheart","Nixon","White / Caucasian",44,1,1
1,1,1,0,0,0,0,0,"Man",3,"The Darkest Hour","On The Basis of Sex","Judy","Marie Antoinette","Oppenheimer","JFK","Amadeus","White / Caucasian",44,1,1
1,0,1,1,0,1,1,0,"Man",1,"Oppenheimer","Lincoln","On The Basis of Sex","A Beautiful Day in the Neighborhood","Jobs","Tolkien","Moneyball","Asian / Pacific Islander",46,1,0
1,1,0,1,0,1,0,0,"Man",2,"Coco Before Chanel","Jobs","Nixon","A Beautiful Day in the Neighborhood","Hitchcock","Judy","The Aviator","White / Caucasian",60,1,1
0,1,1,1,0,0,0,0,"Man",3,"Moneyball","Marie Antoinette","Judy","The Doors","Braveheart","On The Basis of Sex","Chaplin","White / Caucasian",41,1,1
0,1,1,1,0,1,1,1,"Man",0,"The Imitation Game","Jobs","Oppenheimer","J. Edgar","A Beautiful Day in the Neighborhood","The Aviator","Lincoln","Black or African American",27,1,0
0,1,1,1,0,1,0,0,"Man",0,"The Imitation Game","Braveheart","Tolkien","Jobs","Oppenheimer","The Doors","The Aviator","Asian / Pacific Islander",33,1,0
0,1,1,1,0,0,1,0,"Man",2,"A Beautiful Mind","Judy","W. A Life Misunderstood","Moneyball","The Doors","Coco Before Chanel","Tolkien","Black or African American",27,1,0
1,1,1,0,0,0,0,0,"Woman",2,"Moneyball","Marie Antoinette","Coco Before Chanel","Lincoln","J. Edgar","The Doors","Chaplin","White / Caucasian",33,0,1
1,0,1,1,0,0,1,1,"Woman",1,"Lincoln","W. A Life Misunderstood","Oppenheimer","On The Basis of Sex","The Imitation Game","A Beautiful Day in the Neighborhood","J. Edgar","White / Caucasian",37,0,1
0,1,1,1,0,0,1,0,"Woman",2,"The Iron Lady","On The Basis of Sex","Oppenheimer","The Darkest Hour","Lincoln","Jobs","A Beautiful Day in the Neighborhood","White / Caucasian",30,0,1
1,1,1,0,0,1,1,1,"Man",0,"Capote","The Aviator","Oppenheimer","JFK","A Beautiful Mind","Moneyball","Lincoln","White / Caucasian",37,1,1
1,0,1,1,0,0,1,0,"Woman",1,"Chaplin","Marie Antoinette","Lincoln","The Aviator","Oppenheimer","A Beautiful Mind","A Beautiful Day in the Neighborhood","White / Caucasian",42,0,1
1,1,1,0,0,1,1,0,"Woman",1,"Amadeus","Chaplin","Braveheart","The Iron Lady","Lincoln","The Imitation Game","Oppenheimer","White / Caucasian",45,0,1
1,0,1,1,0,1,0,0,"Man",0,"A Beautiful Day in the Neighborhood","Oppenheimer","Moneyball","JFK","The Imitation Game","J. Edgar","The Aviator","White / Caucasian",39,1,1
0,1,1,1,0,1,0,0,"Woman",2,"Jobs","Hitchcock","Judy","J. Edgar","On The Basis of Sex","Lincoln","The Aviator","White / Caucasian",65,0,1
1,1,0,1,0,1,1,0,"Woman",1,"Hitchcock","The Aviator","Jobs","On The Basis of Sex","Nixon","J. Edgar","Oppenheimer","White / Caucasian",78,0,1
0,1,1,1,0,0,0,0,"Man",2,"Jobs","Hitchcock","A Beautiful Day in the Neighborhood","Marie Antoinette","The Imitation Game","On The Basis of Sex","Amadeus","White / Caucasian",32,1,1
0,1,1,1,0,0,1,0,"Man",1,"Moneyball","On The Basis of Sex","The Darkest Hour","A Beautiful Day in the Neighborhood","Jobs","Lincoln","Tolkien","White / Caucasian",47,1,1
1,0,1,1,1,0,1,1,"Woman",0,"W. A Life Misunderstood","J. Edgar","Tolkien","A Beautiful Mind","Lincoln","The Imitation Game","On The Basis of Sex","White / Caucasian",58,0,1
1,0,1,1,0,1,0,1,"Woman",0,"A Beautiful Day in the Neighborhood","Lincoln","W. A Life Misunderstood","J. Edgar","Tolkien","Chaplin","Braveheart","White / Caucasian",34,0,1
1,1,1,0,1,0,0,0,"Man",0,"Lincoln","Jobs","Tolkien","The Aviator","Hitchcock","A Beautiful Day in the Neighborhood","Coco Before Chanel","Hispanic / Latinx",29,1,0
1,0,1,1,1,0,1,1,"Woman",0,"Jobs","Lincoln","Oppenheimer","Chaplin","Tolkien","W. A Life Misunderstood","On The Basis of Sex","Asian / Pacific Islander",38,0,0
0,1,1,1,0,1,0,0,"Woman",1,"Jobs","On The Basis of Sex","Capote","Tolkien","W. A Life Misunderstood","The Doors","The Aviator","Black or African American",24,0,0
1,1,1,0,1,0,0,0,"Woman",0,"The Aviator","Lincoln","Braveheart","The Darkest Hour","Hitchcock","Amadeus","Coco Before Chanel","White / Caucasian",44,0,1
1,1,0,1,0,1,0,0,"Man",1,"Hitchcock","Lincoln","Oppenheimer","Braveheart","Tolkien","Marie Antoinette","A Beautiful Mind","White / Caucasian",32,1,1
0,1,1,1,1,0,1,1,"Man",0,"J. Edgar","Chaplin","Jobs","Lincoln","Oppenheimer","The Darkest Hour","On The Basis of Sex","White / Caucasian",31,1,1
1,1,0,1,1,0,1,1,"Woman",1,"Hitchcock","The Doors","Lincoln","Chaplin","Judy","A Beautiful Day in the Neighborhood","On The Basis of Sex","White / Caucasian",41,0,1
1,1,1,0,0,0,0,0,"Man",0,"Oppenheimer","Jobs","Amadeus","Hitchcock","Chaplin","Lincoln","The Doors","White / Caucasian",69,1,1
1,0,1,1,0,0,1,1,"Woman",2,"Tolkien","JFK","Marie Antoinette","Hitchcock","Lincoln","Coco Before Chanel","J. Edgar","White / Caucasian",72,0,1
1,0,1,1,1,0,1,0,"Man",0,"Amadeus","Chaplin","Oppenheimer","JFK","Lincoln","Braveheart","Judy","White / Caucasian",70,1,1
0,1,1,1,0,0,0,0,"Woman",1,"Lincoln","The Aviator","A Beautiful Day in the Neighborhood","Hitchcock","Judy","Chaplin","Capote","White / Caucasian",47,0,1
0,1,1,1,1,0,1,1,"Man",1,"The Iron Lady","Oppenheimer","Lincoln","The Imitation Game","A Beautiful Mind","Braveheart","On The Basis of Sex","Asian / Pacific Islander",38,1,0
0,1,1,1,1,0,0,0,"Woman",0,"A Beautiful Day in the Neighborhood","Jobs","Moneyball","A Beautiful Mind","Hitchcock","JFK","Coco Before Chanel","White / Caucasian",50,0,1
1,1,1,0,0,1,0,0,"Woman",2,"Jobs","Oppenheimer","Lincoln","On The Basis of Sex","The Imitation Game","Judy","The Aviator","White / Caucasian",37,0,1
1,1,0,1,1,1,0,1,"Man",1,"Amadeus","A Beautiful Day in the Neighborhood","The Aviator","A Beautiful Mind","Moneyball","On The Basis of Sex","Marie Antoinette","White / Caucasian",37,1,1
0,1,1,1,0,1,0,1,"Man",0,"Amadeus","Chaplin","The Doors","Tolkien","A Beautiful Day in the Neighborhood","Hitchcock","JFK","White / Caucasian",42,1,1
0,1,1,1,1,0,1,1,"Woman",1,"Chaplin","A Beautiful Mind","On The Basis of Sex","The Imitation Game","W. A Life Misunderstood","Jobs","The Iron Lady","White / Caucasian",44,0,1
1,0,1,1,1,0,1,0,"Man",0,"Lincoln","Chaplin","Oppenheimer","Braveheart","The Imitation Game","Capote","Judy","White / Caucasian",36,1,1
1,1,1,0,1,0,1,0,"Man",1,"Capote","Braveheart","Hitchcock","A Beautiful Day in the Neighborhood","Oppenheimer","The Iron Lady","Judy","White / Caucasian",46,1,1
0,1,1,1,0,0,0,1,"Woman",1,"Coco Before Chanel","Oppenheimer","The Aviator","Jobs","Tolkien","The Imitation Game","W. A Life Misunderstood","Asian / Pacific Islander",37,0,0
1,0,1,1,1,0,1,0,"Man",3,"Hitchcock","J. Edgar","The Imitation Game","Marie Antoinette","On The Basis of Sex","Coco Before Chanel","Judy","White / Caucasian",58,1,1
1,1,1,0,0,0,1,0,"Man",2,"A Beautiful Day in the Neighborhood","Oppenheimer","Marie Antoinette","Jobs","Judy","Capote","Tolkien","White / Caucasian",34,1,1
0,1,1,1,0,0,1,0,"Man",1,"Hitchcock","Judy","The Darkest Hour","Lincoln","A Beautiful Day in the Neighborhood","A Beautiful Mind","Jobs","White / Caucasian",48,1,1
1,1,1,0,1,0,1,1,"Man",0,"Braveheart","Hitchcock","The Imitation Game","Amadeus","A Beautiful Day in the Neighborhood","The Aviator","The Iron Lady","White / Caucasian",63,1,1
1,1,1,0,1,0,1,1,"Man",1,"Tolkien","Chaplin","Lincoln","Moneyball","Amadeus","Coco Before Chanel","On The Basis of Sex","White / Caucasian",33,1,1
0,1,1,1,1,0,0,0,"Man",0,"Capote","A Beautiful Mind","The Darkest Hour","J. Edgar","Lincoln","Oppenheimer","Coco Before Chanel","White / Caucasian",40,1,1
0,1,1,1,0,0,1,1,"Woman",2,"The Iron Lady","Lincoln","Oppenheimer","A Beautiful Day in the Neighborhood","Chaplin","Coco Before Chanel","The Darkest Hour","White / Caucasian",44,0,1
1,1,1,0,1,1,0,1,"Woman",2,"Capote","On The Basis of Sex","Chaplin","A Beautiful Day in the Neighborhood","JFK","The Iron Lady","Marie Antoinette","White / Caucasian",38,0,1
0,1,1,1,0,0,1,0,"Man",1,"Chaplin","The Aviator","Braveheart","Capote","Marie Antoinette","JFK","Hitchcock","Hispanic / Latinx",64,1,0
1,0,1,1,1,0,1,1,"Man",1,"Lincoln","A Beautiful Day in the Neighborhood","On The Basis of Sex","The Imitation Game","Jobs","The Darkest Hour","The Iron Lady","White / Caucasian",40,1,1
1,0,1,1,0,0,0,0,"Woman",1,"Oppenheimer","J. Edgar","Marie Antoinette","Lincoln","The Doors","Chaplin","Amadeus","Hispanic / Latinx",43,0,0
0,1,1,1,0,0,1,1,"Woman",2,"Marie Antoinette","Lincoln","Nixon","The Doors","The Iron Lady","The Darkest Hour","J. Edgar","White / Caucasian",52,0,1
1,0,1,1,0,0,1,1,"Man",0,"Lincoln","Oppenheimer","Moneyball","A Beautiful Mind","Braveheart","A Beautiful Day in the Neighborhood","The Darkest Hour","White / Caucasian",29,1,1
1,0,1,1,0,1,1,0,"Man",3,"Nixon","A Beautiful Mind","Judy","The Iron Lady","Coco Before Chanel","JFK","Oppenheimer","White / Caucasian",62,1,1
0,1,1,1,0,0,0,0,"Woman",1,"On The Basis of Sex","A Beautiful Day in the Neighborhood","J. Edgar","Oppenheimer","Jobs","JFK","Amadeus","White / Caucasian",46,0,1
0,1,1,1,0,0,1,0,"Man",1,"Marie Antoinette","W. A Life Misunderstood","Lincoln","Braveheart","Moneyball","A Beautiful Mind","Jobs","White / Caucasian",45,1,1
1,0,1,1,0,0,0,0,"Woman",2,"Amadeus","On The Basis of Sex","Capote","A Beautiful Day in the Neighborhood","Judy","Tolkien","The Doors","White / Caucasian",37,0,1
1,1,0,1,0,1,0,0,"Man",0,"Moneyball","Lincoln","A Beautiful Day in the Neighborhood","Braveheart","Oppenheimer","A Beautiful Mind","The Aviator","White / Caucasian",37,1,1
0,1,1,1,1,0,0,0,"Woman",1,"Oppenheimer","Lincoln","A Beautiful Mind","Tolkien","On The Basis of Sex","Jobs","Coco Before Chanel","Asian / Pacific Islander",42,0,0
0,1,1,1,0,0,1,0,"Woman",2,"The Imitation Game","Judy","Marie Antoinette","JFK","Nixon","The Doors","Tolkien","Asian / Pacific Islander",40,0,0
1,0,1,1,1,0,0,0,"Woman",1,"Jobs","Moneyball","The Doors","A Beautiful Day in the Neighborhood","On The Basis of Sex","The Aviator","Coco Before Chanel","White / Caucasian",52,0,1
1,0,1,1,1,0,1,0,"Man",0,"Chaplin","Jobs","Oppenheimer","W. A Life Misunderstood","The Aviator","Braveheart","Judy","Black or African American",30,1,0
0,1,1,1,1,0,1,1,"Woman",2,"Amadeus","Lincoln","The Doors","Coco Before Chanel","Hitchcock","Marie Antoinette","On The Basis of Sex","Black or African American",70,0,0
1,1,0,1,1,0,1,0,"Man",1,"Moneyball","A Beautiful Mind","Amadeus","Marie Antoinette","The Imitation Game","Oppenheimer","Judy","White / Caucasian",36,1,1
1,1,1,0,1,1,0,1,"Non-binary",2,"Capote","The Imitation Game","Lincoln","Judy","A Beautiful Day in the Neighborhood","On The Basis of Sex","Marie Antoinette","White / Caucasian",35,0,1
1,1,0,1,1,0,0,0,"Man",0,"Lincoln","The Darkest Hour","Braveheart","Oppenheimer","A Beautiful Day in the Neighborhood","Chaplin","Coco Before Chanel","White / Caucasian",72,1,1
0,1,1,1,0,1,0,0,"Woman",2,"The Darkest Hour","Jobs","Lincoln","Marie Antoinette","Oppenheimer","On The Basis of Sex","The Aviator","Black or African American",34,0,0
0,1,1,1,1,0,1,0,"Man",1,"Oppenheimer","On The Basis of Sex","Hitchcock","Lincoln","A Beautiful Day in the Neighborhood","Jobs","Judy","White / Caucasian",36,1,1
0,1,1,1,0,0,1,0,"Man",1,"Oppenheimer","The Aviator","JFK","Moneyball","Marie Antoinette","Amadeus","Jobs","White / Caucasian",23,1,1
1,1,1,0,1,0,1,1,"Man",1,"Oppenheimer","Jobs","A Beautiful Day in the Neighborhood","Judy","Tolkien","Lincoln","On The Basis of Sex","White / Caucasian",30,1,1
1,0,1,1,0,0,0,0,"Woman",3,"On The Basis of Sex","Coco Before Chanel","Chaplin","Marie Antoinette","Jobs","The Imitation Game","The Doors","Asian / Pacific Islander",46,0,0
1,1,1,0,0,0,1,0,"Woman",1,"The Imitation Game","J. Edgar","Hitchcock","Capote","Tolkien","Marie Antoinette","Jobs","White / Caucasian",34,0,1
1,0,1,1,0,1,1,1,"Man",2,"Hitchcock","Marie Antoinette","Jobs","Judy","The Doors","A Beautiful Day in the Neighborhood","Lincoln","White / Caucasian",56,1,1
0,1,1,1,1,1,0,1,"Woman",1,"A Beautiful Day in the Neighborhood","A Beautiful Mind","Jobs","The Iron Lady","Oppenheimer","The Darkest Hour","Marie Antoinette","White / Caucasian",33,0,1
0,1,1,1,0,0,0,0,"Woman",1,"The Aviator","Chaplin","Jobs","Braveheart","Tolkien","Marie Antoinette","The Doors","White / Caucasian",49,0,1
1,1,1,0,0,0,1,0,"Man",2,"Judy","The Doors","The Aviator","The Imitation Game","The Darkest Hour","The Iron Lady","A Beautiful Day in the Neighborhood","White / Caucasian",70,1,1
0,1,1,1,0,0,1,0,"Woman",1,"A Beautiful Day in the Neighborhood","Lincoln","J. Edgar","Nixon","On The Basis of Sex","The Darkest Hour","Hitchcock","White / Caucasian",62,0,1
1,1,1,0,1,0,1,0,"Woman",0,"Lincoln","The Aviator","Braveheart","The Doors","A Beautiful Day in the Neighborhood","Jobs","Judy","White / Caucasian",36,0,1
0,1,1,1,0,0,0,0,"Woman",1,"Nixon","The Iron Lady","J. Edgar","Jobs","Hitchcock","Lincoln","Chaplin","White / Caucasian",58,0,1
1,1,1,0,1,0,1,1,"Woman",1,"Judy","A Beautiful Day in the Neighborhood","Lincoln","A Beautiful Mind","The Imitation Game","The Doors","On The Basis of Sex","Black or African American",32,0,0
0,1,1,1,0,0,1,0,"Man",1,"A Beautiful Day in the Neighborhood","Braveheart","The Doors","Marie Antoinette","Lincoln","Oppenheimer","Tolkien","White / Caucasian",37,1,1
0,1,1,1,0,0,1,0,"Man",0,"Amadeus","Oppenheimer","Lincoln","JFK","Jobs","W. A Life Misunderstood","A Beautiful Day in the Neighborhood","White / Caucasian",49,1,1
0,1,1,1,1,0,1,1,"Man",2,"On The Basis of Sex","Judy","Oppenheimer","Hitchcock","Lincoln","Nixon","The Iron Lady","White / Caucasian",39,1,1
1,1,0,1,1,0,1,0,"Man",0,"Chaplin","Lincoln","A Beautiful Day in the Neighborhood","Capote","Amadeus","W. A Life Misunderstood","Judy","White / Caucasian",29,1,1
1,0,1,1,1,0,1,0,"Man",1,"The Imitation Game","Amadeus","A Beautiful Day in the Neighborhood","Lincoln","Oppenheimer","On The Basis of Sex","Judy","White / Caucasian",53,1,1
1,1,1,0,1,0,1,1,"Woman",3,"Marie Antoinette","Chaplin","The Doors","Amadeus","Coco Before Chanel","On The Basis of Sex","The Iron Lady","Asian / Pacific Islander",28,0,0
0,1,1,1,0,0,1,0,"Man",1,"The Imitation Game","Amadeus","Coco Before Chanel","The Darkest Hour","Oppenheimer","Jobs","Tolkien","White / Caucasian",53,1,1
0,1,1,1,0,0,1,1,"Man",2,"JFK","Marie Antoinette","The Doors","The Aviator","Judy","A Beautiful Day in the Neighborhood","J. Edgar","White / Caucasian",37,1,1
0,1,1,1,0,0,0,0,"Man",1,"J. Edgar","Jobs","Tolkien","Moneyball","A Beautiful Mind","Coco Before Chanel","Capote","White / Caucasian",43,1,1
0,1,1,1,0,0,0,0,"Man",1,"Tolkien","The Imitation Game","The Darkest Hour","A Beautiful Mind","Jobs","On The Basis of Sex","Chaplin","White / Caucasian",24,1,1
1,1,1,0,0,0,0,0,"Man",0,"The Doors","Jobs","A Beautiful Day in the Neighborhood","Lincoln","Nixon","The Imitation Game","Chaplin","White / Caucasian",47,1,1
0,1,1,1,0,0,1,1,"Woman",0,"Lincoln","Amadeus","Hitchcock","J. Edgar","The Aviator","JFK","The Darkest Hour","White / Caucasian",75,0,1
0,1,1,1,0,0,1,0,"Woman",2,"On The Basis of Sex","Coco Before Chanel","Jobs","The Doors","Tolkien","Capote","Hitchcock","Black or African American",50,0,0
1,0,1,1,0,0,0,0,"Man",2,"The Imitation Game","A Beautiful Day in the Neighborhood","Judy","Moneyball","Braveheart","Marie Antoinette","Chaplin","White / Caucasian",31,1,1
0,1,1,1,0,1,1,1,"Woman",2,"On The Basis of Sex","Jobs","The Darkest Hour","W. A Life Misunderstood","The Iron Lady","Capote","Lincoln","White / Caucasian",38,0,1
0,1,1,1,1,0,1,1,"Man",0,"Jobs","Chaplin","The Aviator","W. A Life Misunderstood","Lincoln","Capote","On The Basis of Sex","Black or African American",41,1,0
1,0,1,1,0,1,0,0,"Woman",2,"Oppenheimer","On The Basis of Sex","A Beautiful Day in the Neighborhood","Jobs","Judy","Moneyball","A Beautiful Mind","Black or African American",38,0,0
1,0,1,1,0,1,0,0,"Woman",2,"Judy","On The Basis of Sex","A Beautiful Day in the Neighborhood","J. Edgar","Capote","Chaplin","The Aviator","White / Caucasian",23,0,1
0,1,1,1,0,0,1,0,"Woman",0,"Nixon","Jobs","The Aviator","W. A Life Misunderstood","The Darkest Hour","Hitchcock","Tolkien","White / Caucasian",71,0,1
0,1,1,1,0,1,1,0,"Man",0,"Jobs","The Darkest Hour","Lincoln","A Beautiful Day in the Neighborhood","J. Edgar","Oppenheimer","Moneyball","White / Caucasian",34,1,1
0,1,1,1,0,0,1,0,"Woman",0,"Lincoln","Braveheart","The Doors","Amadeus","The Imitation Game","Oppenheimer","A Beautiful Day in the Neighborhood","White / Caucasian",45,0,1
1,1,0,1,0,1,1,0,"Man",4,"Marie Antoinette","The Doors","Coco Before Chanel","Judy","A Beautiful Day in the Neighborhood","On The Basis of Sex","Moneyball","White / Caucasian",35,1,1
0,1,1,1,0,0,1,0,"Woman",1,"The Imitation Game","On The Basis of Sex","A Beautiful Mind","Amadeus","Lincoln","Jobs","Tolkien","Black or African American",35,0,0
0,1,1,1,0,0,0,0,"Man",0,"Chaplin","Hitchcock","Tolkien","Capote","A Beautiful Mind","W. A Life Misunderstood","Amadeus","White / Caucasian",20,1,1
1,1,1,0,0,0,1,1,"Woman",3,"Braveheart","Nixon","On The Basis of Sex","Coco Before Chanel","Hitchcock","Marie Antoinette","J. Edgar","White / Caucasian",42,0,1
0,1,1,1,0,0,0,0,"Man",0,"Braveheart","Lincoln","The Darkest Hour","A Beautiful Mind","Oppenheimer","A Beautiful Day in the Neighborhood","Amadeus","White / Caucasian",50,1,1
1,1,1,0,0,0,0,0,"Woman",1,"JFK","Braveheart","Oppenheimer","Marie Antoinette","Moneyball","Lincoln","Amadeus","White / Caucasian",37,0,1
1,1,1,0,1,0,0,0,"Woman",0,"The Aviator","Amadeus","Jobs","Oppenheimer","Chaplin","A Beautiful Mind","Coco Before Chanel","White / Caucasian",32,0,1
1,0,1,1,1,0,1,0,"Man",0,"Oppenheimer","A Beautiful Day in the Neighborhood","Jobs","Moneyball","The Aviator","Lincoln","Judy","White / Caucasian",37,1,1
1,1,1,0,0,0,1,1,"Man",0,"Jobs","Moneyball","W. A Life Misunderstood","Nixon","Lincoln","A Beautiful Day in the Neighborhood","J. Edgar","White / Caucasian",36,1,1
0,1,1,1,0,0,1,0,"Woman",3,"The Imitation Game","Jobs","Coco Before Chanel","Judy","On The Basis of Sex","Oppenheimer","Tolkien","White / Caucasian",34,0,1
1,0,1,1,0,0,0,0,"Woman",2,"Braveheart","J. Edgar","The Darkest Hour","Oppenheimer","Coco Before Chanel","Judy","Chaplin","Black or African American",25,0,0
1,0,1,1,0,0,0,0,"Man",0,"A Beautiful Day in the Neighborhood","Lincoln","Oppenheimer","The Imitation Game","Chaplin","Tolkien","Capote","White / Caucasian",33,1,1
0,1,1,1,0,1,1,1,"Man",1,"The Darkest Hour","Amadeus","Chaplin","Judy","The Doors","A Beautiful Day in the Neighborhood","Lincoln","White / Caucasian",33,1,1
1,1,1,0,1,0,1,1,"Woman",1,"Lincoln","The Iron Lady","Capote","Nixon","Amadeus","A Beautiful Mind","On The Basis of Sex","White / Caucasian",59,0,1
1,1,0,1,1,0,1,1,"Woman",2,"A Beautiful Day in the Neighborhood","Judy","Amadeus","The Iron Lady","Lincoln","The Aviator","On The Basis of Sex","White / Caucasian",56,0,1
1,1,1,0,0,0,1,1,"Man",0,"Braveheart","The Aviator","Tolkien","The Doors","Hitchcock","The Imitation Game","J. Edgar","White / Caucasian",43,1,1
0,1,1,1,0,0,1,0,"Woman",1,"Oppenheimer","J. Edgar","The Darkest Hour","Lincoln","Marie Antoinette","A Beautiful Day in the Neighborhood","The Imitation Game","White / Caucasian",35,0,1
0,1,1,1,0,0,0,0,"Man",1,"Amadeus","Hitchcock","Capote","Tolkien","Judy","The Doors","Chaplin","White / Caucasian",30,1,1
