"study","attribute","gap","est_pp","se_pp","ci_lo_pp","ci_hi_pp","p","gap_label","is_target"
"Study 3B (gender)","gender feedback -> female pick (TARGET)",0.1,11.88,3.771,4.49,19.27,0.0016,"gap = +0.10",TRUE
"Study 3B (gender)","gender feedback -> female pick (TARGET)",0.2,6.64,5.01,-3.18,16.46,0.1848,"gap = +0.20",TRUE
"Study 3B (gender)","budget feedback -> budget pick",-0.2,-4.87,6.179,-16.98,7.24,0.431,"gap = -0.20",FALSE
"Study 3B (gender)","budget feedback -> budget pick",-0.1,-1.86,4.847,-11.36,7.64,0.701,"gap = -0.10",FALSE
"Study 3B (gender)","budget feedback -> budget pick",0,1.14,3.99,-6.68,8.96,0.7744,"gap = +0.00",FALSE
"Study 3B (gender)","budget feedback -> budget pick",0.1,4.15,3.93,-3.56,11.85,0.2912,"gap = +0.10",FALSE
"Study 3B (gender)","budget feedback -> budget pick",0.2,7.15,4.7,-2.06,16.36,0.128,"gap = +0.20",FALSE
"Study 3B (gender)","year feedback -> year pick",-0.2,-17.43,9.514,-36.08,1.22,0.0669,"gap = -0.20",FALSE
"Study 3B (gender)","year feedback -> year pick",-0.1,-12.42,7.426,-26.97,2.14,0.0944,"gap = -0.10",FALSE
"Study 3B (gender)","year feedback -> year pick",0,-7.41,6.031,-19.23,4.41,0.2193,"gap = +0.00",FALSE
"Study 3B (gender)","year feedback -> year pick",0.1,-2.4,5.848,-13.86,9.06,0.6818,"gap = +0.10",FALSE
"Study 3B (gender)","year feedback -> year pick",0.2,2.61,6.973,-11.05,16.28,0.7079,"gap = +0.20",FALSE
"Study 3B (gender)","political feedback -> political pick",-0.2,-2.36,4.647,-11.47,6.74,0.611,"gap = -0.20",FALSE
"Study 3B (gender)","political feedback -> political pick",-0.1,-4.07,3.718,-11.36,3.21,0.2733,"gap = -0.10",FALSE
"Study 3B (gender)","political feedback -> political pick",0,-5.78,3.706,-13.05,1.48,0.1187,"gap = +0.00",FALSE
"Study 3B (gender)","political feedback -> political pick",0.1,-7.49,4.617,-16.54,1.56,0.1046,"gap = +0.10",FALSE
"Study 3B (gender)","political feedback -> political pick",0.2,-9.2,6.048,-21.06,2.65,0.1281,"gap = +0.20",FALSE
"Study 4A (race)","race feedback -> race pick (TARGET)",-0.2,15.68,3.207,9.39,21.97,0,"gap = -0.20",TRUE
"Study 4A (race)","race feedback -> race pick (TARGET)",-0.1,13.06,3.001,7.17,18.94,0,"gap = -0.10",TRUE
"Study 4A (race)","race feedback -> race pick (TARGET)",0,10.43,3.384,3.8,17.06,0.0021,"gap = +0.00",TRUE
"Study 4A (race)","race feedback -> race pick (TARGET)",0.1,7.81,4.197,-0.42,16.03,0.0629,"gap = +0.10",TRUE
"Study 4A (race)","race feedback -> race pick (TARGET)",0.2,5.18,5.245,-5.1,15.46,0.3233,"gap = +0.20",TRUE
"Study 4A (race)","books feedback -> book pick",-0.2,-3.31,4.676,-12.48,5.85,0.4787,"gap = -0.20",FALSE
"Study 4A (race)","books feedback -> book pick",-0.1,-0.73,3.655,-7.9,6.43,0.8412,"gap = -0.10",FALSE
"Study 4A (race)","books feedback -> book pick",0,1.85,3.506,-5.02,8.72,0.5982,"gap = +0.00",FALSE
"Study 4A (race)","books feedback -> book pick",0.1,4.43,4.318,-4.04,12.89,0.3053,"gap = +0.10",FALSE
"Study 4A (race)","books feedback -> book pick",0.2,7.01,5.695,-4.16,18.17,0.2186,"gap = +0.20",FALSE
"Study 4A (race)","oldies feedback -> oldies pick",-0.2,10.82,6.058,-1.05,22.7,0.074,"gap = -0.20",FALSE
"Study 4A (race)","oldies feedback -> oldies pick",-0.1,9.45,4.724,0.2,18.71,0.0453,"gap = -0.10",FALSE
"Study 4A (race)","oldies feedback -> oldies pick",0,8.08,3.909,0.42,15.75,0.0386,"gap = +0.00",FALSE
"Study 4A (race)","oldies feedback -> oldies pick",0.1,6.71,3.95,-1.03,14.46,0.0892,"gap = +0.10",FALSE
"Study 4A (race)","oldies feedback -> oldies pick",0.2,5.34,4.826,-4.11,14.8,0.2681,"gap = +0.20",FALSE
"Study 4A (race)","poets feedback -> poets pick",-0.2,6.67,4.652,-2.45,15.79,0.1515,"gap = -0.20",FALSE
"Study 4A (race)","poets feedback -> poets pick",-0.1,6.23,3.729,-1.08,13.54,0.0947,"gap = -0.10",FALSE
"Study 4A (race)","poets feedback -> poets pick",0,5.79,3.85,-1.76,13.33,0.1326,"gap = +0.00",FALSE
"Study 4A (race)","poets feedback -> poets pick",0.1,5.35,4.939,-4.33,15.03,0.2789,"gap = +0.10",FALSE
"Study 4A (race)","poets feedback -> poets pick",0.2,4.91,6.528,-7.89,17.7,0.4523,"gap = +0.20",FALSE
"Study 4B (gender)","gender feedback -> female pick (TARGET)",-0.2,17.72,4.293,9.31,26.13,0,"gap = -0.20",TRUE
"Study 4B (gender)","gender feedback -> female pick (TARGET)",-0.1,14.96,3.458,8.18,21.74,0,"gap = -0.10",TRUE
"Study 4B (gender)","gender feedback -> female pick (TARGET)",0,12.2,3.015,6.29,18.11,1e-04,"gap = +0.00",TRUE
"Study 4B (gender)","gender feedback -> female pick (TARGET)",0.1,9.44,3.134,3.3,15.58,0.0026,"gap = +0.10",TRUE
"Study 4B (gender)","gender feedback -> female pick (TARGET)",0.2,6.68,3.762,-0.69,14.05,0.0757,"gap = +0.20",TRUE
"Study 4B (gender)","forms feedback -> forms pick",-0.2,-0.71,6.39,-13.24,11.81,0.9109,"gap = -0.20",FALSE
"Study 4B (gender)","forms feedback -> forms pick",-0.1,-4.28,5.021,-14.12,5.56,0.3943,"gap = -0.10",FALSE
"Study 4B (gender)","forms feedback -> forms pick",0,-7.84,4.34,-16.35,0.67,0.0709,"gap = +0.00",FALSE
"Study 4B (gender)","forms feedback -> forms pick",0.1,-11.4,4.659,-20.53,-2.27,0.0144,"gap = +0.10",FALSE
"Study 4B (gender)","forms feedback -> forms pick",0.2,-14.96,5.816,-26.36,-3.57,0.0101,"gap = +0.20",FALSE
"Study 4B (gender)","sold30m feedback -> sold30m pick",-0.2,6.77,8.291,-9.48,23.02,0.4144,"gap = -0.20",FALSE
"Study 4B (gender)","sold30m feedback -> sold30m pick",-0.1,4.96,6.338,-7.47,17.38,0.4342,"gap = -0.10",FALSE
"Study 4B (gender)","sold30m feedback -> sold30m pick",0,3.15,4.77,-6.2,12.49,0.5096,"gap = +0.00",FALSE
"Study 4B (gender)","sold30m feedback -> sold30m pick",0.1,1.34,4.061,-6.63,9.3,0.7423,"gap = +0.10",FALSE
"Study 4B (gender)","sold30m feedback -> sold30m pick",0.2,-0.48,4.626,-9.54,8.59,0.9182,"gap = +0.20",FALSE
"Study 4B (gender)","classic feedback -> classic pick",-0.2,-2.54,8.387,-18.98,13.89,0.7616,"gap = -0.20",FALSE
"Study 4B (gender)","classic feedback -> classic pick",-0.1,-1.18,6.569,-14.05,11.7,0.858,"gap = -0.10",FALSE
"Study 4B (gender)","classic feedback -> classic pick",0,0.19,4.983,-9.57,9.96,0.969,"gap = +0.00",FALSE
"Study 4B (gender)","classic feedback -> classic pick",0.1,1.56,3.923,-6.13,9.25,0.6903,"gap = +0.10",FALSE
"Study 4B (gender)","classic feedback -> classic pick",0.2,2.93,3.852,-4.62,10.48,0.4465,"gap = +0.20",FALSE
