"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,0,1,1,0,"Jack London","George Orwell","Ray Bradbury","Herman Melville","Michael Crichton","Neil Gaiman","F. Scott Fitzgerald","Asian / Pacific Islander","Man",39,1,0,"4Moderate; middle of the road",4,0,"Republican",0,0,1,0.361218396310962,0.371576179084803,0.300198512453564,0.32930688402912,0.340574992969612,0.651789559502,0.67226092220067,0.76407669921051,0.696042393637727,143
1,1,1,0,1,1,1,1,2,"Jane Austen","Jack London","J.R.R. Tolkien","Kurt Vonnegut","Gabriel Garcia Marquez","Zadie Smith","Lucy Maud","White / Caucasian","Woman",28,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.37343484948319,0.371576179084803,1.80368441784808,0.846128608418034,1.09870601370852,0.0830989290952247,-1.03529314724754,-0.986448565318128,-0.646214261156813,143
0,1,1,1,1,0,0,1,3,"Joyce Carol Oates","Isabel Allende","Michael Crichton","Zadie Smith","Cormac McCarthy","Jack London","Sylvia Plath","White / Caucasian","Woman",44,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
1,1,0,1,1,0,0,1,1,"Ernest Hemingway","Jane Austen","George Orwell","John Steinbeck","Charles Dickens","J.R.R. Tolkien","Sylvia Plath","Hispanic / Latinx","Man",36,1,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,1.8795430760693,0.887170159994198,1.30252244938324,0.32930688402912,1.09963564236896,0.0830989290952247,2.37981499164888,-0.402940143808582,0.686657925645173,143
1,1,1,0,1,0,0,1,1,"George Orwell","John Steinbeck","J.R.R. Tolkien","Nathaniel Hawthorne","Lucy Maud","Jack London","Jane Austen","White / Caucasian","Man",49,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.144889830275149,-0.144017801824593,-1.20328739294095,-0.187514840359795,-0.419927466350121,1.22048018990878,1.24144561201674,1.34758512072006,1.26983697421519,143
1,1,1,0,0,0,0,1,1,"Ernest Hemingway","Jane Austen","Herman Melville","Charles Dickens","J.D. Salinger","George Orwell","Michael Crichton","White / Caucasian","Man",53,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,-0.144889830275149,0.371576179084803,-0.200963456011273,-0.70433656474871,-0.169653417987582,-0.485591701311551,0.67226092220067,-0.402940143808582,-0.0720903076398208,143
0,1,1,1,0,1,0,1,3,"Cormac McCarthy","Isabel Allende","George Orwell","Zadie Smith","Sylvia Plath","Michael Crichton","Ray Bradbury","White / Caucasian","Man",25,1,1,"1Extremely liberal",1,-3,"Independent",0,1,0,-0.650998056861261,0.371576179084803,0.801360480918402,-0.70433656474871,-0.0455994904016916,0.0830989290952247,-0.466108457431467,0.180568277700964,-0.0674804168784262,143
1,1,0,1,0,0,0,1,0,"Jack London","John Steinbeck","Herman Melville","Charles Dickens","Ernest Hemingway","J.R.R. Tolkien","Michael Crichton","White / Caucasian","Man",48,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,0,0,2,"Cormac McCarthy","Ray Bradbury","J.R.R. Tolkien","Sylvia Plath","Isabel Allende","Charles Dickens","George Saunders","White / Caucasian","Man",50,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.650998056861261,-0.144017801824593,-0.70212542447611,-0.70433656474871,-0.550369461977668,-0.485591701311551,0.103076232384602,-0.986448565318128,-0.456321344748359,143
0,1,1,1,0,1,1,1,1,"John Steinbeck","Charles Dickens","George Orwell","Ernest Hemingway","J.D. Salinger","Lucy Maud","Gabriel Garcia Marquez","White / Caucasian","Man",60,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,0.361218396310962,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.426213843911961,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,0,1,2,"Jane Austen","J.R.R. Tolkien","Neil Gaiman","Lucy Maud","Charles Dickens","Cormac McCarthy","Michael Crichton","White / Caucasian","Woman",34,0,1,"5Slightly conservative",5,1,"Independent",0,1,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,1,1,0,0,0,"George Orwell","J.D. Salinger","F. Scott Fitzgerald","J.R.R. Tolkien","Ernest Hemingway","Charles Dickens","Joyce Carol Oates","White / Caucasian","Man",27,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,0.361218396310962,0.887170159994198,0.801360480918402,0.32930688402912,0.59476398031317,0.651789559502,1.24144561201674,0.180568277700964,0.691267816406568,143
1,1,1,0,1,1,1,1,1,"George Saunders","Isabel Allende","Jorge Luis Borges","Herman Melville","Michael Crichton","Jack London","Lucy Maud","White / Caucasian","Man",33,1,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,1.37343484948319,1.40276414090359,1.30252244938324,0.846128608418034,1.23121251204701,1.22048018990878,1.24144561201674,1.34758512072006,1.26983697421519,143
0,1,1,1,0,0,0,1,2,"J.R.R. Tolkien","Sylvia Plath","Charles Dickens","George Orwell","Ernest Hemingway","Jane Austen","Nathaniel Hawthorne","White / Caucasian","Woman",37,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-1.15710628344737,-1.17520576364338,-1.20328739294095,-0.70433656474871,-1.0599840011951,-1.05428233171833,-0.466108457431467,-0.986448565318128,-0.835613118155974,143
1,0,1,1,0,1,1,1,0,"J.R.R. Tolkien","Kurt Vonnegut","Cormac McCarthy","Ray Bradbury","John Steinbeck","J.D. Salinger","George Orwell","White / Caucasian","Man",37,1,1,"2Liberal",2,-2,"Democrat",1,0,0,-1.15710628344737,-1.17520576364338,-1.20328739294095,-1.22115828913762,-1.18918943229233,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
0,1,1,1,1,1,1,0,1,"Herman Melville","Jane Austen","Michael Crichton","Ray Bradbury","Nathaniel Hawthorne","F. Scott Fitzgerald","Isabel Allende","White / Caucasian","Woman",30,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.650998056861261,0.371576179084803,0.300198512453564,-0.70433656474871,-0.170889982517901,-1.05428233171833,0.103076232384602,-0.402940143808582,-0.451382081047436,143
0,1,1,1,0,1,0,0,1,"George Orwell","Neil Gaiman","J.R.R. Tolkien","Sylvia Plath","J.D. Salinger","Ray Bradbury","Cormac McCarthy","White / Caucasian","Woman",31,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,0,1,3,"Kurt Vonnegut","Ray Bradbury","Zadie Smith","Ernest Hemingway","Joyce Carol Oates","Isabel Allende","Jack London","White / Caucasian","Woman",42,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.37343484948319,1.91835812181299,1.80368441784808,1.36295033280695,1.6146069304878,1.78917082031555,1.24144561201674,1.34758512072006,1.45940051768412,143
1,0,1,1,1,1,1,1,1,"J.R.R. Tolkien","Charles Dickens","Jane Austen","Kurt Vonnegut","Neil Gaiman","Ray Bradbury","Lucy Maud","White / Caucasian","Man",44,1,1,"2Liberal",2,-2,"Democrat",1,0,0,0.361218396310962,-0.144017801824593,0.300198512453564,0.846128608418034,0.340881928839492,1.22048018990878,1.24144561201674,1.34758512072006,1.26983697421519,143
1,1,0,1,0,0,0,1,3,"Gabriel Garcia Marquez","George Orwell","Isabel Allende","Ernest Hemingway","Zadie Smith","Joyce Carol Oates","John Steinbeck","White / Caucasian","Man",46,1,1,"7Extremely conservative",7,3,"Republican",0,0,1,0.867326622897074,0.887170159994198,0.801360480918402,0.32930688402912,0.721291036959698,0.651789559502,-1.03529314724754,-0.986448565318128,-0.456650717687888,143
0,1,1,1,1,1,0,0,1,"J.R.R. Tolkien","Cormac McCarthy","Michael Crichton","F. Scott Fitzgerald","Kurt Vonnegut","Zadie Smith","Joyce Carol Oates","White / Caucasian","Man",36,1,1,"2Liberal",2,-2,"Democrat",1,0,0,0.361218396310962,1.40276414090359,1.30252244938324,1.36295033280695,1.10736382985119,1.78917082031555,1.81063030183281,2.51460196373915,2.0381343619625,143
0,1,1,1,0,1,1,1,5,"Joyce Carol Oates","Lucy Maud","Jane Austen","Isabel Allende","Zadie Smith","F. Scott Fitzgerald","Gabriel Garcia Marquez","White / Caucasian","Woman",39,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.650998056861261,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.679267957205017,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
1,0,1,1,0,0,0,1,0,"Michael Crichton","J.D. Salinger","Charles Dickens","J.R.R. Tolkien","John Steinbeck","F. Scott Fitzgerald","Nathaniel Hawthorne","Asian / Pacific Islander","Man",44,1,0,"5Slightly conservative",5,1,"Independent",0,1,0,0.361218396310962,-0.659611782733988,1.30252244938324,-0.70433656474871,0.0749481245528759,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
1,1,1,0,0,0,1,1,1,"George Orwell","Jane Austen","Kurt Vonnegut","J.R.R. Tolkien","Ray Bradbury","Ernest Hemingway","Charles Dickens","White / Caucasian","Man",28,1,1,"5Slightly conservative",5,1,"Republican",0,0,1,1.37343484948319,-0.659611782733988,-0.70212542447611,-0.70433656474871,-0.173159730618906,-0.485591701311551,-0.466108457431467,-0.402940143808582,-0.4515467675172,143
0,1,1,1,0,0,1,1,1,"Herman Melville","George Orwell","Jack London","Lucy Maud","Ernest Hemingway","John Steinbeck","Charles Dickens","White / Caucasian","Woman",72,0,1,"7Extremely conservative",7,3,"Republican",0,0,1,-1.15710628344737,-1.17520576364338,-1.20328739294095,-1.22115828913762,-1.18918943229233,-1.05428233171833,-1.03529314724754,-0.986448565318128,-1.02534134809466,143
1,1,0,1,0,0,0,1,1,"F. Scott Fitzgerald","Ernest Hemingway","Sylvia Plath","Jack London","J.R.R. Tolkien","Ray Bradbury","Michael Crichton","White / Caucasian","Man",34,1,1,"5Slightly conservative",5,1,"Republican",0,0,1,1.37343484948319,-0.659611782733988,0.300198512453564,1.36295033280695,0.594242978002428,0.651789559502,1.24144561201674,1.9310935422296,1.27477623791611,143
