"minority_feedback","forms_shown","sold30m_shown","classic_shown","minority_pick","forms_pick","sold30m_pick","classic_pick","base_minority","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,1,1,1,3,"Agatha Christie","Ernest Hemingway","Sandra Cisneros","Gabriel Garcia Marquez","Alice Walker","F. Scott Fitzgerald","J.R.R. Tolkien","Hispanic / Latinx","Man",37,1,0,"1Extremely liberal",1,-3,"Democrat",1,0,0,-1.10081230833638,-0.636226389916011,-1.14707375064878,-1.13033532007412,-1.00361194224382,-0.943583928510313,-0.97587294992683,-0.906955648971379,-0.942137509136174,48
0,1,1,1,0,0,0,0,2,"Gabriel Garcia Marquez","J.R.R. Tolkien","Isabel Allende","Agatha Christie","Jack London","Ray Bradbury","Michael Crichton","White / Caucasian","Woman",35,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.10081230833638,-1.13541940354242,-1.14707375064878,-1.13033532007412,-1.12841019565043,-0.943583928510313,-0.97587294992683,-0.906955648971379,-0.942137509136174,48
1,0,1,1,0,0,0,1,0,"Lucy Maud","Louisa May Alcott","Agatha Christie","F. Scott Fitzgerald","Jane Austen","Emily Bronte","Nathaniel Hawthorne","White / Caucasian","Woman",40,0,1,"7Extremely conservative",7,3,"Republican",0,0,1,1.56583325959066,-0.636226389916011,0.833137776787011,0.345580225245591,0.527081217926812,1.86503099066261,-0.411041041946258,-0.317723316518636,0.378755544065906,48
1,0,1,1,1,1,0,1,1,"Ray Bradbury","Sandra Cisneros","Herman Melville","Joyce Carol Oates","George Orwell","Agatha Christie","WEB Du Bois","White / Caucasian","Woman",60,0,1,"4Moderate; middle of the road",4,0,"Democrat",1,0,0,-1.10081230833638,-1.13541940354242,-1.14707375064878,-1.13033532007412,-1.12841019565043,-0.943583928510313,-0.97587294992683,-0.906955648971379,-0.942137509136174,48
0,1,1,1,0,0,1,1,3,"Toni Morrison","Ray Bradbury","Herman Melville","Gabriel Garcia Marquez","Agatha Christie","WEB Du Bois","Charles Dickens","White / Caucasian","Woman",42,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.567483194750976,0.362159637336806,0.833137776787011,0.345580225245591,0.243348611154608,-0.381860944675728,0.718622774014887,-0.317723316518636,0.00634617094017446,48
1,0,1,1,0,1,0,1,3,"Joyce Carol Oates","Alice Walker","Toni Morrison","Isabel Allende","John Steinbeck","George Orwell","Agatha Christie","White / Caucasian","Woman",80,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-1.10081230833638,-1.13541940354242,-1.14707375064878,-1.13033532007412,-1.12841019565043,-0.943583928510313,-0.97587294992683,-0.906955648971379,-0.942137509136174,48
1,1,1,0,0,0,0,0,2,"John Steinbeck","Alice Walker","Emily Bronte","Toni Morrison","Ernest Hemingway","George Orwell","Michael Crichton","White / Caucasian","Woman",34,0,1,"6Conservative",6,2,"Republican",0,0,1,1.56583325959066,1.36054566458962,0.833137776787011,1.3295239221254,1.27226015577317,1.30330800682803,1.84828658997603,2.03920601329234,1.73026687003213,48
0,1,1,1,0,1,1,1,0,"F. Scott Fitzgerald","Jane Austen","Louisa May Alcott","Charles Dickens","Nathaniel Hawthorne","J.D. Salinger","Lucy Maud","White / Caucasian","Woman",41,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.10081230833638,-1.13541940354242,-1.14707375064878,-1.13033532007412,-1.12841019565043,-0.943583928510313,-0.97587294992683,-0.906955648971379,-0.942137509136174,48
0,1,1,1,0,0,0,1,2,"J.R.R. Tolkien","Agatha Christie","Isabel Allende","Michael Crichton","Ray Bradbury","Alice Walker","Jack London","Black or African American","Man",37,1,0,"2Liberal",2,-2,"Democrat",1,0,0,-0.567483194750976,-0.636226389916011,-0.652020868789835,-0.638363471634217,-0.62352348127276,-0.381860944675728,-0.411041041946258,-0.317723316518636,-0.370208434380207,48
1,1,1,0,1,1,0,0,1,"Jack London","Ray Bradbury","J.R.R. Tolkien","Michael Crichton","F. Scott Fitzgerald","Gabriel Garcia Marquez","Toni Morrison","White / Caucasian","Man",21,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.034154081165568,1.85973867821603,1.32819065864596,1.3295239221254,1.12082479445546,1.30330800682803,1.84828658997603,2.03920601329234,1.73026687003213,48
