"gender_feedback","pages_shown","year_shown","entertainer_shown","female_pick","pages_pick","year_pick","entertainer_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
1,1,1,0,0,0,1,0,"Woman",2,"Steve Jobs","Nelson Mandela","Tina Fey","Jackie Kennedy","Anthony Bourdain","Andre Agassi","Napoleon Bonaparte","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,1,1,1,"Man",1,"Jim Carroll","Henry Winkler","Tina Fey","Andrew Jackson","Anthony Bourdain","Napoleon Bonaparte","Willie Nelson","White / Caucasian",26,1,1
0,1,1,1,0,0,0,0,"Man",1,"Johnny Cash","Andrew Jackson","Steve Jobs","Thomas Jefferson","Theodore Roosevelt","Anne Frank","Nelson Mandela","White / Caucasian",29,1,1
0,1,1,1,0,0,1,0,"Woman",2,"Nelson Mandela","Anne Frank","Theodore Roosevelt","Steve Jobs","Jackie Kennedy","Thomas Jefferson","J. Robert Oppenheimer","Asian / Pacific Islander",28,0,0
1,1,0,1,1,0,1,0,"Man",1,"Tina Fey","Nelson Mandela","J. Robert Oppenheimer","Theodore Roosevelt","Steve Jobs","Napoleon Bonaparte","Jackie Kennedy","Asian / Pacific Islander",33,1,0
0,1,1,1,1,0,1,0,"Man",0,"Anthony Bourdain","Napoleon Bonaparte","Steve Jobs","Michael J. Fox","Nelson Mandela","J. Robert Oppenheimer","Jackie Kennedy","White / Caucasian",27,1,1
1,1,0,1,0,0,0,0,"Woman",2,"Andre Agassi","Anthony Bourdain","Jackie Kennedy","Tina Fey","Michael J. Fox","Steve Jobs","Nelson Mandela","Asian / Pacific Islander",27,0,0
0,1,1,1,0,0,0,0,"Man",0,"Robin Williams","Che Guevara","Michael J. Fox","Jim Carroll","Anthony Bourdain","J. Robert Oppenheimer","Nelson Mandela","Hispanic / Latinx",23,1,0
1,1,1,0,1,1,1,1,"Woman",1,"John Stamos","Robin Williams","Johnny Cash","Thomas Jefferson","Jackie Kennedy","Steve Jobs","Tina Fey","White / Caucasian",23,0,1
0,1,1,1,0,0,1,0,"Man",0,"Anthony Bourdain","Andre Agassi","J. Robert Oppenheimer","Thomas Jefferson","Napoleon Bonaparte","Steve Jobs","Theodore Roosevelt","Asian / Pacific Islander",20,1,0
1,0,1,1,1,1,1,1,"Man",1,"Steve Jobs","Andrew Jackson","Thomas Jefferson","Andre Agassi","John Stamos","Barbra Streisand","Tina Fey","White / Caucasian",22,1,1
1,0,1,1,1,0,0,0,"Woman",3,"Barbra Streisand","Anne Frank","Michael J. Fox","Tina Fey","Nelson Mandela","Robin Williams","Helen Keller","Black or African American",59,0,0
1,1,1,0,0,0,1,1,"Man",1,"Anthony Bourdain","Thomas Jefferson","Nelson Mandela","Helen Keller","Theodore Roosevelt","Willie Nelson","Robin Williams","Asian / Pacific Islander",51,1,0
0,1,1,1,0,0,1,0,"Man",1,"Mark Twain","Napoleon Bonaparte","Steve Jobs","Nelson Mandela","Anne Frank","Andrew Jackson","Che Guevara","Asian / Pacific Islander",56,1,0
0,1,1,1,0,0,1,0,"Woman",2,"Nelson Mandela","Johnny Cash","Napoleon Bonaparte","Anthony Bourdain","Tina Fey","Anne Frank","Mark Twain","White / Caucasian",22,0,1
1,1,0,1,1,0,0,1,"Woman",2,"Jackie Kennedy","Steve Jobs","Michael J. Fox","Tennessee Williams","Tina Fey","J. Robert Oppenheimer","Barbra Streisand","White / Caucasian",49,0,1
0,1,1,1,0,0,1,0,"Man",1,"Steve Jobs","J. Robert Oppenheimer","Napoleon Bonaparte","Thomas Jefferson","Anne Frank","Theodore Roosevelt","Andrew Jackson","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,0,0,0,"Man",1,"Tina Fey","Henry Winkler","Steve Jobs","Theodore Roosevelt","J. Robert Oppenheimer","Robin Williams","Nelson Mandela","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,0,0,0,"Man",0,"J. Robert Oppenheimer","Steve Jobs","Anthony Bourdain","Napoleon Bonaparte","Henry Winkler","Willie Nelson","Nelson Mandela","Asian / Pacific Islander",25,1,0
1,1,1,0,0,0,1,0,"Man",0,"Thomas Jefferson","J. Robert Oppenheimer","Andrew Jackson","Napoleon Bonaparte","Theodore Roosevelt","Steve Jobs","Che Guevara","White / Caucasian",30,1,1
1,0,1,1,1,0,0,0,"Woman",2,"Tina Fey","Steve Jobs","Robin Williams","J. Robert Oppenheimer","Jackie Kennedy","Thomas Jefferson","Helen Keller","Asian / Pacific Islander",50,0,0
1,1,0,1,1,0,0,0,"Man",0,"J. Robert Oppenheimer","Mark Twain","Johnny Cash","Andre Agassi","Michael J. Fox","Robin Williams","Helen Keller","Asian / Pacific Islander",19,1,0
0,1,1,1,0,0,1,0,"Woman",2,"Mark Twain","Anne Frank","J. Robert Oppenheimer","Helen Keller","Nelson Mandela","Jim Carroll","Steve Jobs","Asian / Pacific Islander",20,0,0
0,1,1,1,0,0,1,0,"Man",1,"Anne Frank","Andre Agassi","Steve Jobs","J. Robert Oppenheimer","Robin Williams","Napoleon Bonaparte","Mark Twain","Asian / Pacific Islander",20,1,0
1,0,1,1,0,0,1,1,"Woman",2,"Mark Twain","Robin Williams","Che Guevara","Helen Keller","Tina Fey","Nelson Mandela","Johnny Cash","White / Caucasian",74,0,1
1,0,1,1,0,0,0,0,"Man",0,"Theodore Roosevelt","Johnny Cash","J. Robert Oppenheimer","Keith Richards","Thomas Jefferson","Willie Nelson","Nelson Mandela","White / Caucasian",21,1,1
1,1,0,1,1,0,1,0,"Woman",2,"John Stamos","Barbra Streisand","Nelson Mandela","Steve Jobs","Robin Williams","Anne Frank","Jackie Kennedy","White / Caucasian",22,0,1
0,1,1,1,1,0,0,0,"Woman",1,"Anne Frank","Nelson Mandela","Johnny Cash","Thomas Jefferson","Mark Twain","Anthony Bourdain","Helen Keller","White / Caucasian",22,0,1
1,0,1,1,0,0,1,0,"Woman",5,"Jackie Kennedy","John Stamos","Anne Frank","Tina Fey","Helen Keller","Barbra Streisand","Che Guevara","Asian / Pacific Islander",19,0,0
0,1,1,1,1,0,1,0,"Woman",1,"J. Robert Oppenheimer","Steve Jobs","Nelson Mandela","Robin Williams","Thomas Jefferson","Tina Fey","Jackie Kennedy","Asian / Pacific Islander",25,0,0
0,1,1,1,0,0,1,0,"Woman",2,"Anne Frank","Helen Keller","Nelson Mandela","Tennessee Williams","Steve Jobs","Mark Twain","J. Robert Oppenheimer",NA,NA,0,0
1,1,1,0,0,0,1,0,"Woman",2,"Thomas Jefferson","Nelson Mandela","Helen Keller","Steve Jobs","Mark Twain","Jackie Kennedy","Napoleon Bonaparte","Asian / Pacific Islander",29,0,0
0,1,1,1,1,0,1,0,"Woman",1,"J. Robert Oppenheimer","Steve Jobs","Theodore Roosevelt","Tina Fey","Napoleon Bonaparte","Nelson Mandela","Jackie Kennedy","Asian / Pacific Islander",19,0,0
1,0,1,1,1,0,1,0,"Woman",1,"Anthony Bourdain","Steve Jobs","Anne Frank","Robin Williams","Nelson Mandela","Napoleon Bonaparte","Jackie Kennedy","White / Caucasian",20,0,1
0,1,1,1,0,0,1,0,"Man",0,"Andre Agassi","Andrew Jackson","Nelson Mandela","Napoleon Bonaparte","Che Guevara","Henry Winkler","Theodore Roosevelt","White / Caucasian",79,1,1
0,1,1,1,1,0,1,0,"Man",2,"Anne Frank","Nelson Mandela","Johnny Cash","Tina Fey","Napoleon Bonaparte","Andrew Jackson","Jackie Kennedy","White / Caucasian",21,1,1
0,1,1,1,1,1,1,1,"Man",1,"Nelson Mandela","Che Guevara","J. Robert Oppenheimer","Thomas Jefferson","Barbra Streisand","Willie Nelson","Tina Fey","White / Caucasian",67,1,1
0,1,1,1,0,0,0,0,"Woman",2,"Anne Frank","Steve Jobs","Robin Williams","Theodore Roosevelt","J. Robert Oppenheimer","Jackie Kennedy","Thomas Jefferson","White / Caucasian",22,0,1
1,1,0,1,0,0,1,0,"Man",2,"Anne Frank","Helen Keller","Anthony Bourdain","Mark Twain","Robin Williams","Nelson Mandela","Theodore Roosevelt","White / Caucasian",21,1,1
1,1,0,1,0,0,1,0,"Woman",2,"Helen Keller","J. Robert Oppenheimer","Che Guevara","Nelson Mandela","Anne Frank","Steve Jobs","Mark Twain","White / Caucasian",47,0,1
1,1,1,0,0,0,0,0,"Man",0,"Steve Jobs","Henry Winkler","Andrew Jackson","John Stamos","Anthony Bourdain","Willie Nelson","Nelson Mandela","Hispanic / Latinx",20,1,0
0,1,1,1,0,0,1,1,"Woman",2,"Che Guevara","Johnny Cash","Jackie Kennedy","Jim Carroll","Nelson Mandela","Tina Fey","Anthony Bourdain","White / Caucasian",23,0,1
1,0,1,1,1,0,0,1,"Man",1,"Keith Richards","Anne Frank","Steve Jobs","Robin Williams","Johnny Cash","Thomas Jefferson","Barbra Streisand","White / Caucasian",47,1,1
0,1,1,1,0,0,1,0,"Man",1,"Anne Frank","Napoleon Bonaparte","Thomas Jefferson","Steve Jobs","Mark Twain","Nelson Mandela","Theodore Roosevelt","White / Caucasian",20,1,1
0,1,1,1,0,0,0,0,"Man",2,"J. Robert Oppenheimer","Steve Jobs","Barbra Streisand","Anne Frank","Theodore Roosevelt","Mark Twain","Nelson Mandela","Asian / Pacific Islander",35,1,0
1,1,1,0,0,0,0,0,"Man",0,"Steve Jobs","Nelson Mandela","J. Robert Oppenheimer","Theodore Roosevelt","Andrew Jackson","Che Guevara","Thomas Jefferson","White / Caucasian",NA,1,1
1,0,1,1,1,0,1,0,"Woman",2,"Nelson Mandela","Steve Jobs","J. Robert Oppenheimer","Anthony Bourdain","Anne Frank","Helen Keller","Jackie Kennedy","Black or African American",20,0,0
0,1,1,1,0,0,1,0,"Man",0,"Theodore Roosevelt","Steve Jobs","Napoleon Bonaparte","Nelson Mandela","J. Robert Oppenheimer","Thomas Jefferson","Mark Twain","White / Caucasian",20,1,1
1,0,1,1,0,0,1,0,"Man",1,"Napoleon Bonaparte","Jackie Kennedy","Theodore Roosevelt","Steve Jobs","Mark Twain","Andre Agassi","J. Robert Oppenheimer","White / Caucasian",19,1,1
1,1,1,0,0,1,1,1,NA,2,"Steve Jobs","Helen Keller","Robin Williams","Michael J. Fox","Andrew Jackson","Barbra Streisand","Keith Richards",NA,NA,0,0
0,1,1,1,0,0,1,0,"Woman",2,"Napoleon Bonaparte","Anthony Bourdain","Barbra Streisand","Nelson Mandela","Jackie Kennedy","J. Robert Oppenheimer","Mark Twain","Asian / Pacific Islander",19,0,0
0,1,1,1,1,1,1,1,"Woman",2,"Helen Keller","Anne Frank","Steve Jobs","Robin Williams","Nelson Mandela","Napoleon Bonaparte","Tina Fey","Asian / Pacific Islander",56,0,0
1,0,1,1,0,0,0,1,"Man",1,"Anthony Bourdain","Anne Frank","Thomas Jefferson","Nelson Mandela","Michael J. Fox","Steve Jobs","Jim Carroll","Asian / Pacific Islander",NA,1,0
1,1,0,1,1,0,0,0,"Man",2,"Jackie Kennedy","Barbra Streisand","Che Guevara","Andrew Jackson","Mark Twain","Nelson Mandela","Anne Frank","Asian / Pacific Islander",NA,1,0
0,1,1,1,1,1,1,1,"Man",0,"Thomas Jefferson","Steve Jobs","J. Robert Oppenheimer","Robin Williams","Michael J. Fox","Nelson Mandela","Tina Fey","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,0,1,0,"Man",2,"Theodore Roosevelt","Anne Frank","Henry Winkler","Thomas Jefferson","J. Robert Oppenheimer","Barbra Streisand","Napoleon Bonaparte","White / Caucasian",59,1,1
1,0,1,1,1,0,0,0,"Woman",1,"Johnny Cash","Steve Jobs","Barbra Streisand","Mark Twain","Theodore Roosevelt","Andrew Jackson","Anne Frank","Asian / Pacific Islander",20,0,0
0,1,1,1,0,0,1,1,"Woman",2,"Steve Jobs","Jackie Kennedy","Barbra Streisand","Theodore Roosevelt","Thomas Jefferson","Napoleon Bonaparte","Robin Williams","Asian / Pacific Islander",20,0,0
1,1,0,1,0,0,1,0,"Woman",3,"John Stamos","J. Robert Oppenheimer","Barbra Streisand","Anne Frank","Helen Keller","Henry Winkler","Che Guevara","White / Caucasian",22,0,1
0,1,1,1,0,0,1,0,"Woman",2,"Nelson Mandela","Steve Jobs","Helen Keller","Anne Frank","Napoleon Bonaparte","J. Robert Oppenheimer","Theodore Roosevelt","Asian / Pacific Islander",19,0,0
1,1,0,1,1,1,1,1,NA,2,"Steve Jobs","Helen Keller","J. Robert Oppenheimer","Andre Agassi","Jim Carroll","Anne Frank","Tina Fey",NA,NA,0,0
1,1,1,0,0,0,1,0,"Man",1,"Anne Frank","Mark Twain","Che Guevara","Napoleon Bonaparte","J. Robert Oppenheimer","Thomas Jefferson","Theodore Roosevelt","Asian / Pacific Islander",25,1,0
0,1,1,1,0,0,0,1,"Man",1,"Steve Jobs","Mark Twain","Theodore Roosevelt","Helen Keller","Che Guevara","Nelson Mandela","Jim Carroll","Asian / Pacific Islander",20,1,0
1,0,1,1,0,0,1,1,"Woman",4,"Jackie Kennedy","Anne Frank","Helen Keller","Nelson Mandela","Tina Fey","J. Robert Oppenheimer","Anthony Bourdain","Asian / Pacific Islander",20,0,0
0,1,1,1,0,0,1,0,"Woman",1,"Steve Jobs","Anne Frank","Nelson Mandela","Michael J. Fox","Thomas Jefferson","Napoleon Bonaparte","Mark Twain","Asian / Pacific Islander",20,0,0
0,1,1,1,0,1,1,1,"Woman",2,"J. Robert Oppenheimer","Tina Fey","Andrew Jackson","Mark Twain","Steve Jobs","Jackie Kennedy","Michael J. Fox","Asian / Pacific Islander",21,0,0
0,1,1,1,0,0,1,0,"Man",2,"Barbra Streisand","Anne Frank","Nelson Mandela","Mark Twain","Johnny Cash","Tennessee Williams","Che Guevara","White / Caucasian",NA,1,1
1,1,0,1,0,0,1,1,NA,0,"J. Robert Oppenheimer","Robin Williams","Steve Jobs","Mark Twain","Napoleon Bonaparte","Che Guevara","Johnny Cash",NA,NA,0,0
0,1,1,1,0,0,1,0,"Woman",4,"Helen Keller","Anne Frank","Anthony Bourdain","Che Guevara","Barbra Streisand","Jackie Kennedy","Napoleon Bonaparte","Asian / Pacific Islander",19,0,0
1,0,1,1,0,1,1,0,"Man",4,"Che Guevara","Nelson Mandela","Barbra Streisand","Anne Frank","Jackie Kennedy","Helen Keller","Andre Agassi","Asian / Pacific Islander",19,1,0
1,1,1,0,0,0,1,0,"Man",0,"Andrew Jackson","Theodore Roosevelt","J. Robert Oppenheimer","Thomas Jefferson","Anthony Bourdain","Napoleon Bonaparte","Mark Twain","White / Caucasian",NA,1,1
0,1,1,1,1,1,1,1,"Man",3,"Anne Frank","Che Guevara","Anthony Bourdain","Nelson Mandela","Helen Keller","Jackie Kennedy","Tina Fey","White / Caucasian",23,1,1
1,0,1,1,0,0,1,0,"Woman",3,"Tina Fey","Che Guevara","Nelson Mandela","Helen Keller","Barbra Streisand","Steve Jobs","J. Robert Oppenheimer","Asian / Pacific Islander",27,0,0
1,1,1,0,0,0,1,0,"Man",1,"Andre Agassi","Tennessee Williams","Barbra Streisand","Che Guevara","Mark Twain","Robin Williams","Steve Jobs","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,0,1,1,"Non-binary",2,"Che Guevara","Helen Keller","Nelson Mandela","Anne Frank","Johnny Cash","Tennessee Williams","Robin Williams","Asian / Pacific Islander",20,0,0
0,1,1,1,1,0,0,0,"Woman",3,"Napoleon Bonaparte","Tina Fey","Helen Keller","Che Guevara","Anthony Bourdain","Barbra Streisand","Anne Frank","Hispanic / Latinx",20,0,0
1,0,1,1,1,1,1,1,"Man",1,"Anthony Bourdain","Napoleon Bonaparte","Theodore Roosevelt","John Stamos","Andrew Jackson","Jackie Kennedy","Tina Fey","White / Caucasian",32,1,1
