"gender_feedback","pages_shown","year_shown","entertainer_shown","female_pick","pages_pick","year_pick","entertainer_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
0,1,1,1,0,0,1,0,NA,0,"Thomas Jefferson","Theodore Roosevelt","Henry Winkler","Nelson Mandela","Che Guevara","John Stamos","J. Robert Oppenheimer",NA,NA,0,0
1,1,1,0,0,0,1,0,"Woman",3,"Anthony Bourdain","Steve Jobs","Helen Keller","Tina Fey","Barbra Streisand","Nelson Mandela","Tennessee Williams","Asian / Pacific Islander",21,0,0
1,1,1,0,0,0,1,0,"Woman",3,"Tina Fey","Anne Frank","Nelson Mandela","Mark Twain","Robin Williams","Barbra Streisand","J. Robert Oppenheimer","White / Caucasian",21,0,1
0,1,1,1,1,1,1,1,"Woman",1,"Steve Jobs","Nelson Mandela","Andrew Jackson","Napoleon Bonaparte","Anne Frank","Theodore Roosevelt","Tina Fey","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,0,1,0,"Woman",4,"Tina Fey","Robin Williams","Helen Keller","Theodore Roosevelt","Barbra Streisand","Anne Frank","Napoleon Bonaparte","White / Caucasian",21,0,1
1,0,1,1,0,0,1,0,"Woman",2,"Tina Fey","Napoleon Bonaparte","Theodore Roosevelt","Barbra Streisand","Robin Williams","Che Guevara","J. Robert Oppenheimer","White / Caucasian",22,0,1
0,1,1,1,0,0,1,0,"Man",0,"Steve Jobs","Thomas Jefferson","J. Robert Oppenheimer","Nelson Mandela","Napoleon Bonaparte","Theodore Roosevelt","Mark Twain","Asian / Pacific Islander",21,1,0
0,1,1,1,0,0,1,0,"Man",0,"Johnny Cash","Steve Jobs","Nelson Mandela","Robin Williams","Thomas Jefferson","J. Robert Oppenheimer","Mark Twain","White / Caucasian",32,1,1
1,1,0,1,0,0,1,0,"Woman",2,"Nelson Mandela","Helen Keller","Steve Jobs","Henry Winkler","Anne Frank","John Stamos","Mark Twain","Hispanic / Latinx",19,0,0
1,0,1,1,1,0,0,0,"Woman",3,"J. Robert Oppenheimer","Steve Jobs","Tina Fey","Helen Keller","Jackie Kennedy","Robin Williams","Anne Frank","Asian / Pacific Islander",20,0,0
0,1,1,1,1,0,0,0,"Man",1,"Steve Jobs","Napoleon Bonaparte","Tennessee Williams","Theodore Roosevelt","Robin Williams","Helen Keller","Anne Frank","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,0,1,1,"Woman",3,"Anne Frank","Robin Williams","Helen Keller","Mark Twain","Barbra Streisand","Tennessee Williams","Anthony Bourdain","Asian / Pacific Islander",52,0,0
1,1,0,1,1,0,0,0,"Woman",0,"Nelson Mandela","John Stamos","Steve Jobs","Jim Carroll","Robin Williams","J. Robert Oppenheimer","Helen Keller","Black or African American",21,0,0
1,0,1,1,0,0,1,0,"Woman",2,"Thomas Jefferson","Barbra Streisand","Mark Twain","Steve Jobs","Jackie Kennedy","Robin Williams","Theodore Roosevelt","White / Caucasian",20,0,1
1,0,1,1,0,1,1,0,"Man",0,"Michael J. Fox","Nelson Mandela","Robin Williams","Willie Nelson","Johnny Cash","Steve Jobs","Andre Agassi","White / Caucasian",23,1,1
0,1,1,1,0,0,1,0,"Woman",2,"Nelson Mandela","Tina Fey","Steve Jobs","J. Robert Oppenheimer","Jackie Kennedy","Mark Twain","Che Guevara","White / Caucasian",24,0,1
1,1,1,0,1,0,0,0,"Man",0,"Steve Jobs","J. Robert Oppenheimer","Andrew Jackson","Theodore Roosevelt","Che Guevara","Napoleon Bonaparte","Helen Keller","White / Caucasian",59,1,1
0,1,1,1,0,1,1,1,"Man",1,"Anne Frank","John Stamos","Andrew Jackson","Steve Jobs","J. Robert Oppenheimer","Michael J. Fox","Keith Richards","White / Caucasian",19,1,1
0,1,1,1,0,0,0,0,"Man",0,"Johnny Cash","Willie Nelson","J. Robert Oppenheimer","Napoleon Bonaparte","Che Guevara","Keith Richards","Nelson Mandela","White / Caucasian",19,1,1
1,1,0,1,0,1,1,1,"Woman",2,"Theodore Roosevelt","Helen Keller","Jackie Kennedy","J. Robert Oppenheimer","Steve Jobs","Nelson Mandela","Henry Winkler","White / Caucasian",19,0,1
1,1,1,0,0,0,1,1,"Man",1,"Nelson Mandela","Andre Agassi","Tina Fey","Che Guevara","Napoleon Bonaparte","Steve Jobs","Anthony Bourdain","Hispanic / Latinx",22,1,0
1,1,0,1,0,1,1,1,NA,2,"Tina Fey","Barbra Streisand","Anthony Bourdain","Che Guevara","Theodore Roosevelt","Tennessee Williams","Willie Nelson",NA,NA,0,0
0,1,1,1,0,0,1,0,"Man",0,"Steve Jobs","Napoleon Bonaparte","Thomas Jefferson","Andrew Jackson","Theodore Roosevelt","Nelson Mandela","J. Robert Oppenheimer","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,1,1,1,"Woman",2,"Tina Fey","Steve Jobs","Barbra Streisand","Anthony Bourdain","Keith Richards","Willie Nelson","Henry Winkler","Asian / Pacific Islander",21,0,0
1,1,0,1,1,0,0,0,NA,2,"Napoleon Bonaparte","Andre Agassi","Anne Frank","Tina Fey","Steve Jobs","Nelson Mandela","Helen Keller",NA,NA,0,0
1,0,1,1,1,0,0,1,"Woman",4,"Anne Frank","J. Robert Oppenheimer","Tina Fey","Mark Twain","Helen Keller","Jackie Kennedy","Barbra Streisand","Asian / Pacific Islander",21,0,0
0,1,1,1,0,0,1,0,"Woman",2,"Anne Frank","Steve Jobs","Thomas Jefferson","Nelson Mandela","Jackie Kennedy","Napoleon Bonaparte","Mark Twain","Asian / Pacific Islander",23,0,0
1,0,1,1,0,0,1,0,NA,1,"Napoleon Bonaparte","Robin Williams","Theodore Roosevelt","Mark Twain","Helen Keller","Thomas Jefferson","Steve Jobs","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,0,0,0,NA,0,"Tennessee Williams","Mark Twain","Johnny Cash","Jim Carroll","Anthony Bourdain","Theodore Roosevelt","Nelson Mandela",NA,NA,0,0
1,1,0,1,0,0,0,0,"Man",2,"Steve Jobs","Nelson Mandela","Anne Frank","Helen Keller","Theodore Roosevelt","Napoleon Bonaparte","Thomas Jefferson","Asian / Pacific Islander",25,1,0
0,1,1,1,0,1,1,1,"Man",0,"Anthony Bourdain","Robin Williams","Nelson Mandela","Steve Jobs","J. Robert Oppenheimer","Che Guevara","Henry Winkler","Hispanic / Latinx",21,1,0
0,1,1,1,0,0,0,0,"Man",0,"Che Guevara","Nelson Mandela","Steve Jobs","Napoleon Bonaparte","Andrew Jackson","J. Robert Oppenheimer","Thomas Jefferson","Hispanic / Latinx",22,1,0
1,0,1,1,0,0,1,0,"Man",0,"Anthony Bourdain","Andre Agassi","Robin Williams","Andrew Jackson","Keith Richards","Willie Nelson","Theodore Roosevelt","White / Caucasian",59,1,1
0,1,1,1,0,0,1,1,NA,0,"Nelson Mandela","Andrew Jackson","Steve Jobs","J. Robert Oppenheimer","Thomas Jefferson","Theodore Roosevelt","Anthony Bourdain",NA,NA,0,0
1,1,1,0,1,1,1,1,NA,1,"Helen Keller","Mark Twain","Nelson Mandela","Theodore Roosevelt","Steve Jobs","Che Guevara","Tina Fey","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,0,1,0,"Man",3,"Anthony Bourdain","Steve Jobs","Helen Keller","Anne Frank","J. Robert Oppenheimer","Jackie Kennedy","Che Guevara","Asian / Pacific Islander",19,1,0
1,0,1,1,1,1,1,1,"Man",0,"Steve Jobs","Nelson Mandela","J. Robert Oppenheimer","Andrew Jackson","Michael J. Fox","Robin Williams","Tina Fey","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,0,0,0,"Woman",3,"Anne Frank","Napoleon Bonaparte","Helen Keller","J. Robert Oppenheimer","Mark Twain","Tina Fey","Nelson Mandela","Asian / Pacific Islander",20,0,0
1,1,0,1,0,0,1,0,"Woman",1,"J. Robert Oppenheimer","Henry Winkler","Helen Keller","Thomas Jefferson","Steve Jobs","Andrew Jackson","Napoleon Bonaparte","Asian / Pacific Islander",21,0,0
1,1,1,0,1,0,0,0,"Woman",1,"Andre Agassi","Andrew Jackson","Anne Frank","Thomas Jefferson","Napoleon Bonaparte","Steve Jobs","Helen Keller","Asian / Pacific Islander",NA,0,0
0,1,1,1,0,0,1,0,"Man",0,"Napoleon Bonaparte","Robin Williams","Steve Jobs","Theodore Roosevelt","Nelson Mandela","Thomas Jefferson","Andrew Jackson","White / Caucasian",19,1,1
0,1,1,1,0,0,1,0,"Man",0,"Napoleon Bonaparte","Theodore Roosevelt","J. Robert Oppenheimer","Steve Jobs","Andre Agassi","Anthony Bourdain","Che Guevara","White / Caucasian",19,1,1
1,0,1,1,0,0,1,0,"Woman",2,"Anne Frank","Napoleon Bonaparte","Steve Jobs","Helen Keller","Jim Carroll","Keith Richards","Che Guevara","White / Caucasian",NA,0,1
1,0,1,1,0,0,1,0,"Woman",4,"Helen Keller","Nelson Mandela","Robin Williams","Tina Fey","Anne Frank","Barbra Streisand","Che Guevara","White / Caucasian",20,0,1
1,0,1,1,1,0,0,0,"Woman",2,"Tina Fey","Barbra Streisand","Che Guevara","Nelson Mandela","Robin Williams","Johnny Cash","Helen Keller","Asian / Pacific Islander",23,0,0
0,1,1,1,1,0,0,1,"Woman",2,"Tina Fey","Anne Frank","Nelson Mandela","Robin Williams","Tennessee Williams","Theodore Roosevelt","Barbra Streisand","White / Caucasian",27,0,1
0,1,1,1,0,0,1,0,"Woman",1,"Robin Williams","Barbra Streisand","Nelson Mandela","Anthony Bourdain","Johnny Cash","Che Guevara","Napoleon Bonaparte","Black or African American",NA,0,0
0,1,1,1,1,0,0,0,NA,3,"Barbra Streisand","Jackie Kennedy","Anne Frank","Nelson Mandela","Johnny Cash","Robin Williams","Helen Keller",NA,19,0,0
1,1,0,1,1,0,1,0,"Woman",1,"Nelson Mandela","Napoleon Bonaparte","Che Guevara","Steve Jobs","Anne Frank","Johnny Cash","Jackie Kennedy","Hispanic / Latinx",22,0,0
0,1,1,1,1,1,1,1,"Man",0,"Nelson Mandela","Che Guevara","Theodore Roosevelt","Anthony Bourdain","Robin Williams","J. Robert Oppenheimer","Tina Fey","Black or African American",28,1,0
1,0,1,1,1,0,0,1,"Man",3,"Tina Fey","Jackie Kennedy","J. Robert Oppenheimer","Helen Keller","Anthony Bourdain","Michael J. Fox","Barbra Streisand","Asian / Pacific Islander",30,1,0
1,1,1,0,0,0,0,0,"Man",1,"Steve Jobs","Helen Keller","Nelson Mandela","J. Robert Oppenheimer","John Stamos","Napoleon Bonaparte","Thomas Jefferson","Asian / Pacific Islander",19,1,0
1,1,0,1,1,0,0,0,"Man",1,"Johnny Cash","Mark Twain","Robin Williams","Jackie Kennedy","Nelson Mandela","Theodore Roosevelt","Anne Frank","White / Caucasian",19,1,1
0,1,1,1,1,0,1,0,"Woman",2,"Robin Williams","Henry Winkler","Michael J. Fox","Anne Frank","Anthony Bourdain","Barbra Streisand","Jackie Kennedy","White / Caucasian",22,0,1
0,1,1,1,0,0,0,0,"Man",1,"J. Robert Oppenheimer","Robin Williams","Napoleon Bonaparte","Anthony Bourdain","Steve Jobs","Helen Keller","Nelson Mandela","White / Caucasian",NA,1,1
1,0,1,1,1,0,0,1,NA,0,"Steve Jobs","Jim Carroll","Nelson Mandela","Johnny Cash","J. Robert Oppenheimer","Thomas Jefferson","Barbra Streisand",NA,NA,0,0
0,1,1,1,0,0,1,0,"Man",2,"Helen Keller","Steve Jobs","J. Robert Oppenheimer","Nelson Mandela","Johnny Cash","Anne Frank","Theodore Roosevelt","Asian / Pacific Islander",21,1,0
1,1,1,0,1,0,0,0,"Man",1,"Nelson Mandela","J. Robert Oppenheimer","Anne Frank","Steve Jobs","Napoleon Bonaparte","Che Guevara","Helen Keller","Black or African American",23,1,0
0,1,1,1,0,0,1,1,"Man",1,"Henry Winkler","Napoleon Bonaparte","Nelson Mandela","Che Guevara","Barbra Streisand","Theodore Roosevelt","Johnny Cash","Asian / Pacific Islander",19,1,0
0,1,1,1,0,0,1,0,"Man",1,"Anthony Bourdain","Steve Jobs","Helen Keller","Theodore Roosevelt","Mark Twain","J. Robert Oppenheimer","Napoleon Bonaparte","Asian / Pacific Islander",22,1,0
1,0,1,1,0,0,1,0,"Man",0,"Che Guevara","Theodore Roosevelt","Johnny Cash","Nelson Mandela","Robin Williams","Willie Nelson","Tennessee Williams","White / Caucasian",58,1,1
0,1,1,1,0,0,1,0,"Woman",2,"Steve Jobs","Thomas Jefferson","J. Robert Oppenheimer","Anne Frank","Napoleon Bonaparte","Helen Keller","Theodore Roosevelt","White / Caucasian",19,0,1
1,0,1,1,0,0,0,0,"Man",0,"Johnny Cash","Robin Williams","Andrew Jackson","Anthony Bourdain","Napoleon Bonaparte","Theodore Roosevelt","Thomas Jefferson","Asian / Pacific Islander",20,1,0
0,1,1,1,1,0,0,1,"Non-binary",2,"Nelson Mandela","Che Guevara","Anne Frank","Anthony Bourdain","Tennessee Williams","Helen Keller","Barbra Streisand",NA,26,0,0
1,1,0,1,0,0,1,1,"Man",1,"Tennessee Williams","Anthony Bourdain","Johnny Cash","J. Robert Oppenheimer","Anne Frank","Che Guevara","Robin Williams","White / Caucasian",21,1,1
1,1,1,0,0,1,1,0,"Man",3,"Nelson Mandela","Mark Twain","Robin Williams","Jackie Kennedy","Tina Fey","Barbra Streisand","Andre Agassi","White / Caucasian",20,1,1
0,1,1,1,0,0,1,0,NA,0,"Steve Jobs","Anthony Bourdain","J. Robert Oppenheimer","Robin Williams","Theodore Roosevelt","Nelson Mandela","Napoleon Bonaparte",NA,NA,0,0
0,1,1,1,0,0,1,0,"Man",2,"Helen Keller","Napoleon Bonaparte","Thomas Jefferson","Anne Frank","Steve Jobs","Nelson Mandela","Andrew Jackson","White / Caucasian",NA,1,1
0,1,1,1,0,1,1,1,"Woman",1,"Steve Jobs","John Stamos","Anne Frank","J. Robert Oppenheimer","Willie Nelson","Andrew Jackson","Keith Richards","Black or African American",21,0,0
1,0,1,1,0,0,1,0,"Woman",3,"Anne Frank","Theodore Roosevelt","Napoleon Bonaparte","Barbra Streisand","Jackie Kennedy","Tennessee Williams","J. Robert Oppenheimer","Hispanic / Latinx",NA,0,0
1,0,1,1,0,0,1,0,"Man",4,"Helen Keller","Nelson Mandela","Jackie Kennedy","Che Guevara","Barbra Streisand","Anne Frank","Mark Twain","White / Caucasian",20,1,1
1,0,1,1,0,0,1,1,"Woman",3,"Jackie Kennedy","John Stamos","Anne Frank","Napoleon Bonaparte","Helen Keller","Nelson Mandela","Anthony Bourdain","Black or African American",33,0,0
0,1,1,1,0,0,1,0,NA,1,"Nelson Mandela","Henry Winkler","Anne Frank","Steve Jobs","J. Robert Oppenheimer","Thomas Jefferson","Che Guevara",NA,NA,0,0
1,1,0,1,0,0,1,0,"Woman",3,"Anne Frank","Nelson Mandela","Napoleon Bonaparte","Steve Jobs","Helen Keller","Barbra Streisand","Theodore Roosevelt","White / Caucasian",20,0,1
0,1,1,1,0,0,1,0,"Woman",2,"Steve Jobs","Jackie Kennedy","Henry Winkler","Anthony Bourdain","Nelson Mandela","Tina Fey","Andrew Jackson","Asian / Pacific Islander",28,0,0
1,1,0,1,1,0,0,1,"Woman",2,"Henry Winkler","John Stamos","Robin Williams","Willie Nelson","Anne Frank","Tina Fey","Barbra Streisand","White / Caucasian",19,0,1
1,0,1,1,1,0,0,0,"Man",0,"Anthony Bourdain","Andrew Jackson","Mark Twain","Theodore Roosevelt","Nelson Mandela","Thomas Jefferson","Anne Frank","Asian / Pacific Islander",20,1,0
0,1,1,1,1,0,0,0,NA,0,"J. Robert Oppenheimer","Thomas Jefferson","Theodore Roosevelt","Andrew Jackson","Napoleon Bonaparte","Nelson Mandela","Anne Frank",NA,NA,0,0
0,1,1,1,0,0,0,1,"Man",2,"Theodore Roosevelt","Anne Frank","Napoleon Bonaparte","Mark Twain","Jackie Kennedy","Willie Nelson","Jim Carroll","White / Caucasian",40,1,1
1,1,1,0,0,1,1,1,NA,0,"Anthony Bourdain","Keith Richards","Thomas Jefferson","Theodore Roosevelt","Johnny Cash","Andrew Jackson","Michael J. Fox",NA,NA,0,0
1,0,1,1,1,1,1,1,"Man",1,"Steve Jobs","J. Robert Oppenheimer","Thomas Jefferson","Anne Frank","Andrew Jackson","Mark Twain","Tina Fey","Asian / Pacific Islander",NA,1,0
0,1,1,1,0,0,1,0,NA,1,"Michael J. Fox","John Stamos","Steve Jobs","Barbra Streisand","Che Guevara","Johnny Cash","Theodore Roosevelt",NA,NA,0,0
0,1,1,1,0,0,1,1,NA,2,"Helen Keller","Michael J. Fox","Robin Williams","Anne Frank","Steve Jobs","Anthony Bourdain","Johnny Cash",NA,NA,0,0
0,1,1,1,0,0,0,0,"Man",1,"J. Robert Oppenheimer","Steve Jobs","Theodore Roosevelt","Anne Frank","Thomas Jefferson","Mark Twain","Nelson Mandela","White / Caucasian",21,1,1
1,1,0,1,0,0,0,0,"Man",1,"Steve Jobs","Anne Frank","Johnny Cash","Andrew Jackson","Theodore Roosevelt","Napoleon Bonaparte","Thomas Jefferson","White / Caucasian",21,1,1
0,1,1,1,0,0,1,1,"Woman",3,"Anthony Bourdain","Robin Williams","Barbra Streisand","Helen Keller","Tennessee Williams","Jackie Kennedy","Johnny Cash","White / Caucasian",NA,0,1
1,0,1,1,0,0,0,0,"Man",2,"Keith Richards","Johnny Cash","Barbra Streisand","Anne Frank","Steve Jobs","Tennessee Williams","Nelson Mandela","White / Caucasian",20,1,1
0,1,1,1,0,0,1,1,"Man",1,"J. Robert Oppenheimer","Anne Frank","Nelson Mandela","Napoleon Bonaparte","Che Guevara","Mark Twain","Robin Williams","White / Caucasian",19,1,1
1,1,0,1,0,0,1,1,"Woman",1,"Andrew Jackson","Mark Twain","Nelson Mandela","Helen Keller","Thomas Jefferson","Jim Carroll","Johnny Cash","Hispanic / Latinx",19,0,0
0,1,1,1,0,1,1,1,"Woman",2,"Nelson Mandela","Helen Keller","Anne Frank","Steve Jobs","Napoleon Bonaparte","Che Guevara","John Stamos","Asian / Pacific Islander",19,0,0
1,1,0,1,0,0,1,0,"Man",1,"Nelson Mandela","Theodore Roosevelt","Anne Frank","Thomas Jefferson","Johnny Cash","Robin Williams","J. Robert Oppenheimer","Black or African American",20,1,0
0,1,1,1,1,1,1,1,"Man",2,"Anne Frank","J. Robert Oppenheimer","Theodore Roosevelt","Steve Jobs","Napoleon Bonaparte","Helen Keller","Tina Fey","White / Caucasian",NA,1,1
1,1,0,1,0,1,1,1,"Man",0,"Steve Jobs","Andrew Jackson","Napoleon Bonaparte","Thomas Jefferson","J. Robert Oppenheimer","Theodore Roosevelt","Michael J. Fox","Hispanic / Latinx",NA,1,0
1,0,1,1,1,1,1,1,"Man",0,"J. Robert Oppenheimer","Nelson Mandela","Che Guevara","Theodore Roosevelt","Anthony Bourdain","Steve Jobs","Tina Fey","Asian / Pacific Islander",19,1,0
0,1,1,1,0,0,1,0,"Man",0,"Steve Jobs","Napoleon Bonaparte","Andrew Jackson","J. Robert Oppenheimer","Theodore Roosevelt","Che Guevara","Mark Twain","Asian / Pacific Islander",21,1,0
0,1,1,1,0,0,1,0,"Man",0,"Mark Twain","Anthony Bourdain","Keith Richards","Andrew Jackson","Napoleon Bonaparte","Steve Jobs","Theodore Roosevelt","White / Caucasian",22,1,1
0,1,1,1,1,0,0,0,"Man",1,"Helen Keller","Nelson Mandela","Steve Jobs","Michael J. Fox","Johnny Cash","Theodore Roosevelt","Anne Frank","White / Caucasian",NA,1,1
1,0,1,1,0,0,1,0,"Woman",3,"Helen Keller","Andrew Jackson","Barbra Streisand","Thomas Jefferson","Napoleon Bonaparte","Tina Fey","J. Robert Oppenheimer","Asian / Pacific Islander",19,0,0
1,0,1,1,0,0,1,0,"Woman",1,"Helen Keller","Napoleon Bonaparte","J. Robert Oppenheimer","Thomas Jefferson","Steve Jobs","Mark Twain","Andrew Jackson","Asian / Pacific Islander",20,0,0
1,0,1,1,0,0,1,0,"Man",1,"Napoleon Bonaparte","Helen Keller","J. Robert Oppenheimer","Che Guevara","Steve Jobs","Thomas Jefferson","Mark Twain","Asian / Pacific Islander",20,1,0
0,1,1,1,0,1,1,1,"Woman",2,"Steve Jobs","Tina Fey","Johnny Cash","J. Robert Oppenheimer","Helen Keller","Napoleon Bonaparte","Henry Winkler","White / Caucasian",21,0,1
1,1,0,1,0,1,1,1,"Man",2,"Tina Fey","J. Robert Oppenheimer","Nelson Mandela","Steve Jobs","Johnny Cash","Jackie Kennedy","Keith Richards","Black or African American",29,1,0
0,1,1,1,0,0,0,0,"Man",0,"Keith Richards","Theodore Roosevelt","Napoleon Bonaparte","Willie Nelson","Mark Twain","Andrew Jackson","Thomas Jefferson","White / Caucasian",32,1,1
1,1,0,1,1,0,0,0,"Woman",4,"Helen Keller","Nelson Mandela","Che Guevara","Barbra Streisand","Tina Fey","Jackie Kennedy","Anne Frank","White / Caucasian",38,0,1
0,1,1,1,0,1,1,1,"Woman",2,"Jackie Kennedy","Robin Williams","Napoleon Bonaparte","Barbra Streisand","J. Robert Oppenheimer","John Stamos","Michael J. Fox","White / Caucasian",21,0,1
1,0,1,1,0,0,1,1,"Man",1,"Anthony Bourdain","Che Guevara","Johnny Cash","Barbra Streisand","Andre Agassi","J. Robert Oppenheimer","Robin Williams","White / Caucasian",30,1,1
0,1,1,1,0,1,1,1,"Man",1,"Anthony Bourdain","Johnny Cash","Che Guevara","Robin Williams","Mark Twain","Barbra Streisand","Keith Richards","White / Caucasian",24,1,1
1,0,1,1,1,0,0,0,NA,0,"Nelson Mandela","Napoleon Bonaparte","Theodore Roosevelt","Steve Jobs","J. Robert Oppenheimer","Henry Winkler","Helen Keller",NA,NA,0,0
0,1,1,1,0,1,1,1,"Man",0,"Anthony Bourdain","Henry Winkler","Andre Agassi","Thomas Jefferson","Nelson Mandela","Robin Williams","Willie Nelson","Black or African American",44,1,0
1,0,1,1,0,1,1,1,"Woman",2,"Steve Jobs","Jackie Kennedy","Che Guevara","Anne Frank","J. Robert Oppenheimer","Theodore Roosevelt","Michael J. Fox","White / Caucasian",22,0,1
0,1,1,1,0,0,0,0,"Woman",4,"Anne Frank","Barbra Streisand","Helen Keller","Steve Jobs","Anthony Bourdain","Tina Fey","Nelson Mandela","White / Caucasian",19,0,1
0,1,1,1,0,0,1,0,"Woman",2,"J. Robert Oppenheimer","Keith Richards","Nelson Mandela","Steve Jobs","Anne Frank","Tina Fey","Che Guevara","White / Caucasian",63,0,1
0,1,1,1,0,1,1,1,"Woman",2,"Anne Frank","Henry Winkler","Robin Williams","Jim Carroll","Thomas Jefferson","Barbra Streisand","Michael J. Fox","Asian / Pacific Islander",20,0,0
1,1,0,1,1,0,0,1,"Woman",0,"J. Robert Oppenheimer","Robin Williams","Nelson Mandela","Mark Twain","Michael J. Fox","Napoleon Bonaparte","Barbra Streisand","Asian / Pacific Islander",19,0,0
1,1,0,1,0,0,0,0,"Woman",3,"Helen Keller","J. Robert Oppenheimer","Anne Frank","Nelson Mandela","Jackie Kennedy","Mark Twain","Thomas Jefferson","Asian / Pacific Islander",21,0,0
1,0,1,1,0,0,1,1,"Woman",4,"Jackie Kennedy","Barbra Streisand","Anne Frank","Mark Twain","Helen Keller","Nelson Mandela","Robin Williams","Asian / Pacific Islander",22,0,0
1,0,1,1,0,0,1,0,"Woman",4,"Nelson Mandela","Jackie Kennedy","Barbra Streisand","Tina Fey","Che Guevara","Helen Keller","J. Robert Oppenheimer","White / Caucasian",21,0,1
0,1,1,1,1,1,1,1,"Non-binary",2,"Helen Keller","Nelson Mandela","Anne Frank","Steve Jobs","J. Robert Oppenheimer","Napoleon Bonaparte","Tina Fey","Black or African American",19,0,0
0,1,1,1,1,0,0,0,"Man",1,"Nelson Mandela","Michael J. Fox","Henry Winkler","J. Robert Oppenheimer","Helen Keller","Napoleon Bonaparte","Anne Frank","Black or African American",19,1,0
1,1,0,1,0,1,1,0,"Man",0,"Steve Jobs","Napoleon Bonaparte","Nelson Mandela","Willie Nelson","Johnny Cash","Jim Carroll","Andre Agassi","White / Caucasian",20,1,1
0,1,1,1,0,0,1,1,"Woman",2,"Nelson Mandela","Barbra Streisand","Robin Williams","J. Robert Oppenheimer","Tina Fey","Anthony Bourdain","Johnny Cash","Black or African American",21,0,0
0,1,1,1,0,0,1,0,"Man",1,"Anthony Bourdain","Michael J. Fox","John Stamos","Robin Williams","Jackie Kennedy","Nelson Mandela","Che Guevara","Black or African American",NA,1,0
1,1,0,1,1,0,1,0,"Man",1,"Mark Twain","Napoleon Bonaparte","J. Robert Oppenheimer","Nelson Mandela","Helen Keller","Theodore Roosevelt","Jackie Kennedy","White / Caucasian",19,1,1
1,0,1,1,0,0,0,0,"Man",1,"Steve Jobs","Napoleon Bonaparte","J. Robert Oppenheimer","Robin Williams","Theodore Roosevelt","Anne Frank","Thomas Jefferson","White / Caucasian",21,1,1
1,1,1,0,1,0,1,0,"Woman",4,"Steve Jobs","Barbra Streisand","Helen Keller","Anne Frank","Tina Fey","Anthony Bourdain","Jackie Kennedy","White / Caucasian",21,0,1
0,1,1,1,1,0,0,1,"Woman",2,"Nelson Mandela","Helen Keller","J. Robert Oppenheimer","Henry Winkler","Anthony Bourdain","Tina Fey","Barbra Streisand","Asian / Pacific Islander",19,0,0
0,1,1,1,1,0,1,0,"Woman",2,"Anne Frank","J. Robert Oppenheimer","Thomas Jefferson","Theodore Roosevelt","Helen Keller","Che Guevara","Jackie Kennedy",NA,21,0,0
0,1,1,1,0,0,1,0,"Man",2,"Anne Frank","Nelson Mandela","Michael J. Fox","Willie Nelson","J. Robert Oppenheimer","Barbra Streisand","Che Guevara","Asian / Pacific Islander",22,1,0
1,0,1,1,0,0,1,0,"Man",1,"Anne Frank","J. Robert Oppenheimer","Steve Jobs","Mark Twain","Robin Williams","Nelson Mandela","Napoleon Bonaparte","White / Caucasian",21,1,1
1,1,0,1,1,1,1,1,"Woman",2,"Anne Frank","Robin Williams","Helen Keller","Mark Twain","Steve Jobs","J. Robert Oppenheimer","Tina Fey","White / Caucasian",22,0,1
0,1,1,1,0,0,1,0,"Man",1,"Nelson Mandela","Che Guevara","Tina Fey","Willie Nelson","Mark Twain","Johnny Cash","Andrew Jackson","Hispanic / Latinx",21,1,0
0,1,1,1,0,0,0,0,"Man",1,"J. Robert Oppenheimer","Robin Williams","Henry Winkler","Thomas Jefferson","Anne Frank","Theodore Roosevelt","Nelson Mandela","White / Caucasian",21,1,1
1,1,0,1,0,0,1,0,"Woman",2,"Napoleon Bonaparte","Nelson Mandela","Steve Jobs","Anthony Bourdain","Helen Keller","Tina Fey","Che Guevara","Black or African American",20,0,0
1,0,1,1,0,0,1,0,"Man",3,"Tina Fey","Nelson Mandela","Helen Keller","Barbra Streisand","J. Robert Oppenheimer","Robin Williams","Mark Twain","White / Caucasian",21,1,1
0,1,1,1,0,0,1,0,"Woman",1,"Napoleon Bonaparte","Anthony Bourdain","Steve Jobs","Anne Frank","Robin Williams","Nelson Mandela","J. Robert Oppenheimer","Asian / Pacific Islander",22,0,0
0,1,1,1,0,0,1,0,"Man",2,"J. Robert Oppenheimer","Helen Keller","Thomas Jefferson","Mark Twain","Anne Frank","Andrew Jackson","Napoleon Bonaparte","Asian / Pacific Islander",22,1,0
1,0,1,1,0,0,1,0,"Man",2,"Helen Keller","J. Robert Oppenheimer","Thomas Jefferson","Nelson Mandela","Steve Jobs","Anne Frank","Mark Twain","Black or African American",21,1,0
1,1,1,0,0,0,1,1,"Woman",3,"Che Guevara","Nelson Mandela","Anne Frank","Tina Fey","J. Robert Oppenheimer","Barbra Streisand","Robin Williams","Asian / Pacific Islander",21,0,0
