id,date,name,role_in_episode,episode_title,gender,age_bracket,affiliation_type,us_region
117,2025-03-28,Amy Baxter,researcher,How the brain interprets pain — and new ways to manage it,,,,
118,2025-03-28,Cammie Wolf Rice,opioid reform advocate,How the brain interprets pain — and new ways to manage it,,,,
119,2025-03-14,Gregory Heyworth,textual scientist,"Decoding the secret messages of data, biology and music",,,,
120,2025-03-14,Ralph Chami,economist,"Decoding the secret messages of data, biology and music",,,,
121,2025-02-28,Noah Wilson-Rich,beekeeper,The birds and the bees,,,,
122,2025-02-28,Carin Bondar,biologist,The birds and the bees,,,,
123,2025-02-28,Marlene Zuk,behavioral ecologist,The birds and the bees,,,,
124,2025-02-28,Julia Sweeney,comedian,The birds and the bees,,,,
125,2025-02-14,Joseph McGill Jr,author,Retracing the steps of their ancestors,,,,
126,2025-01-31,Anne Madden,microbiologist,The shocking power of tiny things,,,,
127,2025-01-31,Lera Boroditsky,cognitive scientist,The shocking power of tiny things,,,,
128,2025-01-31,YeYoon Kim,former educator,The shocking power of tiny things,,,,
129,2025-01-31,Bart Weetjens,Zen Buddhist monk,The shocking power of tiny things,,,,
130,2025-01-17,Nita Farahany,AI ethicist,Your brain is the next tech frontier,,,,
131,2025-01-17,Conor Russomanno,entrepreneur,Your brain is the next tech frontier,,,,
132,2025-01-17,Kate Faulkner,sous chef,Your brain is the next tech frontier,,,,
133,2025-01-03,Ariana Curtis,museum curator,Learning from what others leave behind ,,,,
134,2025-01-03,Alexis Charpentier,music curator,Learning from what others leave behind ,,,,
