"female_pick","tech_pick","founder_pick","gender_feedback","founder_comp","tech_comp","male_pool","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
0,1,1,0,0.423076923076923,0.5,1,1,0,0,0,1,0,"Bill Gates (Co-founder of Microsoft)","White / Caucasian","Woman",43,0,1,126
1,0,0,0,0.346153846153846,0.346153846153846,0,1,0,1,0,0,1,"Jane Fraser (CEO of Citigroup)","Asian / Pacific Islander","Man",32,1,0,126
0,0,1,0,0.5,0.5,1,0,0,0,0,0,0,"Phil Knight (Co-founder of Nike)","White / Caucasian","Man",32,1,1,126
0,0,0,1,0.423076923076923,0.5,1,0,0,0,0,0,0,"Warren Buffet (CEO of Berkshire Hathaway)","White / Caucasian","Man",58,1,1,126
1,0,0,1,0.461538461538462,0.384615384615385,1,0,1,1,0,0,0,"Delphine Arnault (CEO of Christian Dior)","White / Caucasian","Man",57,1,1,126
1,0,0,0,0.346153846153846,0.384615384615385,0,0,1,0,1,1,0,"Carol Tome (CEO of UPS)","White / Caucasian","Woman",58,0,1,126
1,1,0,0,0.576923076923077,0.5,1,0,0,0,0,0,1,"Kathy Warden (CEO of Northrupp Grumman)","White / Caucasian","Man",64,1,1,126
0,1,0,1,0.461538461538462,0.461538461538462,1,0,0,0,0,1,0,"Tim Cook (CEO of Apple)","White / Caucasian","Woman",24,0,1,126
1,0,1,1,0.384615384615385,0.423076923076923,0,0,1,0,1,1,1,"Arianna Huffington (Co-founder of Huffington Post)","White / Caucasian","Woman",55,0,1,126
1,0,0,1,0.423076923076923,0.423076923076923,1,0,1,0,0,0,1,"Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",44,0,1,126
0,0,0,0,0.384615384615385,0.423076923076923,0,0,0,0,0,1,0,"James Gorman (CEO of Morgan Stanley)","White / Caucasian","Man",40,1,1,126
1,0,1,1,0.346153846153846,0.423076923076923,0,0,0,1,1,1,0,"Julia Hartz (Founder of EventBrite)","White / Caucasian","Woman",62,0,1,126
1,0,0,1,0.307692307692308,0.423076923076923,0,0,1,1,1,0,0,"Michelle Buck (CEO of The Hershey Company)","White / Caucasian","Man",32,1,1,126
0,1,1,0,0.461538461538462,0.461538461538462,1,0,0,0,0,1,0,"Sergey Brin (Co-founder of Google)","White / Caucasian","Man",36,1,1,126
1,0,0,0,0.423076923076923,0.5,1,1,0,1,0,1,0,"Mary Barra (CEO of General Motors)","White / Caucasian","Woman",36,0,1,126
0,1,1,1,0.423076923076923,0.423076923076923,1,0,1,0,0,0,1,"Bill Gates (Co-founder of Microsoft)","White / Caucasian","Man",68,1,1,126
1,0,1,0,0.5,0.461538461538462,1,0,0,0,0,0,0,"Arianna Huffington (Co-founder of Huffington Post)","White / Caucasian","Man",57,1,1,126
0,1,0,0,0.384615384615385,0.384615384615385,0,1,1,1,1,0,1,"Stewart Butterfield (CEO of Slack)","White / Caucasian","Woman",32,0,1,126
1,0,0,1,0.538461538461538,0.461538461538462,1,0,1,0,1,0,1,"Oprah Winfrey (CEO of Oprah Winfrey Network)","White / Caucasian","Woman",58,0,1,126
1,1,0,0,0.423076923076923,0.461538461538462,1,0,0,0,0,1,1,"Safra Katz (CEO of Oracle)","White / Caucasian","Woman",49,0,1,126
0,0,1,0,0.423076923076923,0.461538461538462,1,0,1,1,1,0,0,"Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",41,0,1,126
1,0,0,1,0.346153846153846,0.461538461538462,0,1,0,0,1,1,1,"Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",44,1,1,126
1,1,0,0,0.423076923076923,0.461538461538462,1,0,0,0,0,0,0,"Safra Katz (CEO of Oracle)","White / Caucasian","Man",24,1,1,126
1,0,0,0,0.423076923076923,0.423076923076923,0,0,0,0,1,1,0,"Carol Tome (CEO of UPS)","White / Caucasian","Man",41,1,1,126
1,0,0,0,0.423076923076923,0.384615384615385,0,1,1,1,0,0,0,"Rosalind Brewer (CEO of Walgreens)","White / Caucasian","Man",39,1,1,126
1,0,0,1,0.346153846153846,0.423076923076923,0,0,0,1,1,1,1,"Tricia Griffith (CEO of Progressive)","Black or African American","Woman",43,0,0,126
1,1,0,1,0.346153846153846,0.461538461538462,0,1,1,1,1,1,1,"Corie Barry (CEO of Best Buy)","American Indian or Alaskan Native","Woman",38,0,0,126
0,0,0,0,0.461538461538462,0.423076923076923,1,0,0,0,0,0,0,"James Gorman (CEO of Morgan Stanley)","White / Caucasian","Woman",38,0,1,126
0,0,1,0,0.538461538461538,0.5,1,0,0,1,0,0,0,"Daymond John (Founder of FUBU)","White / Caucasian","Man",75,1,1,126
1,0,1,0,0.5,0.5,1,0,0,0,0,0,0,"Tory Burch (Founder of Tory Burch)","Black or African American","Woman",35,0,0,126
1,0,0,1,0.461538461538462,0.461538461538462,1,0,0,0,0,0,0,"Rosalind Brewer (CEO of Walgreens)","White / Caucasian","Woman",61,0,1,126
1,0,0,1,0.461538461538462,0.538461538461538,1,0,0,0,1,1,0,"Mary Barra (CEO of General Motors)","White / Caucasian","Man",45,1,1,126
0,0,0,0,0.346153846153846,0.346153846153846,0,1,1,1,0,1,1,"James Dimon (CEO of JP Morgan)","Black or African American","Man",37,1,0,126
1,1,0,1,0.346153846153846,0.346153846153846,0,0,0,1,0,1,1,"Safra Katz (CEO of Oracle)","White / Caucasian","Man",33,1,1,126
0,1,1,1,0.423076923076923,0.423076923076923,1,0,0,1,1,0,1,"Garrett Camp (Co-founder of Uber)","White / Caucasian","Man",44,1,1,126
0,0,1,0,0.461538461538462,0.5,1,0,0,0,0,0,0,"Daymond John (Founder of FUBU)","Hispanic / Latinx","Woman",39,0,0,126
0,1,1,1,0.538461538461538,0.461538461538462,1,0,0,1,1,1,1,"Bill Gates (Co-founder of Microsoft)","White / Caucasian","Woman",58,0,1,126
0,0,0,1,0.423076923076923,0.461538461538462,0,0,1,1,1,1,1,"James Dimon (CEO of JP Morgan)","White / Caucasian","Woman",29,0,1,126
0,0,0,0,0.307692307692308,0.346153846153846,0,0,0,1,1,0,1,"James Gorman (CEO of Morgan Stanley)","White / Caucasian","Man",45,1,1,126
1,0,0,1,0.423076923076923,0.423076923076923,0,0,1,0,1,1,0,"Carol Tome (CEO of UPS)","Asian / Pacific Islander","Man",30,1,0,126
0,0,0,0,0.461538461538462,0.5,1,0,0,0,1,0,0,"Marvin Ellison (CEO of Lowe’s)","White / Caucasian","Man",48,1,1,126
1,0,0,0,0.423076923076923,0.384615384615385,0,0,0,0,1,1,1,"Michelle Buck (CEO of The Hershey Company)","White / Caucasian","Woman",69,0,1,126
1,1,0,1,0.346153846153846,0.423076923076923,0,0,0,0,1,1,0,"Anne Wojcicki (CEO of 23andMe)","White / Caucasian","Woman",29,0,1,126
0,1,1,1,0.538461538461538,0.5,1,1,0,0,0,0,0,"Bill Gates (Co-founder of Microsoft)","White / Caucasian","Woman",60,0,1,126
