"treatment","men_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","fair1_num","fair2_num","fair3_num","fairness","I1_num","I2_num","I3_num","I4_num","internal_motivation","E1_num","E2_num","E3_num","external_motivation","num_excluded_total"
0,0,"control","women",1,3,0,"Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Kate Johnson (CEO of Lumen Technologies)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Asian / Pacific Islander","Man",29,4,4,5,4.33333333333333,6,4,4,4,4.5,3,4,5,4,68
0,1,"control","men",0,2,0,"Bill Gates (Co-founder of Microsoft)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","Howard Schultz (Founder of Starbucks)","Warren Buffett (CEO of Berkshire Hathaway)","Hispanic / Latinx","Man",37,1,1,1,1,1,1,1,1,1,1,1,1,1,68
0,0,"control","women",1,3,0,"Tim Cook (CEO of Apple)","Larry Page (Co-founder of Google)","Jessica Alba (Founder of The Honest Company)","Phil Knight (Co-founder of Nike)","Carol Tomé (CEO of UPS)","Linda Yaccarino (CEO of X)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",38,2,2,2,2,2,2,2,2,2,3,2,2,2.33333333333333,68
1,1,"treat","men",1,1,0,"Jamie Dimon (CEO of JPMorgan Chase)","Andy Jassy (CEO of Amazon)","Lisa Su (CEO of AMD)","Richard Branson (Founder of Virgin Group)","Sundar Pichai (CEO of Alphabet Inc.)","Satya Nadella (CEO of Microsoft)","Mary Barra (CEO of General Motors)","White / Caucasian","Man",44,1,1,1,1,1,1,1,1,1,1,1,1,1,68
1,1,"treat","men",1,2,0,"Jensen Huang (CEO of NVIDIA)","Larry Page (Co-founder of Google)","Lisa Su (CEO of AMD)","Mary Barra (CEO of General Motors)","Satya Nadella (CEO of Microsoft)","Richard Branson (Founder of Virgin Group)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Man",29,6,6,4,5.33333333333333,5,6,5,5,5.25,5,3,1,3,68
1,0,"treat","women",1,2,0,"Phil Knight (Co-founder of Nike)","Lisa Su (CEO of AMD)","Larry Page (Co-founder of Google)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Michele Buck (CEO of Hershey)","Carol Tomé (CEO of UPS)","White / Caucasian","Another gender not listed here:",34,5,4,5,4.66666666666667,4,6,6,6,5.5,1,1,1,1,68
1,1,"treat","men",1,0,0,"Andy Jassy (CEO of Amazon)","Bill Gates (Co-founder of Microsoft)","Daymond John (Founder of FUBU)","Jeff Bezos (Founder of Amazon)","Jamie Dimon (CEO of JPMorgan Chase)","Larry Page (Co-founder of Google)","Whitney Wolfe Herd (Founder of Bumble)","Hispanic / Latinx","Man",34,7,7,7,7,7,7,7,7,7,4,4,4,4,68
0,0,"control","women",1,4,0,"Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Larry Page (Co-founder of Google)","Sara Blakely (Founder of Spanx)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Woman",28,1,1,1,1,1,1,1,1,1,1,1,1,1,68
0,1,"control","men",0,1,0,"Daymond John (Founder of FUBU)","Kendra Scott (Founder of Kendra Scott)","Satya Nadella (CEO of Microsoft)","Warren Buffett (CEO of Berkshire Hathaway)","Michael Bloomberg (Co-founder of Bloomberg LP)","Larry Page (Co-founder of Google)","Bill Gates (Co-founder of Microsoft)","White / Caucasian","Woman",61,4,4,4,4,6,4,6,6,5.5,4,4,6,4.66666666666667,68
0,1,"control","men",1,3,0,"Howard Schultz (Founder of Starbucks)","Leah Busque (Founder of TaskRabbit)","Warren Buffett (CEO of Berkshire Hathaway)","Kendra Scott (Founder of Kendra Scott)","Satya Nadella (CEO of Microsoft)","Jane Fraser (CEO of Citigroup)","Lisa Su (CEO of AMD)","Black or African American","Woman",42,6,7,6,6.33333333333333,6,6,6,6,6,1,2,1,1.33333333333333,68
