"minority_feedback","forms_shown","sold30m_shown","classic_shown","minority_pick","forms_pick","sold30m_pick","classic_pick","base_minority","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,1,1,1,2,"Toni Morrison","George Orwell","Ray Bradbury","Isabel Allende","John Steinbeck","Jack London","J.R.R. Tolkien","White / Caucasian","Man",54,1,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,0.498753131200294,0.368362736351089,0.342347459274123,0.361028313198567,0.392622910006018,0.762926692317342,0.717152880601598,0.881074166170784,0.787051246363241,36
0,1,1,1,1,1,0,0,0,"Ray Bradbury","J.R.R. Tolkien","Agatha Christie","George Orwell","Jack London","Louisa May Alcott","Toni Morrison","White / Caucasian","Woman",32,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-1.10564920917061,-0.733176608400733,-0.368409467392785,-0.406098619135845,-0.89626510007028,-0.55692439553297,36
1,1,1,0,0,0,0,1,1,"J.R.R. Tolkien","Toni Morrison","Ernest Hemingway","John Steinbeck","George Orwell","Charles Dickens","Jane Austen","White / Caucasian","Man",34,1,1,"2Liberal",2,-2,"Democrat",1,0,0,0.498753131200294,-0.130461802457677,0.342347459274123,0.361028313198567,0.267916775303827,-0.934077547247848,1.27877863047032,-0.89626510007028,-0.183854672282603,36
0,1,1,1,0,1,0,0,1,"Lucy Maud","Nathaniel Hawthorne","Isabel Allende","Ernest Hemingway","Sylvia Plath","Emily Bronte","Joyce Carol Oates","Hispanic / Latinx","Man",36,1,0,"4Moderate; middle of the road",4,0,"Democrat",1,0,0,-0.55838665775685,-0.130461802457677,-0.14851838306745,-1.10564920917061,-0.485754013113148,-0.934077547247848,-0.406098619135845,-0.303818677989925,-0.547998281457873,36
0,1,1,1,0,1,0,1,3,"Ray Bradbury","Jane Austen","Gabriel Garcia Marquez","Charles Dickens","Toni Morrison","Isabel Allende","Emily Bronte","White / Caucasian","Woman",30,0,1,"6Conservative",6,2,"Republican",0,0,1,1.02732302567887,0.368362736351089,0.342347459274123,0.361028313198567,0.524765383625661,1.3285947721724,0.155527130732877,1.47352058825114,0.985880830385473,36
1,0,1,1,0,1,0,0,3,"Alice Walker","Toni Morrison","Ernest Hemingway","George Orwell","Gabriel Garcia Marquez","Jack London","Joyce Carol Oates","White / Caucasian","Woman",72,0,1,"2Liberal",2,-2,"Independent",0,1,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,1.33881332811135,-0.122060974080241,-0.368409467392785,-0.967724369004566,-0.303818677989925,-0.546650838129092,36
1,1,0,1,1,1,0,0,1,"F. Scott Fitzgerald","Michael Crichton","Charles Dickens","Ray Bradbury","Jane Austen","Isabel Allende","Sandra Cisneros","Asian / Pacific Islander","Man",33,1,0,"2Liberal",2,-2,"Democrat",1,0,0,1.02732302567887,1.36601181396862,1.32407914395727,1.33881332811135,1.26405682792903,-0.368409467392785,1.27877863047032,0.881074166170784,0.597147776416106,36
1,1,0,1,1,1,0,0,0,"George Orwell","John Steinbeck","Ray Bradbury","J.R.R. Tolkien","Sylvia Plath","Ernest Hemingway","Toni Morrison","White / Caucasian","Man",73,1,1,"1Extremely liberal",1,-3,"Independent",0,1,0,2.08446281463601,1.86483635277739,1.81494498629884,1.82770583556775,1.89798749732,2.45993093188253,2.40203013020776,2.65841343241185,2.50679149816738,36
1,1,1,0,0,1,0,1,0,"Louisa May Alcott","J.R.R. Tolkien","Ray Bradbury","George Orwell","Jane Austen","F. Scott Fitzgerald","Agatha Christie","White / Caucasian","Woman",25,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.55838665775685,-0.629286341266444,-0.14851838306745,-0.127864194257826,-0.366013894087143,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
1,0,1,1,0,1,0,1,0,"Charles Dickens","J.D. Salinger","Jane Austen","J.R.R. Tolkien","F. Scott Fitzgerald","Ernest Hemingway","Louisa May Alcott","White / Caucasian","Woman",36,0,1,"4Moderate; middle of the road",4,0,"Republican",0,0,1,-1.08695655223542,0.368362736351089,-1.1302500677506,-1.10564920917061,-0.738623273201386,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,0,1,1,1,1,0,0,4,"Sandra Cisneros","Isabel Allende","Joyce Carol Oates","Sylvia Plath","Alice Walker","Gabriel Garcia Marquez","Toni Morrison","Black or African American","Another gender not listed here:",28,0,0,"1Extremely liberal",1,-3,"Independent",0,1,0,-0.55838665775685,0.867187275159856,1.81494498629884,1.82770583556775,0.987862859817399,-0.934077547247848,1.84040438033904,-0.89626510007028,0.00335391100697095,36
