"workerId","attribute_clean","importance_clean","gender","num_excluded_total"
"A3KCG6O1OOK3Y5","wrote more than 10 books.",7,"Woman",78
"ACR3QTY75BUTN","ever wrote poetry.",2,"Man",78
"A1CUNREHZ98VOS","wrote primarily about war and civil unrest.",2,"Man",78
"A6KOTWP7N7RLU","ever wrote fiction.",6,"Man",78
"A3NMXJ6BHTX1N6","died in the last century.",4,"Woman",78
"A24IWWIUPASCQJ","wrote an autobiography.",7,"Man",78
"A2TTPULEGF8963","were racial minorities.",4,"Woman",78
"A1AYQ8E01NSY5Z","published their first book in last 5 years.",4,"Man",78
"AHUNR2YEZW58R","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Woman",78
"A2G41SVNHTHAPK","had their work translated into at least 20 languages.",1,"Man",78
"A1VFSNVFK883XU","were born in the United States.",1,"Man",78
"A1XFQWYHJU1IQZ","wrote at least one book that remained in continuous print for over 50 years.",6,"Woman",78
"A3I0ITCG0HKFFZ","published their first book before the age of 25.",1,"Woman",78
"A1KDWFKTPB9LHM","have been writing professionally for over 30 years.",2,"Woman",78
"A1OIIHLOC90XCH","ever had their work adapted into a major motion picture.",5,"Woman",78
"ADIW4L4IGU98R","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",1,"Man",78
"A2WC99P2MCT85P","were born in the 1800s.",3,"Woman",78
"A1138Y7XCFT62","wrote at least one book that sold over 1 million copies.",5,"Man",78
"A2SM3945BTIU0I","wrote at least one book that appears on the American Library Association's banned books list.",1,"Woman",78
"A3F74UK0ST9T2L","ever wrote poetry.",1,"Woman",78
"A3UHHP4M8SI6OO","wrote one of the 500 most commonly taught books in US colleges.",4,"Man",78
"A3SXLDDJ42IYKN","are still alive.",2,"Man",78
"A3503625JEYO1I","wrote  books, poems or essays spanning multiple genres.",2,"Man",78
"AVORD07DL7CS5","were women.",1,"Man",78
"A3P675LD4LPFVV","are still alive.",3,"Man",78
"A3QA0B0ZI9EBYN","were born in the 1800s.",5,"Man",78
"A3UC9N3EEE6733","wrote at least one book that sold over 1 million copies.",3,"Woman",78
"A1C5TNF5AI50EF","ever wrote poetry.",7,"Woman",78
"A3NNDWKAXCN89K","wrote at least one book that remained in continuous print for over 50 years.",5,"Woman",78
"A2M2U7XUBA4CAN","wrote  books, poems or essays spanning multiple genres.",4,"Man",78
"A1RQ3N0WFVI87","won a Pulitzer Prize, Nobel Prize or National Book Award.",4,"Woman",78
"A18E16UFE351U6","have been writing professionally for over 30 years.",2,"Woman",78
"A6S8BJMBFDE9B","were women.",5,"Man",78
"A1A3IZ30V2JU65","had their work translated into at least 20 languages.",5,"Man",78
"A24I5N406D8R22","ever wrote fiction.",4,"Man",78
"A1SI8RVM6CU2LP","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",6,"Man",78
"A1FTHQ9Y3IPX1F","died in the last century.",4,"Woman",78
"AVRV5IDK5O4S6","wrote primarily about war and civil unrest.",7,"Man",78
"A24UCKQEFVRW74","published their first book in last 5 years.",1,"Man",78
"A3C4GMXBQR6LIQ","wrote one of the 500 most commonly taught books in US colleges.",5,"Woman",78
"A16EMQ53285QDR","were racial minorities.",7,"Man",78
"AHM9DHGQ3SP98","wrote at least one book that appears on the American Library Association's banned books list.",3,"Man",78
"A2LDDDJ4WBKB8Y","were born in the United States.",6,"Non-binary",78
"A1HYFB36R5PI0T","ever had their work adapted into a major motion picture.",4,"Woman",78
"A4EEVK4PD4NOC","published their first book before the age of 25.",1,"Woman",78
"A214YP1LSSM7BM","wrote an autobiography.",1,"Man",78
"A2S40F01GUWC6P","wrote more than 10 books.",1,"Man",78
"A7TYKQXWAIV7C","had their work translated into at least 20 languages.",4,"Woman",78
"A2Z6EQWA4XJQGI","wrote primarily about war and civil unrest.",3,"Woman",78
"AEH06EBUEPLUG","wrote at least one book that sold over 1 million copies.",7,"Woman",78
"A3M9ZVPFDH5BGJ","wrote  books, poems or essays spanning multiple genres.",3,"Woman",78
"A2TXC8Q2IFGRXH","died in the last century.",2,"Man",78
"A1PX3VHCGYY0XS","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Man",78
"A3PQVDFT21IISU","wrote at least one book that appears on the American Library Association's banned books list.",4,"Woman",78
"A1KBVSD51H73BV","published their first book before the age of 25.",1,"Woman",78
"A2SWQM5X54P1O5","were born in the United States.",3,"Woman",78
"AN45KLUESX3NY","wrote an autobiography.",6,"Woman",78
"AVBT6U06WXR9C","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",1,"Woman",78
"A2196WCNDZULFS","were racial minorities.",6,"Woman",78
"AKGA0Q9RA4CG8","wrote more than 10 books.",3,"Woman",78
"A22GQUUNZAP02U","wrote one of the 500 most commonly taught books in US colleges.",5,"Man",78
"ABULTIU20G1NA","are still alive.",1,"Non-binary",78
"A1AOHGGVRVIY1V","ever had their work adapted into a major motion picture.",3,"Man",78
"A33B85TN97HQ33","ever wrote poetry.",1,"Woman",78
"A3DNDYUYCUC9A5","were born in the 1800s.",3,"Woman",78
"A144N9R7W4H67O","were women.",1,"Man",78
"AYUBSG6FZ9DVU","have been writing professionally for over 30 years.",1,"Man",78
"AO9OSKUOHV0WN","published their first book in last 5 years.",6,"Man",78
"A12RF9L2BN8B5W","wrote at least one book that remained in continuous print for over 50 years.",4,"Man",78
"AC82QGLTTJSA","published their first book in last 5 years.",4,"Man",78
"A30L6WRVVWZVEN","ever wrote fiction.",7,"Woman",78
"A16E8BQLG16N3F","ever wrote poetry.",3,"Man",78
"A21VSWO39YO5KM","wrote more than 10 books.",3,"Man",78
"AWRUVBXN30XAY","were born in the United States.",3,"Man",78
"A2H9FMJIC40XBI","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",1,"Woman",78
"A25GVZYDAMY6E8","wrote at least one book that sold over 1 million copies.",2,"Man",78
"A1OFG93Z1NN049","wrote at least one book that appears on the American Library Association's banned books list.",4,"Man",78
"A23XR87ATML7A2","were born in the 1800s.",4,"Man",78
"A2176M1ORXZOKJ","have been writing professionally for over 30 years.",2,"Woman",78
"A2VUF0V7HT51Q3","wrote primarily about war and civil unrest.",2,"Woman",78
"ACJNWSBIVI46H","won a Pulitzer Prize, Nobel Prize or National Book Award.",1,"Man",78
"A24G5XZLX3RDE2","wrote an autobiography.",3,"Woman",78
"A32UQVR725KLTX","are still alive.",5,"Man",78
"A1A1RIYOYUF6P4","wrote one of the 500 most commonly taught books in US colleges.",6,"Man",78
"A1UAZP9BSMR5CH","were racial minorities.",1,"Man",78
"A2LL81ERU0Y7E6","wrote  books, poems or essays spanning multiple genres.",1,"Man",78
"AG1Y17RVT1895","were women.",4,"Man",78
"A2H7MAB7MRH5VR","had their work translated into at least 20 languages.",3,"Woman",78
"A3KG6D3CQDEURV","published their first book before the age of 25.",1,"Woman",78
"A3G5OWGKHW6OL5","had their work translated into at least 20 languages.",5,"Man",78
"A22D5SCSQ6K2RP","wrote at least one book that remained in continuous print for over 50 years.",5,"Woman",78
"A2DJ95HY0IJ82H","ever had their work adapted into a major motion picture.",2,"Woman",78
"A18YUB2AG0EPQ4","died in the last century.",1,"Woman",78
"A3A085ICG2OFHH","wrote more than 10 books.",1,"Woman",78
"A3NY4B53Z2K6GP","ever wrote fiction.",6,"Man",78
"A3GSFW1P5NPG9B","wrote at least one book that sold over 1 million copies.",4,"Man",78
"AMYD8577BYY04","are still alive.",1,"Man",78
"ASC9DUCC64M3P","wrote at least one book that appears on the American Library Association's banned books list.",5,"Woman",78
"A34Z3DVUOHC61R","wrote primarily about war and civil unrest.",1,"Woman",78
"A2TLN8489YGY81","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",1,"Man",78
"A4ZCS7YTJS0DF","ever wrote poetry.",2,"Woman",78
"A27B0BV6MNTEPZ","were racial minorities.",1,"Man",78
"A252DG852TO5IQ","wrote an autobiography.",2,"Woman",78
"A21HKKY734LWFV","died in the last century.",6,"Woman",78
"A23XR87ATML7A2","ever wrote fiction.",7,"Man",78
"A22LB4O4UZ7F0","wrote one of the 500 most commonly taught books in US colleges.",4,"Man",78
"ABCH0AQ8NYM41","were women.",5,"Woman",78
"A171C7B6HHSEGH","were born in the United States.",5,"Man",78
"AM7KUJM4MQOBM","have been writing professionally for over 30 years.",5,"Man",78
"AZ4MMVSAY9L3X","wrote at least one book that remained in continuous print for over 50 years.",3,"Man",78
"A2YHOJLEZR8663","were born in the 1800s.",2,"Man",78
"A6TA4KG08H6T0","wrote  books, poems or essays spanning multiple genres.",7,"Woman",78
"A3D78UDA62ERX6","ever had their work adapted into a major motion picture.",3,"Woman",78
"A14Z1JSAR9JEON","published their first book in last 5 years.",4,"Man",78
"ACY3ZOOZMVS7Y","published their first book before the age of 25.",1,"Woman",78
"A3CV0UWV1F4P2Z","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Man",78
"A232YUK4LBHWN5","ever wrote poetry.",2,"Man",78
"A2KHLJ2F58BEZK","were born in the 1800s.",4,"Man",78
"A31TXJQH5S8SVQ","ever wrote fiction.",2,"Man",78
"A1IHKUDBWZ9FGA","wrote at least one book that remained in continuous print for over 50 years.",6,"Woman",78
"AMX5R6NLYNA2K","wrote more than 10 books.",1,"Man",78
"A2QJH6SM06D8OR","wrote  books, poems or essays spanning multiple genres.",5,"Woman",78
"A24BHVGF748W4X","were women.",5,"Man",78
"AWYKYM16CB00Z","were racial minorities.",7,"Woman",78
"A2MX5YW3DSQ61W","wrote one of the 500 most commonly taught books in US colleges.",1,"Woman",78
"A346XUUK22V9AZ","won a Pulitzer Prize, Nobel Prize or National Book Award.",4,"Woman",78
"A3191G66DZEGEB","wrote an autobiography.",2,"Man",78
"A2Z0D73YYRCGQE","had their work translated into at least 20 languages.",1,"Man",78
"A9WFXKAF1RF5Q","wrote at least one book that sold over 1 million copies.",4,"Woman",78
"AQVUQXQ9YCNBJ","have been writing professionally for over 30 years.",5,"Man",78
"A2AY9FXPXCAC5F","published their first book in last 5 years.",1,"Woman",78
"AQ4H0139CMJZS","wrote primarily about war and civil unrest.",2,"Man",78
"AF18OIZ0GWGP2","died in the last century.",1,"Woman",78
"A2K798WYCR4K3O","ever had their work adapted into a major motion picture.",2,"Man",78
"A2GSFW3FDWRC96","were born in the United States.",7,"Man",78
"A354IL6K61ZWHP","wrote at least one book that appears on the American Library Association's banned books list.",5,"Woman",78
"AH11KAGW5PNN8","published their first book before the age of 25.",2,"Man",78
"A22DP0ST9DWG9O","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",2,"Man",78
"AU04NHNF2WGMK","are still alive.",3,"Woman",78
"A3G0GCV9L0OYJC","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",2,"Man",78
"A1PXIIDBEHCLIJ","were women.",3,"Man",78
"A255ELJ8FE59P","wrote at least one book that remained in continuous print for over 50 years.",5,"Woman",78
"A29VOJ4VU4TA4L","wrote at least one book that appears on the American Library Association's banned books list.",3,"Woman",78
"A1M9CV85BU3AML","had their work translated into at least 20 languages.",4,"Woman",78
"A25FNSFSB048DL","ever wrote poetry.",2,"Man",78
"A1LEX8DWAS98XU","published their first book in last 5 years.",4,"Woman",78
"A1J4N2SE30LCUH","are still alive.",3,"Man",78
"A1RIQJKOSQ4UTE","published their first book before the age of 25.",2,"Man",78
"A2BSR8ROB0T3OG","were born in the United States.",4,"Woman",78
"A3G7NGNCTTW422","wrote more than 10 books.",3,"Man",78
"A25N802S4J344I","were racial minorities.",3,"Man",78
"A2N66KUYK0N3VU","wrote an autobiography.",2,"Man",78
"A24EYMUIGY8M5O","ever had their work adapted into a major motion picture.",3,"Man",78
"A3NQCNT2YRILVB","ever wrote fiction.",3,"Man",78
"A2AO9UZ0P1VH9O","were born in the 1800s.",1,"Man",78
"A2LU7CL50XLYJO","have been writing professionally for over 30 years.",3,"Man",78
"A2GC6RYOYAZAP7","wrote primarily about war and civil unrest.",3,"Man",78
"A2TVZWHAPAMXGH","won a Pulitzer Prize, Nobel Prize or National Book Award.",4,"Man",78
"A532HQ85YHI28","wrote one of the 500 most commonly taught books in US colleges.",5,"Woman",78
"A33GB614ST7J82","died in the last century.",2,"Man",78
"A3NG205QJ48IM4","wrote at least one book that sold over 1 million copies.",1,"Woman",78
"A3DAOQPWXEOZFL","were born in the United States.",1,"Man",78
"AL7UTA8J27TFK","have been writing professionally for over 30 years.",1,"Man",78
"AOSO1D81K0ET0","wrote  books, poems or essays spanning multiple genres.",5,"Man",78
"A3SG7X62O8X691","published their first book in last 5 years.",5,"Woman",78
"A2AQOUY01JXSXQ","were born in the 1800s.",2,"Woman",78
"A1TOR2L7RRFMCQ","wrote an autobiography.",4,"Man",78
"A39L5W9N08RN33","ever had their work adapted into a major motion picture.",1,"Woman",78
"AMV7BVFW0XA03","are still alive.",3,"Woman",78
"A3VTOJCSGEWY3X","wrote at least one book that sold over 1 million copies.",7,"Another gender not listed here:",78
"A2IQPCAZH3Z2YH","ever wrote poetry.",5,"Man",78
"A3C3QQ9BL4J703","had their work translated into at least 20 languages.",5,"Woman",78
"A2RZ689FKSFOLS","wrote  books, poems or essays spanning multiple genres.",4,"Woman",78
"A3KOT3B7E14QGF","ever wrote fiction.",7,"Woman",78
"A1W15J3LW3V1WF","were women.",3,"Woman",78
"A150EMGIGP8DPD","wrote more than 10 books.",3,"Man",78
"A2Y34ZRWFO81FH","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",1,"Man",78
"A3KD3WQFZ5FDC0","wrote at least one book that appears on the American Library Association's banned books list.",4,"Non-binary",78
"A2G5RVYFXV68BD","wrote at least one book that remained in continuous print for over 50 years.",5,"Woman",78
"A379IGNBA85XC8","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Woman",78
"A2J1YAU6MSQZCF","died in the last century.",2,"Man",78
"A1J2K2GKXCO2Z3","wrote one of the 500 most commonly taught books in US colleges.",7,"Woman",78
"A1VG6B11UHXNZ9","published their first book before the age of 25.",1,"Man",78
"A9UQ3W297H8KC","were racial minorities.",4,"Man",78
"A3SYO81HJTJSV3","wrote primarily about war and civil unrest.",2,"Woman",78
"A387QR9H4L2IHO","ever wrote fiction.",4,"Man",78
"A1S8DYWNS59XWB","were born in the United States.",3,"Man",78
"A3EVXSWHYA1PTT","ever had their work adapted into a major motion picture.",1,"Woman",78
"A3D08YA4AFEELJ","wrote  books, poems or essays spanning multiple genres.",6,"Man",78
"A1YOX3OT79RVW9","were born in the 1800s.",3,"Woman",78
"A3FAQHVPI8OUP0","wrote more than 10 books.",3,"Man",78
"AHK0H8GTO70K4","published their first book before the age of 25.",1,"Man",78
"A2SAT0OFWA5TNL","had their work translated into at least 20 languages.",1,"Man",78
"AGI5NF23IF3LQ","were women.",4,"Man",78
"A28IHC0VW61IPB","wrote an autobiography.",2,"Woman",78
"A2A91NSJ5LMGOT","wrote at least one book that sold over 1 million copies.",5,"Woman",78
"A2S1ICS5N1X1KV","were racial minorities.",4,"Woman",78
"A3MRV2EIPM5KU","published their first book in last 5 years.",3,"Man",78
"A2QFNRJNY1POP9","wrote at least one book that remained in continuous print for over 50 years.",1,"Man",78
"A3M0L33TPD346S","wrote at least one book that appears on the American Library Association's banned books list.",4,"Man",78
"A2YTTNEX6T1W1W","have been writing professionally for over 30 years.",4,"Man",78
"A3BSK47WPPE876","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",2,"Woman",78
"A2PE5PMOOANFIX","wrote primarily about war and civil unrest.",2,"Woman",78
"A21PM19KMCUVFN","wrote one of the 500 most commonly taught books in US colleges.",5,"Man",78
"AYO8GRKMVF8JR","ever wrote poetry.",4,"Man",78
"A3PZFJZ8Q17O33","are still alive.",6,"Woman",78
"A3UQ5DF8VVD975","died in the last century.",2,"Man",78
"A1UZ91EFSJFUM8","wrote at least one book that remained in continuous print for over 50 years.",5,"Woman",78
"A2UKE5M4IZP49P","won a Pulitzer Prize, Nobel Prize or National Book Award.",2,"Man",78
"AVD6HMIO1HLFI","were women.",4,"Man",78
