"workerId","attribute_clean","importance_clean","gender","num_excluded_total"
"A29AZUSDSSMKZL","published their first book in last 5 years.",2,"Man",78
"A2I37S7GQR6X1H","published their first book before the age of 25.",1,"Man",78
"AJMBXR9T9XOUG","wrote an autobiography.",6,"Man",78
"AF1AH59OFZR5Q","ever wrote poetry.",2,"Man",78
"A1XZVHJEBKIUH9","had their work translated into at least 20 languages.",6,"Man",78
"A3D9L16WP7DA5H","have been writing professionally for over 30 years.",2,"Woman",78
"A2B2HQHFBYLTXU","wrote at least one book that remained in continuous print for over 50 years.",3,"Man",78
"A2BLP3G105MLH1","wrote at least one book that appears on the American Library Association's banned books list.",4,"Woman",78
"AEAXBNDD879C1","wrote at least one book that appears on the American Library Association's banned books list.",1,"Man",78
"A3V191XT9SMPH6","ever wrote poetry.",2,"Woman",78
"A2LAE5LO34AK","are still alive.",2,"Man",78
"A1CUI91SURS24A","published their first book before the age of 25.",1,"Woman",78
"A3DNUHMO56BK9X","were racial minorities.",4,"Man",78
"A1DY3PIMI76PJO","wrote one of the 500 most commonly taught books in US colleges.",5,"Woman",78
"A2CB7WDJ9V6VVN","were born in the United States.",5,"Woman",78
"AH7JBX10X0EET","published their first book in last 5 years.",4,"Man",78
"A215VSM181SC0F","ever wrote fiction.",5,"Woman",78
"A3FQ2SYQP4UXFE","wrote primarily about war and civil unrest.",5,"Woman",78
"A3NRB8KXHSFJI6","won a Pulitzer Prize, Nobel Prize or National Book Award.",1,"Woman",78
"A7SW6SVNJ5V6O","ever had their work adapted into a major motion picture.",5,"Man",78
"A1BCNYPY66VAZ6","wrote at least one book that sold over 1 million copies.",3,"Woman",78
"A2ELH6CUC5Y8J4","were women.",3,"Woman",78
"A1N3J21E6L4VVO","wrote an autobiography.",3,"Man",78
"A1WHJXYBN0BA8Q","wrote more than 10 books.",3,"Man",78
"ARHM06ZVMD66V","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",5,"Man",78
"AJ6EZARGMGVPA","won a Pulitzer Prize, Nobel Prize or National Book Award.",6,"Man",78
"A17XWGXPNI17XI","died in the last century.",1,"Woman",78
"A1V0RDWOXP8N7","wrote more than 10 books.",4,"Man",78
"A1AD0Y30P4D5Z9","ever had their work adapted into a major motion picture.",7,"Woman",78
"A2FH9URCUYZDZF","were born in the 1800s.",3,"Woman",78
"A2A26J0H5YQK9B","published their first book in last 5 years.",5,"Man",78
"A2JJIYN79SQWT7","published their first book before the age of 25.",1,"Woman",78
"A4244LT93JX43","wrote at least one book that appears on the American Library Association's banned books list.",1,"Man",78
"A1X82OGJR699GY","ever wrote poetry.",7,"Man",78
"A2W1C5PDHUF25O","were born in the United States.",2,"Man",78
"A1Q8BJP8RU520J","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",3,"Woman",78
"AVETYUW22KOTK","wrote at least one book that sold over 1 million copies.",4,"Woman",78
"A3W51UU781HG5D","were women.",4,"Woman",78
"A277UPR6JWGMWY","wrote at least one book that remained in continuous print for over 50 years.",6,"Man",78
"A27NNW47H4E912","were born in the 1800s.",5,"Man",78
"A1QWQI2ZV6TFOB","are still alive.",1,"Man",78
"A1J7W6CJEL4ADV","wrote  books, poems or essays spanning multiple genres.",6,"Woman",78
"A18XXGMMR8OMW2","have been writing professionally for over 30 years.",2,"Woman",78
"A3K5YBCBVBM3RY","wrote an autobiography.",4,"Woman",78
"AZCYFOXOAP09F","wrote one of the 500 most commonly taught books in US colleges.",4,"Woman",78
"A1VHITL9WRBG8J","were racial minorities.",1,"Man",78
"A3L2CJTA12YOHG","ever wrote fiction.",4,"Non-binary",78
"ANU6OTXYGSSTX","died in the last century.",1,"Woman",78
"A367DFRENYZ3IM","had their work translated into at least 20 languages.",1,"Man",78
"A9KUDJIUCERON","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Man",78
"A12HUK2V5MTJRM","wrote  books, poems or essays spanning multiple genres.",6,"Man",78
"AKN590VVSTXL8","wrote primarily about war and civil unrest.",2,"Man",78
"A1KLIFI7PPH514","had their work translated into at least 20 languages.",7,"Man",78
"A2SAABX2NIXJUX","wrote one of the 500 most commonly taught books in US colleges.",4,"Woman",78
"A1NO6ZM4D7A6AB","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",6,"Man",78
"A12TF1LB7EBQE0","wrote  books, poems or essays spanning multiple genres.",7,"Woman",78
"A26N9OR5K0F76","have been writing professionally for over 30 years.",2,"Man",78
"A2OROMUVBD1NVC","are still alive.",3,"Woman",78
"A1QG7OBU8UH8M5","were born in the United States.",4,"Man",78
"A1ZJM4WFHQ96DC","wrote at least one book that sold over 1 million copies.",5,"Woman",78
"AYXXMHLZRAPF9","were women.",2,"Man",78
"A26VIMRF8DA2R0","ever had their work adapted into a major motion picture.",2,"Woman",78
"A1096RYRW37E6M","were born in the 1800s.",1,"Woman",78
"A5A14MTB35J23","published their first book before the age of 25.",1,"Man",78
"AHMHG8491PRQW","died in the last century.",3,"Woman",78
"A3DKM1KM4C4G05","ever wrote poetry.",7,"Woman",78
"AJ11ZVNAOR4QW","wrote at least one book that appears on the American Library Association's banned books list.",1,"Man",78
"A10RPI745Y429J","wrote more than 10 books.",1,"Woman",78
"A2YNPKYEFDZ6C9","wrote an autobiography.",2,"Woman",78
"APA6KY2IYBVVK","published their first book in last 5 years.",1,"Man",78
"A3NKNOE5HIXXL","ever wrote fiction.",3,"Woman",78
"A2UFHATEG76AO5","wrote at least one book that remained in continuous print for over 50 years.",5,"Woman",78
"A17FTRR2SK95W8","were racial minorities.",4,"Man",78
"ANWKES7DJ3ZF8","wrote primarily about war and civil unrest.",4,"Woman",78
"A3H0TLQC53H5MB","wrote more than 10 books.",1,"Man",78
"A314XJY8V1YL12","wrote primarily about war and civil unrest.",3,"Woman",78
"A37V5N3G0UICKO","won a Pulitzer Prize, Nobel Prize or National Book Award.",5,"Man",78
"A38ZJ7F7IDIIRQ","died in the last century.",1,"Woman",78
"A1GOT0DXTYCM4E","were women.",1,"Man",78
"A2DHLFPCDUTK2O","wrote one of the 500 most commonly taught books in US colleges.",5,"Man",78
"A1NFFOJC7KWFIE","ever wrote poetry.",3,"Woman",78
"A312GQYLWLFL99","were racial minorities.",5,"Man",78
"A41X7MP65BTSP","were born in the 1800s.",1,"Woman",78
"A2WNW8A4MOR7T7","ever had their work adapted into a major motion picture.",3,"Man",78
"A2FMRU04FCQC65","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",2,"Woman",78
"A3G1HG9Q8M4UI5","wrote at least one book that appears on the American Library Association's banned books list.",3,"Woman",78
"A6K2AO2O62VNI","were born in the United States.",4,"Woman",78
"A1G5PO0BLQPBJ7","wrote  books, poems or essays spanning multiple genres.",6,"Man",78
"A29761LGRYKDU0","ever wrote fiction.",7,"Man",78
