"cond","base_condition","gender_feedback","poets_shown","oldies_shown","books_shown","women_shown","female_pick","poets_pick","oldies_pick","books_pick","base_gender","base_poets","base_oldies","base_books","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
"treat","high",1,1,0,1,1,0,0,1,1,4,4,1,2,"George Orwell","Sylvia Plath","Isabel Allende","Margaret Atwood","Maya Angelou","Oscar Wilde","Rudyard Kipling","White / Caucasian","Man",51,1,1,25
"treat","high",1,0,1,1,1,0,1,1,1,3,3,2,2,"J.K. Rowling","Jorge Luis Borges","George Orwell","Maya Angelou","Ernest Hemingway","Jane Austen","Charles Dickens","White / Caucasian","Man",59,1,1,25
"control","low",0,1,1,1,0,1,0,0,0,1,2,1,2,"Gabriel Garcia Marquez","Kurt Vonnegut","Neil Gaiman","Ray Bradbury","Sylvia Plath","Charles Dickens","Zadie Smith","White / Caucasian","Man",61,1,1,25
"control","low",0,1,1,1,0,0,0,1,0,1,0,2,1,"Antoine de Saint-Exupéry","Gabriel Garcia Marquez","Ernest Hemingway","John Steinbeck","Jane Austen","F. Scott Fitzgerald","Oscar Wilde","White / Caucasian","Man",60,1,1,25
"control","high",0,1,1,1,0,1,0,0,1,2,3,2,1,"Maya Angelou","J.R.R. Tolkien","Ernest Hemingway","George Orwell","Jane Austen","Neil Gaiman","Isabel Allende","White / Caucasian","Woman",53,0,1,25
"control","high",0,1,1,1,0,1,1,0,0,3,0,3,3,"Jane Austen","J.K. Rowling","Ernest Hemingway","J.R.R. Tolkien","Oscar Wilde","Isabel Allende","Maya Angelou","White / Caucasian","Woman",39,0,1,25
"treat","low",1,1,1,0,1,1,1,0,1,3,2,2,2,"Virginia Woolf","George Orwell","J.K. Rowling","F. Scott Fitzgerald","Michael Crichton","Jane Austen","Joyce Carol Oates","White / Caucasian","Woman",44,0,1,25
"treat","high",1,1,1,0,1,0,1,1,1,3,3,2,4,"George Orwell","J.R.R. Tolkien","Margaret Atwood","Jane Austen","J.K. Rowling","Herman Melville","Charles Dickens","Asian / Pacific Islander","Man",34,1,0,25
"control","high",0,1,1,1,0,1,1,1,1,3,4,2,4,"Margaret Atwood","Charles Dickens","George Orwell","J.R.R. Tolkien","J.K. Rowling","Sylvia Plath","Lucy Maud","White / Caucasian","Woman",32,0,1,25
"control","low",0,1,1,1,0,0,0,0,1,0,1,1,1,"George Orwell","J.D. Salinger","Albert Camus","F. Scott Fitzgerald","Kurt Vonnegut","Ray Bradbury","John Steinbeck","White / Caucasian","Man",35,1,1,25
"control","high",0,1,1,1,0,1,0,0,0,3,3,3,5,"J.K. Rowling","J.R.R. Tolkien","Charles Dickens","Maya Angelou","Joyce Carol Oates","Jack London","Ayn Rand","White / Caucasian","Man",40,1,1,25
"treat","high",1,1,0,1,1,1,0,0,0,2,2,5,3,"Jack London","Charles Dickens","Oscar Wilde","Virginia Woolf","Ernest Hemingway","J.K. Rowling","Jane Austen","White / Caucasian","Man",53,1,1,25
"treat","low",1,1,1,0,1,0,0,0,0,3,3,3,1,"Albert Camus","Jane Austen","Charles Dickens","Virginia Woolf","Sylvia Plath","Oscar Wilde","Antoine de Saint-Exupéry","Hispanic / Latinx","Woman",22,0,0,25
"treat","high",1,0,1,1,1,0,0,1,0,2,3,3,3,"George Orwell","J.R.R. Tolkien","Herman Melville","Sylvia Plath","Oscar Wilde","J.K. Rowling","Ernest Hemingway","White / Caucasian","Woman",37,0,1,25
"control","low",0,1,1,1,0,0,0,0,0,2,2,3,2,"Jane Austen","Oscar Wilde","John Steinbeck","Charles Dickens","Virginia Woolf","Kurt Vonnegut","Albert Camus","White / Caucasian","Woman",43,0,1,25
"treat","low",1,1,1,0,1,1,1,1,0,1,2,3,3,"J.K. Rowling","Charles Dickens","Michael Crichton","Nathaniel Hawthorne","F. Scott Fitzgerald","J.D. Salinger","Virginia Woolf","White / Caucasian","Woman",54,0,1,25
"control","low",0,1,1,1,0,1,1,0,0,1,1,1,2,"John Steinbeck","Kurt Vonnegut","J.D. Salinger","Ray Bradbury","Jane Austen","Nathaniel Hawthorne","Sylvia Plath","White / Caucasian","Man",61,1,1,25
"treat","high",1,0,1,1,1,0,1,1,1,3,3,3,1,"Ernest Hemingway","Maya Angelou","Virginia Woolf","George Orwell","Jack London","Ayn Rand","Charles Dickens","White / Caucasian","Man",54,1,1,25
"treat","high",1,1,1,0,1,0,1,1,0,1,2,4,4,"Jack London","J.K. Rowling","Rudyard Kipling","Charles Dickens","Ernest Hemingway","George Orwell","Victor Hugo","White / Caucasian","Man",69,1,1,25
"treat","low",1,1,1,0,1,0,0,0,1,1,0,2,2,"Oscar Wilde","F. Scott Fitzgerald","Neil Gaiman","Ray Bradbury","J.D. Salinger","J.K. Rowling","John Steinbeck","Black or African American","Woman",33,0,0,25
