"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,0,0,1,1,0,"Jack London","George Orwell","Ray Bradbury","Herman Melville","Michael Crichton","Neil Gaiman","F. Scott Fitzgerald","Asian / Pacific Islander","Man",39,1,0,"4Moderate; middle of the road",4,0,"Republican",0,0,1,0.360306125380367,0.37128810288406,0.30045146752404,0.327143307848015,0.339797250909121,0.652032424323613,0.673356005303233,0.767855301629215,0.697747910418687,126
1,1,1,0,1,1,1,1,2,"Jane Austen","Jack London","J.R.R. Tolkien","Kurt Vonnegut","Gabriel Garcia Marquez","Zadie Smith","Lucy Maud","White / Caucasian","Woman",28,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.37240198319039,0.37128810288406,1.80270880514424,0.843142216125642,1.09738527683608,0.0835647483657986,-1.03422473511071,-0.986574176579196,-0.645744721108037,126
0,1,1,1,1,0,0,1,3,"Joyce Carol Oates","Isabel Allende","Michael Crichton","Zadie Smith","Cormac McCarthy","Jack London","Sylvia Plath","White / Caucasian","Woman",44,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
1,1,0,1,1,0,0,1,1,"Ernest Hemingway","Jane Austen","George Orwell","John Steinbeck","Charles Dickens","J.R.R. Tolkien","Sylvia Plath","Hispanic / Latinx","Man",36,1,0,"4Moderate; middle of the road",4,0,"Independent",0,1,0,1.8784499120954,0.886250797591493,1.30195635927084,0.327143307848015,1.09845009420144,0.0835647483657986,2.38093674571718,-0.401764350509726,0.687579047857751,126
1,1,1,0,1,0,0,1,1,"George Orwell","John Steinbeck","J.R.R. Tolkien","Nathaniel Hawthorne","Lucy Maud","Jack London","Jane Austen","White / Caucasian","Man",49,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.145741803524643,-0.143674591823374,-1.20180587009616,-0.188855600429611,-0.420019466468447,1.22050010028143,1.24254958544122,1.35266512769868,1.27190493780711,126
1,1,1,0,0,0,0,1,1,"Ernest Hemingway","Jane Austen","Herman Melville","Charles Dickens","J.D. Salinger","George Orwell","Michael Crichton","White / Caucasian","Man",53,1,1,"3Slightly liberal",3,-1,"Independent",0,1,0,-0.145741803524643,0.37128810288406,-0.20030097834936,-0.704854508707238,-0.169902296924295,-0.484902927592016,0.673356005303233,-0.401764350509726,-0.0711037575995028,126
0,1,1,1,0,1,0,1,3,"Cormac McCarthy","Isabel Allende","George Orwell","Zadie Smith","Sylvia Plath","Michael Crichton","Ray Bradbury","White / Caucasian","Man",25,1,1,"1Extremely liberal",1,-3,"Independent",0,1,0,-0.651789732429653,0.37128810288406,0.801203913397441,-0.704854508707238,-0.0460380562138477,0.0835647483657986,-0.465031154972732,0.183045475559744,-0.066140310349063,126
1,1,0,1,0,0,0,1,0,"Jack London","John Steinbeck","Herman Melville","Charles Dickens","Ernest Hemingway","J.R.R. Tolkien","Michael Crichton","White / Caucasian","Man",48,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,0,0,0,0,2,"Cormac McCarthy","Ray Bradbury","J.R.R. Tolkien","Sylvia Plath","Isabel Allende","Charles Dickens","George Saunders","White / Caucasian","Man",50,1,1,"6Conservative",6,2,"Republican",0,0,1,-0.651789732429653,-0.143674591823374,-0.701053424222761,-0.704854508707238,-0.550343064295756,-0.484902927592016,0.104162425165251,-0.986574176579196,-0.455771559668654,126
0,1,1,1,0,1,1,1,1,"John Steinbeck","Charles Dickens","George Orwell","Ernest Hemingway","J.D. Salinger","Lucy Maud","Gabriel Garcia Marquez","White / Caucasian","Man",60,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,0.360306125380367,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.42605977352011,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
