comparison,M_gender,SD_gender,N_gender,M_comp,SD_comp,N_comp,mean_diff,t,df,p,cohens_d,ci_lo,ci_hi
were under 50 years old.,4.28,2.334002478055147,75,4.493333333333333,2.1708967715653347,75,-0.21333333333333293,-0.5796085659582859,147.2300073361356,0.5630644695510836,-0.09464968247627259,-0.9407052146547025,0.5140385479880366
were based on the West Coast of the United States.,4.28,2.334002478055147,75,3.3513513513513513,2.173517018802831,74,0.9286486486486489,2.513771216041904,146.51330145976132,0.013026036039077654,0.4116837201606421,0.1985595388049738,1.658737758492324
worked at a university.,4.28,2.334002478055147,75,5.04054054054054,1.926308053638367,74,-0.7605405405405401,-2.170508629750246,142.56491065425314,0.03162412623224387,-0.35518254157621937,-1.453186349397101,-0.0678947316839793
